,name,place_id,amusement_park,aquarium,art_gallery,bakery,bar,beauty_salon,book_store,cafe,casino,clothing_store,convenience_store,department_store,gym,library,liquor_store,movie_theater,museum,night_club,park,restaurantshoe_store,shopping_mall,spa,stadium,store,supermarket,tourist_attraction,zoo
0,Jogja Festival Resto And Fun Cafe,ChIJCROHI2hYei4RuiDYVsDvDtg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Roaster And Bear Restaurant,ChIJd5Q4fDBYei4RG6uDmHe8xXs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Kalluna - Instagrammable Restaurant & Meeting Room,ChIJI_Wmq3FZei4R7SYDsvUHPAM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Secret Garden Coffee and Chocolate,ChIJBxNPyfRXei4RQJmFD9PILdY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,Water castle cafe,ChIJzfDAL5JXei4RB_2bokRgwJ0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,DOUBLE O Resto and Cafe,ChIJodYTqNJZei4R_qUnGfLotzw,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,Lecker Rumah Kopi & Resto,ChIJJfyKmRdYei4R-MR1ehmXhmo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,POENOKAWAN CAFE RESTO & GALLERY,ChIJjf3V6rxXei4R0lNHoFphUss,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,Palms Resto & Cafe,ChIJ4xIBDHdXei4RK03gVuROha8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Warung Lawas,ChIJ1T2RU6JXei4R2MgsNDzkoJY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Atap Cafe & Resto,ChIJy1axFiZYei4RwcUhLj7ow3o,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ViaVia Jogja,ChIJ38IqyaNXei4R-Nkurx7opBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Kala Jumpa,ChIJG7Ju9yZZei4Rh62lxIUyeJ8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,D'Coff Jogja,ChIJA-nXIPtZei4ROEn4CHq887E,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,Legend Coffee,ChIJRxONwS5Yei4RcwWqzjnGrzQ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Tujuan,ChIJG5Y1YEpXei4R75Tm0vT5G84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Made Cafe,ChIJszORIKNXei4RjDQbK97emDk,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Swiss Cafe,ChIJgcTwSjJYei4RjTeFmZqkQyg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,RT Cafe,ChIJ12iZq5ZXei4RgQuh1QR2C3c,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,WRD Family Cafe,ChIJv7fD-TZXei4RErtmZlGHMoU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
