DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Koktail enak,,Alkohol,Makan siang,Anjing boleh masuk,Nyaman,Berkelompok,Wajib reservasi,Kartu debit
,Bawa pulang,Musik live,,Bir,Makan malam,Kursi tinggi,Santai,Ramah keluarga,Menerima reservasi,Pembayaran NFC dengan ponsel
,Makan di tempat,Pertunjukan live,,Cepat saji,Hidangan penutup,Memiliki bar,,,,Kartu kredit
,,,,Hidangan larut malam,Tempat duduk,Toilet,,,,
,,,,Koktail,,Wi-Fi,,,,
,,,,Kopi,,Wi-Fi Gratis,,,,
,,,,Makanan,,,,,,
,,,,Makanan di bar,,,,,,
,,,,Minuman happy hour,,,,,,
,,,,Minuman keras,,,,,,
,,,,Pilihan menu vegetarian,,,,,,
,,,,Wine,,,,,,
