,Place_ID,Place_Name,User,Review,Star
0,ChIJ4fuAdZ8Aey4RYNBNn-NEFGA,Inggar Food And Beverage,Rujid Wardoyo,"Milkshakenya mantap,penuh pilihan rasa,pisang nuggetnya juga oke,lezat dengan toping beraneka rasa,tempatnya nyaman,dekat kolam renang anak- anak,cocok untuk momong anak anak,kelapa mudanya juga oke,pokoknya dijamin seneng disini,apalagi tempatnya menghadap ke pantai,",5
1,ChIJ4fuAdZ8Aey4RYNBNn-NEFGA,Inggar Food And Beverage,Tony Nursidiq,Syahdu,4
2,ChIJ4fuAdZ8Aey4RYNBNn-NEFGA,Inggar Food And Beverage,Rere Plus,,5
3,ChIJ4fuAdZ8Aey4RYNBNn-NEFGA,Inggar Food And Beverage,Ast Utiy,,5
4,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Okta Brahvila Karim,"Area parkir motornya luas dan sudah menggunakan sistem tiket dengan mesin seperti di store cabang ILC Timoho. Tersedia juga area parkir untuk mobil yang luas bagi pelanggan. Lokasinya cukup dekat dengan kampus UIN jadi wort it bagi mahasiswa/i yang mau nugas dengan koneksi internet yang kuenceng poll.

Baristanya ramah dan santun dalam menyambut pelanggan. Menu minumannya tersedia beberapa varian seperti ekspresso, americano, latte dan teh bagi yang kurang menyukai kopi. Untuk makanannya tersedia beberapa jenis roti siap saji dan snack seperti fun fries.

Terdiri dari satu lantai dengan 2 area indoor dan outdoor. Area outdoor tersedia di bagian depan store ILC dengan kapasistas pengunjung yang cukup luas dan ada kamar mandinya juga. Di area indoor didominasi dengan space bilik internet (sayangnya pada saat berkunjung sedang ada perbaikan). Ada area meeting, mushola dengan tempat wudhu yang cukup luas dan akses kamar mandi yang cukup mudah ditemukan.

Area working space bagian indoor cukup luas dan dihiasi oelh mural dengan nuansa yang santai",4
5,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Rio Herlambang,"Pertama kali datang kesini mungkin rada bingung bagian mana untuk area cashier kalau dilihat dari luar (bisa langsung tanya ke pak jaga parkirnya).

Area parkir luas, jdi tidak perlu bingung dempet2an motornya dan kesusahan buat ngeluarin motornya. Parkirnya sudah menggunakan sistem jdi lebih aman. Mungkin perlu ditambahkan atap? Untuk menghindari hujan sewaktu musim hujan.

Internet learning cafe di sini menyediakan spaces atau area wifi dan cubicles. Pengunjung bisa memilih apa yang ditawarkan sama barista. Area wifi menyediakan stock kontak (colokan) di setiap meja, jdi tidak perlu bingung kalau kehabisan batrai. Ada area indoor sama outdor yang luas.

Mungkin jdi nilai plus, ada musholanya. Jdi cocok buat ngerjain tugas yg membutuhkan waktu lama tanpa meninggalkan ibadah.

Karna area luas, mungkin bisa ditambahkan penunjuk atau informasi, seperti lokasi mushola sama toilet(?)",5
6,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Rossa Gitta S.,"Tempatnya nyaman, suasananya tenang cocok untuk mengerjakan tugas, belajar, maupun sekedar untuk berbincang, ada outdoor dan indoor, baristanya ramah, makanan dan minuman nya enak dan murah cocok untuk kantong mahasiswa dan pelajar, ada WiFi dan warnet. Untuk yang introvert kalau mau cari ketenangan Dateng sendiri jangan takut karena suasana dan tempatnya mendukung. 🤩",5
7,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Zaki Ed,"Betah banget nongkrong, hangout, nugas disini.
Mushalla, toilet nyaman semua.. Tiap waktu sholat musik berhenti, diganti adzan.. Memberi kesempatan pengunjung unt shalat",5
8,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Aneis Me,"Saya sangat terkesan dengan tempat internet cafe ini, Desainnya modern dan nyaman, dengan fasilitas yang lengkap seperti koneksi internet yang cepat dan menu makanan ringan yang bervariasi dengan harga yang terjangkau membuat tempat ini menjadi pilihan yang tepat untuk bekerja atau bersantai sambil browsing. Untuk area internetnyavsendiri disini terdapat dua area yaitu public area dimana kita bisa menggunakan device kita sendiri untuk browsing dan juga area kubik atau bilik komputer desktop. Saya pasti akan merekomendasikan tempat ini kepada teman-teman saya yang mencari tempat internet cafe yang baik dan terjangkau di Yogyakarta.",5
9,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,div,"Hanya bisa untuk satu device, tempat lumayan oke
Harga paketan worth it lah",4
10,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Mikhael Yon,"Saya datang ke tempat ini saat suasana sepi. Nyaman banget buat nugas, nggak bikin bosen dengan penerangan yang nyaman tidak mudah lelah. Harga koneksi internetnya standartlah dengan kecepatan yang oke. Tersedia bilik PC ataupun hotspot berbayar.
Sayang makanan dan minuman disini cukup mahal. Es teh aja 10.000, haha..
Over all oke sih untuk suasana dan fasilitasnya, bisa dijadikan alternatif tujuan buat nugas 24jam..",4
11,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Iko Setiawan,"Bad experience mencoba kerja dari sini, untuk kecepetan 65mbps terasa seperti 2 mbps :(

ruangan nya sangat panas walaupun indoor :( segi colokan juga ga habis pikir ada di balik meja charger beberapa kali harus jatuh.

semoga improve untuk kedepannya",1
12,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Caesar Anin,"Haloo!

INI TEMPAT NONGKRONG UNTUK PARA INTROVERT SI KALO MENURUTKU WKWKWK!.

If you need some space and dont know where to goooo~ heree the best place you can go! Makanan + minumnya tidak gagal sama sekali and I lop🫶🏼

Banyak promonya ❤️",5
13,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Slanet Film,"Makanan dan minuman bermacam-macam. Tempat sangat nyaman untuk belajar maupun bekerja, kecepatan internet yang sangat mendukung dengan packet lost 0 dan jitter yang kecil. Sangat rekomended.",5
14,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Endo Juan,"Suasana di dalam nyaman dan tenang, yg agak kurang mungkin dari peralatannya (mouse) agak susah digerakin. Tersedia juga makanan dan minuman ala cafe yg harganya affordable. Pelayanan sangat ramah dan tempat parkir cukup luas namun tidak ada kanopi jadi kalau turun hujan agak repot menjangkau kendaraan",4
15,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Over Price,ampun deh.. 8 ribu sejam tapi komputer lemot.. habis 5 jam cuma buat copy file game sebanyak 300gb.. gimana gak lama kecepatan ngopinya aja cuma 30mbps.. padahal saya pakai hdd usb 3.0 yg kalo dirumah speed copy nya bisa 100mbps.. mungkin sengaja dilambatin biar lama..,1
16,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,yoza wiratama,"Tempat nyaman buat kerja, bisa dari pagi sampe malam. Harga internet 14 jam cuma 72ribu dengan kecepatan mantap. Tempat ya cozy.

Mushola nya luas, sehingga nyaman buat untuk sholat. Toilet juga bersih. Sofa nya nyaman banget.

Baru baru ini internet ya lemot banget dan gak stabil ping nya untuk kebutuhan apps developer dibandingkan ILC Jakal.

Dan mobile developer tidak disarankan disini karena android atau ios emulator nya gak bisa connect internet melalui jaringan wifi disini.",5
17,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,M Rosalina,"Tempatnya luas, cozy, harga nya lumayan terjangkau.
Ada makanan, minuman juga.
Staf nya ramah dan membantu sekali.
Bersih, sejuk.",5
18,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Rian Ervina,"Tempatnya dingin, tidak terlalu ramai dan berisik, cocok untuk mengerjakan tugas yang penuh konsentrasi. Di luar juga ada ruangan outdoor dengan banyak tempat duduk. Tapi selama pandemi ini ruangan outdoor tidak melayani pemesanan minum dan makanan. Tersedia wifi dengan membeli voucher, kecepatan internet sangat bagus, tapi harganya cukup mahal. Voucher 2 jam seharga 10 ribu rupiah",4
19,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Akwan Kusala,"Salah satu Learning space + working space paling lengkap se Jogja, udah legend sejak taun 98, feels like home to be here",5
20,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Furqon Zulhaq,"Enak tempatnya, parkir mobil mudah lebih luas dan lebih kedap suara karena tempat agak lebih menjurus kedalam",5
21,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Its Me,"1 jam = 8000, untuk minuman dan makanan ada cafenya mulai 10k-30k, tempat nyaman dan bersih, dingin, suasanya sunyi diiringi musik menenangkan, sofa empuk, pelayanan baik. Jika log out semua data dipc otomatis hilang. Sangat saya rekomendasikan.",5
22,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Lirik Tetangga,"Internet superlemot, hanya 13 mbps jauh dr yg dijelaskan staffnya. Udah bayar 50K.",1
23,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Wiby Espe,"Saya suka tempat ini karena:
1. Luas
2. Banyak kursi
3. Koneksi sangat kencang
4. Koleksi film sangat lengkap

Saya kurang suka tempat ini karena:
Bagian luar gelap
Parkir tidak ada atap

Tapi saya suka tempat ini karena:
Banyak film terbaru, software, bahkan tutorial yg disediakan dalam multimedianya sangat lengkap

Saran:
Parkir ditambah atap seperti pada learning cafe lain di jakal misal luxury atau platinum",5
24,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,faisal Hrd,"Tempatnya mayan unik lah..cozy gitu internet kenceng colokan banyak, suasana gak terlalu rame. Harga makanan dan minuman standar cafe cafe lain. Biasa kesini buat lembur atau sekedar nongkrong sama temen2.  Good place",5
25,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,nyf daffa,"Mantabbbb buat ngopy film, lengkap banget filmnya dan update terus. Sampe kualitas gambar yang paling HD kayak IMAX pun ada, entah mas opnya dapet darimana wkwkw.

Makanannya juga enak terutama browniesnya, the best sihh.",5
26,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Rizki Wardana,"Tempatnya asik, nayaman buat ngerjain tugas, tenang, AC nya adem juga Dan juga pilihan menunya banyak banget, selain banyak juga enak2 rasanya. Mantap lebih maju sekarang ketimbang dulu yg hanya Warnet 🔥🔥 …",5
27,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Muhammad Sufi,"Tempatnya bagus, cocok buat produktif dan perlu internet kenceng, workaholic people area laksda pasti maen kesini, masih satu grup sama luxury jakal sama netcity timoho, cuma kurangnya gak disediain asbak buat abu rokok di hotspot area luar, pas nanya ke operatornya ga nyediain, masa iya saya buang abu roko sama puntungnya sembarang.",4
28,ChIJqd4OJsNZei4RcU1HLcMt4Ao,Internet Learning Cafe - Ambarukmo,Ronaldo Eko,"Tempatnya enak, pelayanannya juga ramah, pas banget kalo ngajak doi kesini",5
29,ChIJIaXI-ahZei4Rq1kqDh3QeZk,Izgara UrbanGrill Tugu,Wahyu Andhika Parama Putra,Mantap,5
30,ChIJIaXI-ahZei4Rq1kqDh3QeZk,Izgara UrbanGrill Tugu,Natan Daymonji,Bagus,5
31,ChIJ0zqqgqZZei4RYhYqlkrlrVo,JIAYU COFFEE,Rihadatul aisy 6_ 21,"enak si ini isian rotinya ga pelit enak bangett pokoknya, kopinya juga pas menurutku",5
32,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Night Kids,"tempat nongkrong strategis..harga menu termasuk murah,,tersedia free wifi.tempat parkir luas..sangat rekomendasi untuk keluarga dan remaja yang ingin bersangai",5
33,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Farming Explore,"Nyaman, masakan uenak, free wifi, Mie Ranti favorit. Recomended",5
34,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Vivo Oke,"Tempat nyaman,mbak bakul friendly pokok e tuman,,makanan juga ok punya",5
35,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Sumadi Sumadi,"Lokasinya mudah di jangkau, kopinya mantap",5
36,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Yu Moer,"Banyak pilihan kopinya..
Tom Yam jg oke..",5
37,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Tugi Yono,"Menu makannya enak, saya suka ayam gorengnya. Kopinya jg mantab. Tempat kecil gak mslh, buat ngobrol cocok. Aplg klo di tmbh lebar lg tmptnya psti akan tmbh nyaman.",3
38,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,John Kancil,Kopi pagi pelanggan kegasiken.. Nikmatnya ngopi di sini..,5
39,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Ardhany Widii,Walopun tempatnya nyelip tapi masakannya bintang lima loh. Enak2 semua terutama menu spesial mirantinya yang best seller. Dan satu2nya menu miranti hanya disini..,5
40,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Andi Kulonprogo,Enak sangat cocok untuk JD tujuan nongkrong,5
41,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Nisa Nurdianti,Tempat kurang luas,4
42,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,-renge-,"mantulll....mampir lagi nek pulang kampung 😃
enak² menunya, tempate luas, penjuale ramah 👍
sehat² mas heri & mbak chukie 🥰 …",5
43,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Cory Senjaya,"Masya Allah makanannya enak banget asli!!! Nasi goreng paling enak sekulonprogo, mau itu burgernya tahunya kopinya pokoknya semua. Wajib coba guys.",5
44,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,dita kurniawati,"Makanan enak, tempat nyaman, bersih ....pokoke recommended",5
45,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Sutarman Ganang,Pojok cafe untuk ngopi sekitaran Wates.......kopi lokal jos.,3
46,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Y,Masakan terbaik.,5
47,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Putri Ana,"Bersih, nyaman, orangnya ramah, makanan minuman enak",5
48,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,Suki Lestari,"Makanan nya enek harganya terjangkau banget
Tempat nya nyaman",5
49,ChIJQdv6ziP7ei4RvDkASKT5P-s,Java INDO Cafe & Resto,andan iswanjaya,"tempat ny nyaman, enak buat nongkrong, ada wifi.",4
