PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Aigo Seblak Korea Prasmanan,,,,,,,
,https://www.google.com/maps/search/Aigo Seblak Korea Prasmanan jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 bulan lalu,Julkifli Lubis,-,8 ulasan,"Makan Seblak disini baru pertama langsung ketagihan beli seblak disini, soalnya seblak nya enak bangeett buat yang doyan pedas recommended sih Aigo Seblak belakang Kampus Amikom. Lv pedas nya dari 1-5 kemarin baru coba Lv 2 yah cukup pedass tapi enak sih hargnya juga Terjangkau lah pas di kantong Mahasiswa. Bagi Kaum Mageran juga tersedia di GrabFood kemarin sempat Order di Grabfood juga",5
,,5 bulan lalu,Fikhitau,Local Guide,11 ulasan,"uwenakk, seblak lovers wajib kesini. banyak pilihan topingnya, penjualnya ramah, pembelinya ramah, yang lewat"" juga ramah.. semua ramah. i like it 👍",5
,,5 bulan lalu,Rany The Explorer,Local Guide,35 ulasan,"khusus take away, ada varian korea yang unik dan enakkk, pilihan toppingny super melimpahhhhh dan harga ramah kantong mahasiswa~",5
,,4 bulan lalu,Arsi Imam Baihaqi,-,1 ulasan,"Terbaik, pedesnya dapat sama bumbunya pas, banyak varian toping juga. Recomended",5
,,4 bulan lalu,Suparmiati Suparmiati65,-,1 ulasan,"dateng pas lagi ada promo, sebener e gak ada promo jg udah murce dan worth it.. harga mashasiswa dan penjual ramah sekali",5
,,5 bulan lalu,al hikmah,-,5 ulasan,"Rasanya worth it banget, aku pesen yang seblak Korea goreng, mantap rasanya
Gorengnya nggak keasinan dan toppingnya juga terjangkau juga melimpah, budget 15k bener"" kenyang😍😍😍",5
,,4 bulan lalu,Fatma yustiani,-,1 ulasan,"Seblak nya enak pollll, apalagi buat pecinta pedas, ini sangat recommended, disini banyak varian topping nya, bisa pilih sendiri tanpa minimal order dan murce bingitttt 🤩",5
,,4 bulan lalu,Nikmah Kusmiati,-,1 ulasan,"Seblaknya enakk poll, kemarin coba yg original enak bgt buat aku rasanya pas. level pedesnya juga mantap deh, mba yg jual juga ramah",5
,,5 bulan lalu,Melania Putri,Local Guide,3 ulasan,Seblaknya enak plus bisa milih toping sesuka kitaaa 🤤 tapi buat sekarang masih cuman bisa take away aja :',5
,,5 bulan lalu,Sulthan Ariq,-,7 ulasan,"masak nya lama :(, tapi terbayarkan dengan rasa yang enak dan murah. pilihan nya kuah dan goreng tapi saya nyaranin dipesen nyemek AKA setengah kuah setengah goreng :v",5
,,5 bulan lalu,Laila Ridha Kirana,-,3 ulasan,"seblak korea dgn pilihan topping yg buanyaakk bgtt yorobunn. AIGO, SUMPAAH COCOK BGT BUAT YG SUKA PEDESS!!",5
,,5 bulan lalu,Vefyra ID,-,2 ulasan,Murah bgt. Rasanya enak. Repeat order no problem!!! Ga kecewa lah. Mantap.,5
,,4 bulan lalu,Amelia Nanda Narosita,Local Guide,26 ulasan,Rekomen seblak area congcat yang enak dan murah tapi porsinya banyak bgt,5
,,4 bulan lalu,Gilang Septian Putra,-,2 ulasan,"rekomendasi bagus,  harga mahasiswa",5
,,5 bulan lalu,Yogi Anggoro,-,1 ulasan,"Yang doyan seblak bisa cobain, take away only....",5
,,4 bulan lalu,Maryanto,-,2 ulasan,"Mantap, harga terjangkau dan banyak pilihan. Anak saya suka",5
,,4 bulan lalu,Evi Erinda,-,1 ulasan,"Seblak aigo, mantul, rasanya nagih, pedesnya gledek. Uhuyy",5
,,4 bulan lalu,Tjandra Amad,-,1 ulasan,rasa enak dengan harga terjangkau,5
,,4 bulan lalu,Chandra Yoga,-,1 ulasan,"Enak dan murah, wajib jadi langganan 👍",5
,,5 bulan lalu,Alexander Zendy,Local Guide,12 ulasan,"Seblak nya enak, recomended",5
,,4 bulan lalu,Gerry Satria,,,,5
,,4 bulan lalu,Gerry Satria,,,,5
,,4 bulan lalu,Gerry Satria,,,,5
,,4 bulan lalu,Gerry Satria,,,,5
,,4 bulan lalu,Gerry Satria,,,,5
