PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Angkringan KlX,,,,,,,
,https://www.google.com/maps/search/Angkringan KlX jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Tabita Putri,Local Guide,40 ulasan,"Orderan di gofood udah 4 kali order tidak diambil, tapi restonya buka :( kalau memang gamau ambil lebih baik di off-kan saja :(",3
,,setahun lalu,Setetes Embun Malam,Local Guide,44 ulasan,"Tempatnya sejuk dan tenang, harganya murah meriah, enak pula",5
,,6 bulan lalu,Andi Kulonprogo,Local Guide,71 ulasan,Bersih enak,5
,,setahun lalu,tyon sulis,Local Guide,123 ulasan,panasss tempatnya kalo terik,4
,,setahun lalu,Dian Apit Fitriani Suharto Putri,-,2 ulasan,ibunya baik dan ramah banget,5
,,2 tahun lalu,Den Bagus,Local Guide,47 ulasan,sambelnya agak pahit terlalu banyak trasi,4
,,2 tahun lalu,Rudi Yono,Local Guide,103 ulasan,Makanan selalu hangat,5
,,2 tahun lalu,Bambang Wicaksono,-,1 ulasan,Okeeeee,5
,,2 tahun lalu,Christian Budi Andrianto,Local Guide,147 ulasan,enak,5
,,2 tahun lalu,ivanadikaid,Local Guide,13 ulasan,Oke,5
,,2 tahun lalu,Refaz Cello,,,,5
,,3 tahun lalu,Dhefan Bryan,,,,5
,,2 tahun lalu,Coasdialif Prima Floreanto,,,,4
,,setahun lalu,Arief rachman Wibowo,,,,2
,,2 tahun lalu,Arif Pendek,,,,3
,,2 tahun lalu,Azis Irawan,,,,5
,,2 tahun lalu,Akbar Wibowo,,,,5
,,2 tahun lalu,Hery Kiswanto,,,,4
,,2 tahun lalu,Tentang Perjalanan,,,,4
,,setahun lalu,Texindo Teknik,,,,5
,,2 tahun lalu,Dwi Sugiarto,,,,5
,,2 tahun lalu,Endy Anitiyarsa,,,,5
,,setahun lalu,Pesona Jogja Troops,,,,5
,,2 tahun lalu,ardhy 0794,,,,5
,,2 tahun lalu,idegila STM,,,,5
