PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Angkringan iva,,,,,,,
,https://www.google.com/maps/search/Angkringan iva jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,11 bulan lalu,Rizky Maulana,-,2 ulasan,"Sangat nyaman untuk bersantai saat sore atau malam minggu,menu lengkap harga bersahabat",5
,,3 tahun lalu,Mamak Melody,-,4 ulasan,Tempat angkringan asyik menu nasi bakarnya yahud makan satu rasanya kurang,5
,,6 bulan lalu,AM Dwiari,-,4 ulasan,Enak ki makan di angkringan ini. Jos gandos,5
,,6 bulan lalu,Tutik - Wijaya,-,1 ulasan,Susu jahe tiada duanya mantapppp bgtt......,5
,,10 bulan lalu,Ika Novianti,Local Guide,12 ulasan,"Tempatny sangat nyaman, sejuk, syahdu. Smua mkanan dan minumannya enak2. Cocok bnget untuk makan breng tmn2 dan kluarga.",5
,,10 bulan lalu,marsudi gundala,-,4 ulasan,Hari ini bayar besok  gratis,5
,,10 bulan lalu,Cisca tria,-,1 ulasan,"asyik, menunya mantull 😂👍 …",5
,,setahun lalu,A. Karel Aris P,Local Guide,40 ulasan,"Suasana & masakannya enak , mantap ..👍👍 …",5
,,8 bulan lalu,andi wicahyo,-,1 ulasan,Apapun di jual,5
,,3 tahun lalu,wahyu puji lestari,-,1 ulasan,Susu jahenya mantul...😍😍😍 …,5
,,3 tahun lalu,andi wicahyo,Local Guide,30 ulasan,Di pinggir kali,4
,,setahun lalu,maria rani,Local Guide,40 ulasan,Joss,5
,,3 tahun lalu,Bintoro Sidik,-,1 ulasan,Jika gandoz,5
,,3 tahun lalu,Joko Sulistyo,,,,5
,,3 tahun lalu,Anastasia Suhartini,,,,5
,,3 tahun lalu,Anastasia Suhartini,,,,5
,,3 tahun lalu,Anastasia Suhartini,,,,5
,,3 tahun lalu,Anastasia Suhartini,,,,5
,,3 tahun lalu,Anastasia Suhartini,,,,5
,,3 tahun lalu,Anastasia Suhartini,,,,5
,,3 tahun lalu,Anastasia Suhartini,,,,5
,,3 tahun lalu,Anastasia Suhartini,,,,5
,,3 tahun lalu,Anastasia Suhartini,,,,5
,,3 tahun lalu,Anastasia Suhartini,,,,5
,,3 tahun lalu,Anastasia Suhartini,,,,5
