PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Ayam Geprek Sarjana,,,,,,,
,https://www.google.com/maps/search/Ayam Geprek Sarjana jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,9 bulan lalu,Fadhillah Izzatun Nisa,Local Guide,15 ulasan,Cocok buat nunggu tempatnya. Untuk nasi ayam kentucky. Nasinya ambil sendiri. Minum lgsg di bawa. Kalau order nasi gorengnya cukup lama diantarnyaa jd memang harus menunggu. Ada 2 model tempat nya. Ada yg di halaman dan dlm warungnya.. Recomend banget buat para mahasiswa.,3
,,11 bulan lalu,Adolfina Tiku Lembang,Local Guide,40 ulasan,"udah sering banget makan disini dari sejak masih garden cafe, yang masih kurang dari dulu sampai sekarang bagian pelayanannya. mas mba terlihat tidak niat dan tidak friendly ke pelanggan bahkan belum pernah melihat satupun dari mereka yang bener2 friendly seperti seharusnya saat melayani costumer. meskipun capek usahakan tetap senyum ya mas mba, kalau ada costumer yang datang juga langsung ditanya jangan didiemin agak lama.
dulu pas masih ramai kuliah offline yang makan disini sampai ngantri banget juga mas dan mba kerjanya lesu banget, tidak gercep, bahkan terlihat sengaja dilelet leletin kerjanya LOL. waktu itu sempat ngantri belakang bule dan mas mba cs-nya juga digosipin sama bula kek ""mereka ini sangat lambat kerjanya, seperti tidak digaji"".
semoga kedepannya lebih baik lagi pelayanannya, meskipun makanan murah, enak, kalau yang melayani tidak friendly ya rada males juga sih.",4
,,4 tahun lalu,Nurcahyadi chayon,Local Guide,262 ulasan,"Nice place. Enak buat mahasiswa makan bareng, bisa sekelas makan di sini luas kok.",4
,,setahun lalu,ABHAR AMALI,-,1 ulasan,"Rasanya enak dan harganya murah banget, Rp8.000,00 udah dapet nasi ayam es teh. Muanntappp. Dan yang bikin salut si, yang mengelola mahasiswa UNY, woow",5
,,3 minggu lalu,eva natijatul,-,2 ulasan,"Makanannya enak, tempat luas, dekat dengan fakultas MIPA, harga juga masih terjangkau",4
,,5 bulan lalu,Nur Fadhilah,Local Guide,102 ulasan,"Tempat yang cocok buat nongkrong murah meriah bareng teman. Ayamnya bisa pilih crispy atau geprek. Pilihan sambal ada 3 macam, sambal mentah, matang, & pedas manis. Harga kisaran 10-15 ribu/porsi. Nasi boleh ambil sepuasnya.",5
,,3 minggu lalu,Fania Isna Agustin,-,2 ulasan,"Recomended bgt buat mahasiswa, menu nya enak"", harga nya terjangkau, letaknya juga strategis👍🏻",5
,,8 bulan lalu,rizqi aulia,Local Guide,8 ulasan,"Enak bangett, ayamnya juicy dan crispy. Sambalnya enak, pas gurihnya dan pedasnya. Harganya terjangkau buat mahasiswa",5
,,3 bulan lalu,Zianatul Makwa,Local Guide,78 ulasan,Recomended nasi ambil sendiri. Dekat kampus & kopma UNY,5
,,3 tahun lalu,Shinta Yuliasari,Local Guide,347 ulasan,"Salah satu tempat makan favorit mahasiswa uny. Rasa makanannya enak, harganya standar mahasiswa. Menu juga beragam. Menu nasi goreng gulung juga masih ada, walaupun rasanya agak beda ya. Ada menu snack juga buat teman ngobrol. Suasananya lumayan nyaman untuk berkumpul bersama teman. Tapi ati-ati kalau nemu kucing oren di gambar. Kurang ajar tuh kucing. Saking lapernya, sampai naik ke punggung orang.",4
,,3 tahun lalu,Existensa Pratiwi,Local Guide,433 ulasan,"Lokasi strategis di depan kopma UNY. Harganya juga standar, mulai dari 8000 udah dapet ayam, nasi, sama es teh. Sayangnya bentuk ayam (krispi dan geprek) di sini kecil banget, jadi kayak nggak makan apa-apa saking kecilnya, nggak seimbang sama nasinya yang banyak. Untuk rasanya biasa aja sih menurutku. Es tehnya terlalu manis. Pelayanan ramah, tempat lumayan bersih.",3
,,3 minggu lalu,Anisa Eka kusuma,-,3 ulasan,"Tempatnya adem, harga terjangkau, dan enakk. Recommended bgtt pokoknya 👍 …",5
,,3 minggu lalu,Fahri Amhar,-,2 ulasan,"Sebenarnya belum pernah ke sini, tapi sering lewatin aja, tapi kayaknya ngeliat antusias temen-temen, ini tempat yang oke",5
,,3 minggu lalu,Rangga Smti,-,5 ulasan,"Ayam nya cukup enak, nasi nya ambil sendiri, jangan lupa makan disini.",5
,,3 tahun lalu,Sony Adam Saputra,Local Guide,1.152 ulasan,"Ayamnya kecil-kecil, trus geprek tapi gak digeprek sama sambelnya.. jadi nggak berasa masuk ke ayamnya..

Tapi ayam en sambelnya emang maknyuss sekali..

Minusnya lagi, tempatnya panas.. antrinya bukan main..",3
,,2 bulan lalu,24. Natalis Dena Kristanti,-,3 ulasan,"tempatnya luas, makanannya juga oke. next bsk kesini lg",5
,,2 bulan lalu,Nazila Basuin,-,10 ulasan,"banyak piring bekas yg udah selsai belum diangkut, dibersihin. di mejanya terkesan penuh dan bau dr piring bekasnya lumayan menyengat.",3
,,2 tahun lalu,VadaAv,Local Guide,71 ulasan,"Harga standar, porsi pas, tepung ayamnya enak, tempat makan favorit sehabis pulang kuliah",5
,,4 tahun lalu,Van Di,Local Guide,26 ulasan,"Tempatnya berada di pertigaan, tepatnya disebelah barat jalan. Untuk tempat parkirnya ada di minimarket kopma uny, jika anda masuk anda dapat memilih bagian dalam atau pun luar untuk tempat duduk anda. Jika ingin memesan tanyalah kepada penjaga tentang menu yang tersedia. Ruangannya cukup menarik walaupun jika sore ke malam banyak nyamuknya. Namanya juga garden cafe haha. Makanan yang disajikan cukup lama sekitar 15 -  20 menit setelah anda memesan.",4
,,5 tahun lalu,Masbi,Local Guide,1.098 ulasan,Tempat makan murah n bersih dekat kampus iny,5
,,3 minggu lalu,Eka febtia Utami,-,2 ulasan,Ayam gepreknya enakkk nasinya bole ambil sepuasnya slskskksksk,5
,,6 tahun lalu,gor satria,-,4 ulasan,"Tempat penuh kenangan...
Banyak pilihan menunya...
Full wifi...",5
,,setahun lalu,Pradika Yt,-,1 ulasan,"Lokasi strategis harga ekonomis. ternyata bisnis mahasiswa, sukses deh pokoknya..",5
,,4 tahun lalu,Fajar Aditiya Sukma,Local Guide,18 ulasan,"Tempatnya Nyaman Sejuk, Disediakan Colokan Listrik, Pelayanan Cepat Ramah, Makanan disana juga enak.tersaji dengan baik, untuk nongkrong ataupun urusan bisnis dan yang lain cocok ditempat ini 😊😁
.
Salam dari Kopma Fatawa IAIN Salatiga",5
,,5 tahun lalu,Adin Baitipur,-,7 ulasan,Kuy kuy nongkrong di sini. Ekstra puas porsinya mini harganya..,5
