PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Bakpia Kukus Tugu Jogja - Toko Resmi Bandara YIA,,,,,,,
,https://www.google.com/maps/search/Bakpia Kukus Tugu Jogja - Toko Resmi Bandara YIA jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 minggu lalu,Syaiful Munandar (Ipung Soedarsono),Local Guide,438 ulasan,"Macem macem oleh oleh khas Yogya ada disini. Mulai dari cemilan bungkus bungkusan kaya pisang salai, wingko, sagon, dll nama namanya saya ga inget haha, pokoknya banyak macemnya. Dan khusus Bakpia Kukus katanya jarang jarang tu yg jual, nah store ini salah satu yg ready.
Tempatnya nyaman, storenya bersih rapi, ada toilet dan tempat duduk duduk yg nyaman, pelayanan mba mbanya juga ramah, full senyum.
Harga standar aja. Ga murah, ga mahal juga.
Buat kamu yg lagi di Pakem, Sleman pas aja kalo mau cek cek oleh oleh buat bawa pulang ke kampung di toko ini.
Jadii silahkan cek medannya sendiri gaes haha",4
,,3 minggu lalu,Sirilla Tarigan,Local Guide,147 ulasan,Bakpia kukus yg terkenal dengan bermacam rasa. Coklat keju strawberry. Dll. Cocok untuk dijadikan oleh2x tempatnya tapi dan bersih,4
,,2 bulan lalu,M. Rifki Rosady,Local Guide,976 ulasan,"Karena tidak terlalu luas sehingga belum banyak menu yang disajikan.

Kalau kondisi sudah normal ... mungkin bakalan ruaammeeee",4
,,2 minggu lalu,Dzulkifli Amnan,Local Guide,96 ulasan,"Bandaranya bersih luas dan nyaman, ada bakpia kukus...enak",5
,,sebulan lalu,Andrias Aan channel,Local Guide,10 ulasan,Tempat lokasi bersih n rapi...,5
,,9 bulan lalu,Irma Lindavrya,Local Guide,193 ulasan,Ada size kecil yg harganya murah...lumayan buat bagi oleh2...hrga mulai dr 17rbuan aja,5
,,sebulan lalu,Giyono Hatisujito,Local Guide,607 ulasan,Enak bersih kering layanan enjoy jawa kawi,5
,,2 bulan lalu,Andi Muammar,Local Guide,87 ulasan,Nagih banget,5
,,2 minggu lalu,Zunnur Betta Farm,Local Guide,24 ulasan,"Bervariasi rasa yang tersedia,,,",5
,,setahun lalu,euis aisah,-,97 ulasan,"Yummi rasanya, sambil olah raga jalan pagi 2x,  Tokonya deket Statsiun Lempuyangan Yogyakarta",5
,,sebulan lalu,Sismono Aziz,Local Guide,10 ulasan,Mantab lokasinya,5
,,setahun lalu,Ayub,-,19 ulasan,"Saya cuma lewat depan tokonya. Pernah nyoba punya teman, enak.",5
,,3 bulan lalu,Susi Yunarti,Local Guide,188 ulasan,Lokasinya mudah ditemukan,5
,,3 bulan lalu,andi triyanto,Local Guide,195 ulasan,Tempatnya cari oleh oleh di jogja,4
,,9 bulan lalu,Theoder M Ranteala,-,5 ulasan,Mantap YIA,5
,,setahun lalu,Haryono Hanung,-,28 ulasan,Tolong tambahkan jam buka outlet di googlenya ya. Overall mantab bakpianya..,5
,,7 bulan lalu,Nanda Putra Wijaya,Local Guide,369 ulasan,Oke buat oleh²,4
,,sebulan lalu,joko sumartono,Local Guide,210 ulasan,khas,5
,,6 bulan lalu,ED Kusumo,Local Guide,384 ulasan,Mampir yukkk....,5
,,2 tahun lalu,Arif M,Local Guide,56 ulasan,Lokasi toko di ruang tunggu keberangkatan.,4
,,9 bulan lalu,Ketut Seni,Local Guide,289 ulasan,Bakpianya enak,5
,,10 bulan lalu,Noa Salfhali,Local Guide,65 ulasan,Yang coklat enak sih,4
,,6 bulan lalu,Anggih Tangkas,Local Guide,138 ulasan,langganan klo ke Yogya,5
,,6 bulan lalu,cahyo martawan,-,164 ulasan,Enakk,5
,,2 tahun lalu,Shinta Prastika,-,392 ulasan,Bakpia kukus dibandara yia juga ada.buat oleh oleh,5
