PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Bakul jamu Bu Siti,,,,,,,
,https://www.google.com/maps/place/Warung+Jamu+Tradisional+Bu+Mamik/data=!4m7!3m6!1s0x2e7a57ba27bc51a1:0x43fd217875dd81c7!8m2!3d-7.8252749!4d110.3608678!16s%2Fg%2F11bbx1bd2x!19sChIJoVG8J7pXei4Rx4HddXgh_UM?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,Tri Jepank,Local Guide,140 ulasan,"Jamu watukannya manjur. Antrinya banyak tapi tdk lama.
Tempatnya didaerah pondok pesantren krapyak, barat jalan..",5
,,setahun lalu,FZahra,-,1 ulasan,Antrinya yg sesudah saya dilayani duluan dan itu 2 org.,1
,,2 tahun lalu,maseko Wijayanto,Local Guide,15 ulasan,"gak da saingan...jamu kenthel..bener"" mmbuat tenaga pulih",5
,,4 bulan lalu,M dalili Rohmatulloh,Local Guide,12 ulasan,enak,2
,,3 tahun lalu,Latifah Kusuma,Local Guide,858 ulasan,Pelayanan ramah. Kadang antre banyak. Rasa juara,4
,,3 tahun lalu,Rusdi Kalkun,Local Guide,222 ulasan,Mantap,4
,,setahun lalu,Nyoto Nyoto,Local Guide,47 ulasan,Jamu tradisional tersedia komplit.,5
,,5 tahun lalu,Risnanda Mega,Local Guide,152 ulasan,Jamu menyehatkan,5
,,6 bulan lalu,Bromo Cailendra,,,,5
,,4 tahun lalu,Imaina Syafira,,,,4
,,setahun lalu,Khoirul Ana,,,,5
,,6 tahun lalu,Sepsiana Puspitasari,,,,5
,,setahun lalu,Arina Yuniati,,,,5
,,2 tahun lalu,Yuhza Berty,,,,4
,,5 tahun lalu,Akbar Yunantio,,,,5
,,5 tahun lalu,Akbar Yunantio,,,,5
,,5 tahun lalu,Akbar Yunantio,,,,5
,,5 tahun lalu,Akbar Yunantio,,,,5
,,5 tahun lalu,Akbar Yunantio,,,,5
,,5 tahun lalu,Akbar Yunantio,,,,5
,,5 tahun lalu,Akbar Yunantio,,,,5
,,5 tahun lalu,Akbar Yunantio,,,,5
,,5 tahun lalu,Akbar Yunantio,,,,5
,,5 tahun lalu,Akbar Yunantio,,,,5
,,5 tahun lalu,Akbar Yunantio,,,,5
