PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Caffe77,,,,,,,
,https://www.google.com/maps/place/Cafe+enjoy+2000+tiga/data=!4m7!3m6!1s0x2e7a59517f2f6b23:0xb3937b07fbaaff1d!8m2!3d-7.7630854!4d110.3762746!16s%2Fg%2F11h04lb09p!19sChIJI2svf1FZei4RHf-q-wd7k7M?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 tahun lalu,Dian Agustina Saputri,Local Guide,181 ulasan,"Akusih suka nykripsi disini. Masnya ramah ramah dan menunya murah. Temptnya juga nyaman. Nasgornya under 20k dan lengkap minumannya mulai dari teh , kopi, milkshake ada semua.wifinya juga lumayan lahhh. Dia punya 2 lantai, cukup luas.",5
,,3 tahun lalu,Adit Wardhana,Local Guide,55 ulasan,"Yang cari cafe murah, wifi kenceng , harga mahasiswa ditengah kota, luas dan gak bising. Ini tempatnya karena berada di dalam gang jadi tidak berisik kendaraan bermotor, apa lagi disini harganya dijamin murah. Dari area smooking dan tidak smooking ada disini, yang pasti dijamin juga enggak sumpek karena ada kipas angin dan ac",5
,,4 tahun lalu,Diana Nurlita,Local Guide,18 ulasan,"Nasgor spesialnya enakk... Nasinya aron, trs asin n gurih, trs lauknyaaa mantabss irisan cumi, ayamnya banyak..  Tambah telor mata sapi ... Cuman ini ak take away, ga makan ditempat...",4
,,3 tahun lalu,Mohamad Bayu,Local Guide,103 ulasan,"nyaman kalau utk sekedar ngerjain tugas, menu lebih terjangkau dibanding cafe lain",5
,,4 tahun lalu,dany prabowo,Local Guide,85 ulasan,"Murah, enak, free wifi cocok buqt skripsweet sayangnya panas kalau chef lg masak",4
,,3 tahun lalu,Arzakhy Indhira,Local Guide,30 ulasan,"Makanannya enaak. Murah-murah, sesuai banget buat kantong mahasiswa yang mau makan cukup mewah (rata-rata harga makanan under 20k). Saya suka nasi gorengnya. Porsinya banyak, bikin kenyang, enak pokoknya. Sweet black tea-nya juga enak. Wifi cepet. Cuma sayangnya... Kadang-kadang beberapa pelanggannya berisik, ditambah ruangannya yang mungkin menggema, jadi kalo ada yang ngobrol di dalam, rame-rame, apalagi kalo ketawanya kenceng banget, bisa kedengeran sampek kos sebelahnya. Malah pernah ada yang rame-rame nyanyiin yel-yel jam 10 sampek 11 malam. Pernah juga ada (entah itu pelanggan atau pegawai) yang ngobrol kenceng banget di depan kafe jam 12 malam lebih. Cukup mengganggu saya yang berusaha tidur hehe. Semoga bukan pegawai ya. Tapi nggak papa sih, namanya juga resiko tinggal di kos-sebelah-lahan-yang-sekarang-jadi-kafe, cukup memotivasi saya agar segera menyelesaikan skripsi, agar segera lulus dan pindah dari sini. Hehe.

Mungkin bisa jadi saran, buat pelanggan/calon pelanggan, kalo dateng malem-malem, tolong agak dikontrol suaranya karena di sekitar kafe ada rumah dan beberapa kos. Ada orang-orang yang ingin istirahat di dalamnya :)",3
,,3 tahun lalu,Kamaluddin Wiryawan,-,6 ulasan,Tempat nya lumayan susah di cari. Kalau untuk makananya pas di kantong mahasiswa. Dekat dengan asrama dan kosan. Rekomendasi untuk mahasiswa mengerjakan tugas karena buka sampai malam. Tempat juga nyaman.,3
,,3 tahun lalu,Ade Jaya S,Local Guide,179 ulasan,"Harganya belasan ribu, masih bisa lah buat Kantong mahasiswa",5
,,4 tahun lalu,Prajawan kusuma wardhana,Local Guide,41 ulasan,"Tempatnya nyaman, pelayanan ramah, banyak pilihan menu. Di sini kalian bisa nongkrong sama teman-teman, atau mau fokus  ngerjain tugaa kuliah atau kerjaan juga oke.",5
,,3 tahun lalu,nursaadah nubatonis,Local Guide,32 ulasan,"Harganya terjangkau
Widiya masih kenceng
Pegawainya ramah
Sayangnya cuman bukan sampai jam 12 malem.
Tapi kadang masih ada toleransi sih sampai jam setengah 1.
Kalau bukanya sampai jam 2 ku yakin mesti lebih mantep 😂",5
,,4 tahun lalu,Suryanto Jumblangan,-,5 ulasan,"Tempatnya nyaman buat nongkrong,apalagi mahasiswa ,cocok buat ngerjain tugas .WiFi lancar Snack dan makanan harga terjangkau ..",5
,,3 tahun lalu,Costa Yoz,Local Guide,134 ulasan,"Harga nya bersahabat, wifi kenceng, pegawai juga ramah bersahabat..
Tempatnya juga nyaman utk nugas atau nyekripsi. Banyak colokan dimana mana hehehe",5
,,4 tahun lalu,junita tya,Local Guide,123 ulasan,"Tempatnya baru, di belakang wisma kinanthi. Harga pas di kantong, tempat nyaman, makanan enak, lantai bawah buat laundry, parkir tidak luas.",4
,,4 tahun lalu,Iqbal Shavikri,Local Guide,39 ulasan,Enak buat ngerjain tugas atau sekedar nongkrong. Menunya murah,5
,,4 tahun lalu,Eman Ngoi,Local Guide,21 ulasan,"Tempatnya asik buat ngopi santai sambil kerja tugas.
Seperti namanya enjoy tempat buat nyantai.",5
,,3 tahun lalu,izzuddin robbani,Local Guide,106 ulasan,"Mantapp, cozy dan terjangkau. Enak buat ngerjain tugas atau sekedar nongkrong",5
,,3 tahun lalu,Azka Syamila,Local Guide,59 ulasan,"Playlist nya sama terus, waktu dulu mengunjungi. Terbaik oreo milkshake.",4
,,4 tahun lalu,Hermawan,Local Guide,14 ulasan,Grand opening awal maret.untuk lokasi strategis nyaman dan harga murah,5
,,3 tahun lalu,Cah Rantau,-,6 ulasan,Tempat nya bagus. Nyaman. Pelayanan nya pun menyenangkan karyawan nya ramah ²👍👍 …,5
,,3 tahun lalu,Akbarul Rizky,Local Guide,76 ulasan,"Tempatnya enak dan cozy, makanan dan harganya pas",5
,,4 tahun lalu,Walda Khoiriyah,Local Guide,53 ulasan,Suasana classy dan nyaman. Desain interiornya bikin suasana nyaman,5
,,4 tahun lalu,Akhmad Esakta,Local Guide,88 ulasan,Suasananya enak buat nongkrong sama nugas,4
,,4 tahun lalu,2000tigaclinic Jogja,-,2 ulasan,"Telah dibuka cafe enjoy 2000 tiga
Semoga 2000 tiga grub lancar.amin",5
,,4 tahun lalu,Rury Eprilurahman,Local Guide,156 ulasan,Mantaaap... Nasgor dan kopinya enak...,5
,,3 tahun lalu,Abi Yusuf,Local Guide,91 ulasan,Tempat nyaman dan asyik,5
