PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Coconut shake,,,,,,,
,https://www.google.com/maps/place/Coconut+Shake+joss/data=!4m7!3m6!1s0x2e7a577bf2c6fe91:0xfb2fbcbdea14b2d1!8m2!3d-7.8242379!4d110.3654709!16s%2Fg%2F11gk39ymsf!19sChIJkf7G8ntXei4R0bIU6r28L_s?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Az Zada,-,2 ulasan,Sehat,5
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
,,setahun lalu,Fitrahmadhany KM,,,,3
