PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
De Djogdja,,,,,,,
,https://www.google.com/maps/place/De+Djogdja/data=!4m7!3m6!1s0x2e7a583227919bc1:0x1beb5897e7714ef0!8m2!3d-7.783596!4d110.3726422!16s%2Fg%2F1pzx_y5d3!19sChIJwZuRJzJYei4R8E5x55dY6xs?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 tahun lalu,Single Fighter,-,1 ulasan,Keren,5
,,2 bulan lalu,bagus triprasetyo,-,4 ulasan,Perjam berapa,3
,,3 tahun lalu,Agung Nugroho,Local Guide,93 ulasan,Bagus,5
,,4 tahun lalu,zamira bias,,,,4
,,4 tahun lalu,haikal sulistyo,,,,5
,,4 tahun lalu,Joglo Palireman,,,,5
,,4 tahun lalu,Putri Intan,,,,4
,,4 tahun lalu,Dwee Moore,,,,5
,,4 tahun lalu,Calon Engineer,,,,5
,,4 tahun lalu,yvesta putu,,,,3
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
,,3 tahun lalu,Gojek Jogja,,,,4
