PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Depan Rumah streetbar,,,,,,,
,https://www.google.com/maps/place/Depan+Rumah+streetbar/data=!4m7!3m6!1s0x2e7a59de38f90301:0x4ef8f2ed66f9212b!8m2!3d-7.7777721!4d110.3790907!16s%2Fg%2F11mw7gngzq!19sChIJAQP5ON5Zei4RKyH5Zu3y-E4?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,desta putra,-,3 ulasan,Tempatnya asik banget,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
,,2 tahun lalu,Fauzan Lazuardi,,,,5
