PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
EB Café,,,,,,,
,https://www.google.com/maps/place/be.U+Cafe/data=!4m7!3m6!1s0x2e7a57fd7e977399:0x76cccd14aea8a620!8m2!3d-7.8282599!4d110.3798704!16s%2Fg%2F11trk7548y!19sChIJmXOXfv1Xei4RIKaorhTNzHY?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 bulan lalu,Muhammad Fakhrurrozi,Local Guide,18 ulasan,"Salah satu tempat yang nyaman untuk menghabiskan waktu bersama teman, terutama saat sore hingga malam. Suasana yang tenang ditambah dengan varian menu yang unik dan tentunya enak-enak dijamin bikin betah.",5
,,3 bulan lalu,Richo Mahendra,-,2 ulasan,"Tempat simple, menunya enak2, dan tentunya sesuai dengan kantong mahasiswa.. 😁😁 …",5
,,3 bulan lalu,efi roslianti,-,1 ulasan,"Tempat sama makanannya enak, dan yang paling saya suka dari tempat ini suasananya terutama pada jam 6 sore",5
,,2 bulan lalu,Gus Rifan,-,3 ulasan,Walau kecil tempatnya tapi besar puasnya...,5
,,3 bulan lalu,Rahma Septiana,-,3 ulasan,harga minuman dan makanan budget mahasiswa,5
,,3 bulan lalu,Pramana Aji,-,5 ulasan,"Tempatnya estetik, simple",5
,,3 bulan lalu,Soherman Sohermanp,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
,,3 bulan lalu,Samiyem Krapyak,,,,5
