PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
ESCO RESTAURANT  NO.27 COFFEE,,,,,,,
,https://www.google.com/maps/search/ESCO RESTAURANT  NO.27 COFFEE jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,7 bulan lalu,Dhani Arman,Local Guide,90 ulasan,"Makananya enak, kopinya ada pilihan tidak menggunakan susu. Tempatnya luas, sangat nyaman, ada meja pingpong untuk bermain bersama teman. Kadang agak bising karena tempat terbuka. Ramah perokok, ada ruangan AC non perokok juga. Secara umum aman untuk nongkrong. Sangat suka menu humusnya, sangat direkomendasikan.",4
,,4 minggu lalu,Michelle,-,2 ulasan,"Tempat yang enak buat nongkrong dan nugas. Ada indoor ada outdoornya. Sering kesini karena suasananya enak banget! Pelayanannya friendly banget ! Mas dan mba nya asik-asik diajak bercanda 🥰 rekomendasi cheese burger nya (kirain dikit ternyata ngeyangin banget). Avocado salad nya juga enak 😭Mereka ada plant-based milk juga loh ternyata. Kalau ga terlalu suka kopi tp pengen minum kopi, aku rekomendasiin almond latte nya enakk! Manual brew nya juga enak apalagi diminum pas lagi ujan-ujan👍",5
,,9 bulan lalu,Aulya Avionhela,Local Guide,142 ulasan,"makanannya enak, tempatnya juga nyaman. tapiii suara pintunya perbatasan indoor dan outdoor kurang nyaman, bikin kaget yang duduk di dekat pintu tsb. mohon diperbaiki☺️👍🏼 …",5
,,setahun lalu,ZLA,-,3 ulasan,"Disini menunya cukup bervariasi dengan harga yang terjangkau. Pastanya enaaak! Tempatnya juga enak buat kumpul-kumpul santai sama temen maupun buat nugas. Gue pribadi prefer duduk di area outdoor sih, asik apalagi kalo malem. Ngga sunyi dan ngga terlalu berisik juga.",4
,,3 bulan lalu,Sally 1412,Local Guide,28 ulasan,Bagian dalamnya luas. Lumayan estetik. Bagus juga. Menunya juga lengkap. Enak buat santai lama. Tapi tempat duduknya kurang banyak sih menurut ku,4
,,3 bulan lalu,Lilly Christina,Local Guide,112 ulasan,"Tempatnya oke, pelayanannya super ramah, dan lumayan cepat juga, semua menu yang kita pesan enak enak semua 👍👍👍 chicken steak, burger, nasgor teri kemangi superb 😋😋 definitely will be back",5
,,setahun lalu,Maulyda Pritha,Local Guide,60 ulasan,"Tempatnya sebenarnya ngga terlalu luas, cuma bagian outdoor nya enak aja. Kalaupun disana siang2, ngga terasa panas. Jadi mau siang sore apa malam, di outdoor enak enak aja.
Untuk makanan nya, agak pricy sih , cuma sebanding sama rasanya. Pelayanan juga oke

Ice Lychee Tea : ⭐⭐⭐
Buttermilk Fried Chicken : ⭐⭐⭐⭐
Udang Bakar Jimbaran Sambal Dabudabu : ⭐⭐⭐⭐
Guilty Platter : ⭐⭐⭐",5
,,setahun lalu,Lutfia Prihanani,Local Guide,682 ulasan,"Resto ini ganpang banget nyarinya, deket banget sama sadar. Parkiran luar, kamar mandi bersih, ada indoor dan outdoor juga, menunya ga terlalu banyak tapi lumayan. Wifi kenceng, dan wellcome untuk pengguna wheelchair. Untuk yang outdoor mungkin perlu di kasi bell ,atau waitress uabg standby, soalnya agak ribet kalo mau pesen.",3
,,8 bulan lalu,faisal Hrd,Local Guide,296 ulasan,"Syahdu sambil menikmati semilir angin disore hari ditemani secangkir kopi. Luas dan bersih. Harga standar cafe di perkotaan tp ini agak lebih mahal dikit, krn banyak bule2 yg suka nongki disini juga kali yak. Internet wifi lancar jaya. Menerima semua tipe pembayaran Tunai dan Non Tunai. Parkir mobil mudah. Overall recommended.",5
,,2 tahun lalu,Cyrilla Amanda,Local Guide,34 ulasan,"tempatnya bagus dan nyaman. suasananya cukup baik. tersedia indoor dan outdoor. terdapat sofa (cukup banyak), ada tempat bermain ping pong. harganya umum seperti cafe/restoran sekelasnya. pilihan makanan dan minuman cukup bervariasi. rasa standar.
tersedia juga toilet luas, terpisah pria-wanita, ada wastafel. pelayan ramah. tersedia colokan dan wifi juga. pencahayaan kurang bagus untuk foto di indoor malam hari. happy trying dolan peeps!",4
,,2 tahun lalu,Nur Pancha Putra Batubara (Pancha Batubara),Local Guide,242 ulasan,"CHEESE BURGER JUICY & TEBAL. Cheese burgernya Recommended, lumayan tebal, juicy, tipikal american burger. Menu baru mereka yang lain juga enak, seperti Chilli BBQ Sausage Fries-nya yang kejunya bangak plus potongan sosis dan jalapeno.",5
,,2 tahun lalu,winda ayudita,Local Guide,75 ulasan,"Salah satu cafe yang berada di Demangan, lokasinya cukup strategis dan mudah ditemukan, parkirannya cukup luas, interior cafenya cukup unik, ada area indoor dan outdoor, di bagian outdoor ada tamannya, dan juga ada meja pingpong, customer bisa main pingpong dengan deposit 5rb. Fasilitas cukup lengkap ada mushola juga. Menunya bervariatif ada makanan berat dan juga Snack, minuman juga banyak, mulai dari beer, coffee, mojito, milkshake, healthy juice dll. Harganya sedikit mahal karena harga yg tertera di menu belum termasuk tax. Kalo lagi rame WiFi agak lambat. Pelayanannya baik, setiap meja di outdoor terdapat asbaknya. Toiletnya cukup luas dan punya desain yg unik. Tempatnya cocok buat nugas ataupun sekedar nongkrong.",5
,,3 bulan lalu,Natsir Muin,Local Guide,110 ulasan,Pelayannya cm 1 orang yg ngerangkap segalanya. Kamu ga dianggap spesial. Makanannya unik2. Rasa lumayan lah. Suasananya tenang buat kerja atau buat belajar. Ada outdoor maupun indoor,4
,,2 tahun lalu,Mariani Sutanto,Local Guide,552 ulasan,"Afogato di sini unik rasanya, mungkin karena jenis kopi yang dipakai agak beda. Tidak terlalu pahit seperti afogato  lain yang pernah kunikmati.

Menu makanan beratnya juga variatif. Aku mencoba tortilanya. Walau ini menu yang termasuk baru untukku, aku suka. Kelihatannya hanya 5 potong, tapi kenyamg sekali rasanya.

Cafe ini cantik dan eksotik. Petugasnya menurutku intelek, mereka santai dan sangat menolong. Mereka sangat memperhatikan plating dan cara menyajikan. Love this cafe!",5
