PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Food Court Universitas AMIKOM Yogyakarta,,,,,,,
,https://www.google.com/maps/search/Food Court Universitas AMIKOM Yogyakarta jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 tahun lalu,Febry Fidelia,Local Guide,108 ulasan,"Awalnya food court ini ada di basement tp skrg pindah di samping gedung pasca sarjana. Dibanding tempat yg sebelumnya, ini jauh lbh bersih, jauh lebih bagus, jauh lbh rapi, dan jauh lbh higienis. Kekurangannya hanya di pembayaran yg sangat memakan waktu krna harus menyerahkan nota dr tenant ke kasir utk membayar, setalh dibayar struk yg didpt kita kasih ke tenant utk ditukar dgn makanan. Jika anda memesan saat jam 12.30-13.30, antrian kasir bisa memakan waktu hingga 45menit",3
,,4 tahun lalu,Vinny Anugraha,Local Guide,489 ulasan,"Kantin yang kemarin di basement sekarang pindah kesini, tempatnya bagus, mejanya banyak",4
,,4 tahun lalu,B. S.N.,Local Guide,534 ulasan,Tempat luas & variasi makanan banyak. No smoke area & teduh. Hindari makan di jam-jam makan siang.,4
,,4 tahun lalu,Purwo Andanu,,,,5
,,4 tahun lalu,ilyasnf,,,,5
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
,,4 tahun lalu,dwipela agustina,,,,4
