PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
GONDESTEAM,,,,,,,
,https://www.google.com/maps/place/GONDES+TEAM/data=!4m7!3m6!1s0x2e7a59a6caf114d9:0x83c6b86af570f267!8m2!3d-7.7667572!4d110.4098058!16s%2Fg%2F11gl0snw_y!19sChIJ2RTxyqZZei4RZ_Jw9Wq4xoM?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 tahun lalu,iskandar jerink,Local Guide,18 ulasan,Warung semi remang2 😂 …,5
,,2 tahun lalu,Agustinus Dani Witanto,-,5 ulasan,Kumpul Kumpul,5
,,2 tahun lalu,Mujianto,Local Guide,201 ulasan,warna nyeri,5
,,4 tahun lalu,Was Podho,-,7 ulasan,Ya,5
,,setahun lalu,plung nyott,,,,5
,,4 tahun lalu,Dwi Siswanto,,,,5
,,4 tahun lalu,agustinus dani,,,,5
,,4 tahun lalu,imannuel marlendra,,,,5
,,4 tahun lalu,BENN GAMING,,,,5
,,4 tahun lalu,Adi Mdpl,,,,5
,,4 tahun lalu,Wardoyo Gocar,,,,5
,,setahun lalu,Afika Putri,,,,5
,,4 tahun lalu,Rama Yanuar,,,,5
,,4 tahun lalu,Rama Yanuar,,,,5
,,4 tahun lalu,Rama Yanuar,,,,5
,,4 tahun lalu,Rama Yanuar,,,,5
,,4 tahun lalu,Rama Yanuar,,,,5
,,4 tahun lalu,Rama Yanuar,,,,5
,,4 tahun lalu,Rama Yanuar,,,,5
,,4 tahun lalu,Rama Yanuar,,,,5
,,4 tahun lalu,Rama Yanuar,,,,5
,,4 tahun lalu,Rama Yanuar,,,,5
,,4 tahun lalu,Rama Yanuar,,,,5
,,4 tahun lalu,Rama Yanuar,,,,5
,,4 tahun lalu,Rama Yanuar,,,,5
