PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Gadri Resto,,,,,,,
,https://www.google.com/maps/search/Gadri Resto jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,sebulan lalu,Dyar Ayu Budi Kusuma,-,7 ulasan,Setelah mampir ke mari jadi gak penasaran lagi bagaimana isi dalam rumah bangsawan Jogja. Makanannya yang dihidangkan pun lezat dan kebanyakan mulai jarang ditemukan di tempat lain.,5
,,3 bulan lalu,Muhammad Faisal (mufa_isal),Local Guide,14 ulasan,"Resto ini sepertinya usaha keluarga. Tempatnya pun merupakan rumah keluarga Gusti Joyokusumo (adik kandung Sri Sultan HB X). Berkunjung ke sini saat malam hari, dan bertepatan menghadiri HUT salah satu OKP di Jogja. Makanan yang disajikan enak. Pelayanan ramah. Suasana di sini sangat kental dengan kebudayaan Jawa baik itu bangunan, kuliner, cerita, benda peninggalan, hingga terdengar alunan gamelan khas Jogja. Terdapat banyak foto di dinding yang berisi foto keluarga Gusti Joyo, HB X, dan bahkan keluarga keraton lainnya. Was a nice experience in Gadri Resto.",5
,,setahun lalu,Rr. Marsa Ulfita,-,48 ulasan,"Istimewa sekaliiii, pengalaman yg luar biasa makan di sini yg sekaligus rumah dari Gusti Joyo (adik Sri Sultan HB X). Tidak hanya makan & minum yg disajikan di sini, tapi ruangan-ruangan bersejarah pun jg boleh di kunjungi oleh kami. Menu yg tertulis pun semua memiliki makna & sejarahnya masing-masing. Pada saat makan di sini malam hari, saya & keluarga sempat bertemu dg istri Gusti Joyo, sangat ramaaah sekali beliau, menjelaskan dg detail & lemah lembut❣",5
,,6 bulan lalu,Elis Kumara Djati,Local Guide,101 ulasan,"Pengalaman seru dan ngumpul bareng teman Hipmikimdo disini..maju bersama. Keren banget acaranya, tempatnya.. terima kasih Bunda Ida..sehat sll

Terima kasih @Carinih..",5
,,2 tahun lalu,andy natanael,-,1 ulasan,"Tempat makan yang luar biasa. Adik kandung Sultan X, low profile, informatif dan makanan khas Keraton yang tidak ada tempat lain. Nasi blawong, manuk nom, telo ijo. Enak, dan karena covid kita bisa kebagian tempat. Kalau sebelumnya maka harus reservasi dulu",5
,,4 tahun lalu,Fredrikson Horo,Local Guide,115 ulasan,"Saat kami datang, pengelola memberikan  minuman selamat datang yang rasanya manis jahe dan enak sekali disajikan  masih hangat. Menu sup jagung sebagai pembuka disajikan  dengan menarik dan rasanya menggugah selera makan. Konsep keraton sangat kental di sini. Semua menunya enak.",5
,,3 tahun lalu,wini diaz,Local Guide,68 ulasan,Resto ini sebenarnya adalah rumah keluarga sultan yang di fungsikan sebagai resto sekaligus rumah tinggal. Makanannya enak banget. Plus kami diperbolehkan untuk melihat2 dan berfoto di dalam rumah. Bahkan masuk e kamar tempat kelahiran sri sultan. Banyak sekali barang2 antik di sana. Keren abis.,5
,,4 tahun lalu,Hasfery Prajatmanto,Local Guide,13 ulasan,Lokasinya dekat keraton. Tempatnya sepi banget. Harga makanan dan minumannya agak mahal. Harus sabar ya nunggu makanannya disajikan. Sekitar setengah jam. Kalau udah laper banget mendingan jangan makan di sini. Dan harus siap kecewa sih sama rasa makanannya.,2
,,8 bulan lalu,Fariz Personal,-,532 ulasan,"Kesini Bolak Balik, Tapi Kali ini pas Ada Jogja Tea Festival.",5
,,3 tahun lalu,Gracia New (Ernita),Local Guide,111 ulasan,"Makanya uenak, penyajianya cepat, banyak menu unik yang recomended, pemiliknya ramah dan selalu menyambut tamu dg baik, nuansa yg asri dan adem dg iringan musik lirih membuat makin betah berlama lama disana",5
,,11 bulan lalu,A M I R A •,Local Guide,101 ulasan,"Pengalaman luar biasa, keramahan staf kitchen, mbak ownernya dan bisa memasuki sebuah kediaman Kerarton.. itu sangat penting utk edukasi anak2",5
,,5 tahun lalu,Allan Rahadian,Local Guide,70 ulasan,"Makan sambil berwisata kalau disini, suasananya OK banget.. Heritage keratonnya masih terasa sekali..  Makanannya standard enak lah, harga juga sesuai..",5
,,4 tahun lalu,mas ipoelade,Local Guide,197 ulasan,"Gadri resto makanannya enak dan njawanj banget, alunan gending menemani santap siang sungguh menyenangkan",5
