PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Goodwin Bar and Eatery,,,,,,,
,https://www.google.com/maps/search/Goodwin Bar and Eatery jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,johanes kharisma,Local Guide,105 ulasan,"Yang lagi cari tempat nongkrong, recomended banget. Pelayanan ramah, minuman cukup lengkap untuk menemani santai bareng temen2. Cocok lah",5
,,seminggu lalu,nevy ayuputri,Local Guide,58 ulasan,Tempatnya enak dibuat ngobrol santai. Recommended nasgor kampungnya👍🏻 …,5
,,2 tahun lalu,Yuliani 07,Local Guide,58 ulasan,"Tempatnya enak, bisa privat party juga, parkir luas , bisa alc dan non alc, banyak juga menu pilihannya, staff juga ramah2 😊 …",5
,,4 tahun lalu,Adw Seta,Local Guide,161 ulasan,"Tempatnya nyaman buat nongkrong.
Ada live musik .
Toilet bersih",4
,,2 tahun lalu,Atieka Maia,Local Guide,15 ulasan,"Staff ramah,dj nya jg oke dan serasa private party daah 😄 …",5
,,5 tahun lalu,Indra Prasta,Local Guide,57 ulasan,"Nyaman buat ngebeer, free wifi, tidak berisik",5
,,3 tahun lalu,Wancez Ridha,-,7 ulasan,"Ini buat nongkrong enak di seputaran seturan yg padat menjelang taunnbaru.. Heran tempatnya sepi.. Smoking bebas bisa in/outdoor. Di lantai 2 katanya ada semacam lounge.  Music bagus harga beer jg so so lah.. Syg manajemennya kyk ga butuh duit. Menurut waiter yg sy tanya, sejak buka tempat ini ga pernah rame. Gitu2 aja.. Paling 5-6 table terisi dari kapasitas more than 20 tables. Heran",4
,,4 tahun lalu,Wahyu Komari,-,2 ulasan,"Kopinya enak.  Live music nya asik banget. Pegawai ramah, harga di atas kualitas.  Lantai 2 sangat cocok untuk ngobrol dan kumpul - kumpul dengan teman.  Yang suka bir dan wine di sini juga ada.  Sangat puas!",5
,,3 tahun lalu,Denice Frank,Local Guide,429 ulasan,"Terletak di Jalan Selokan Mataram, Seturan. Menjual makanan dan minuman. Untuk makanan tersedia makan western seperti pasta, pizza, steak dan lain-lain. Untuk minuman ada alkohol dan non alkohol. Harga cukup terjangkau. Live music full event, dj dari hari Senin, Rabu, Jumat dan Sabtu. Parkiran cukup luar. Wifi tersedia. Toilet tersedia. Pelayanan cukup baik.",5
,,4 tahun lalu,Ijul Zulkha,Local Guide,79 ulasan,Malam pertama gue jadi badboy. Setelah dari sana gue sadar kalo jadi bedboy lebih enak.,5
,,4 tahun lalu,kadung laris,-,2 ulasan,"Tempat nongkrog asik di jogja. Cafe di jogja yang sangat nyaman untuk ngobrol, kumpul - kumpul bahkan untuk bekerja atau mengerjakan tugas. Desain interior sangat elegant dan romantis. Ada live music juga, sangat direkomendasikan.",5
,,4 tahun lalu,Rahma Khairiah,Local Guide,67 ulasan,"Tempatnya nyaman, enak buat ngumpul-ngumpul. Makanannya juga enak dan Ada tmpt sholat juga cuma kecil bgt dan tidak disediakan tmpt wudhu, jdnya wudhunya pakai keran dr kloset duduk.",3
,,4 tahun lalu,Didik Wahyudi,Local Guide,48 ulasan,"Tempat nongkrong asik di Jogja dengan live music dan kopi yang enak. Lantai 2 cocok untuk ngibrol, kerja atau ngerjain tugas. Lantai 1 menikmati live music. Excellent.",5
,,setahun lalu,Yogi Adhika,Local Guide,27 ulasan,Untuk tempat ngechilll yg ga suka terlalu rame sangat pas .,4
,,3 tahun lalu,Fais Oda,Local Guide,19 ulasan,"Tempat nya asik. Sering ada gigs musik disini, makanannya juga oke dan lumayan damai dari riuh malam Jogja.",5
,,9 bulan lalu,Tyan Septyan,-,3 ulasan,Nyaman buat ngebeer,5
,,4 tahun lalu,N Cahyono,Local Guide,16 ulasan,"Tempatnya high class, nyaman tdk berisik, wifi okay, menunya gak nguras kantong....",5
,,4 tahun lalu,Gloria Antalita,-,1 ulasan,Recomended banget dari segi makanan yg terjangkau tapi rasa boleh diadu tempat cozy dan suasana yg ramah,5
,,4 tahun lalu,Rifha Raster,Local Guide,29 ulasan,"Tempatnya ok, nyaman untuk kumpul-kumpul, ada live musiknya juga sehingga lebih hidup nuansa di tempat ini",5
,,4 tahun lalu,fajar yukie,-,7 ulasan,live musicnya mantap dan pelayanan mbak2nya ramah... pokoknya favorit deh nongkrong disini,5
,,4 tahun lalu,Ryan Angga,Local Guide,76 ulasan,"Tersedia beer Wine & Cooktail, tempatnya nyaman.. tp beer nya kurang lengkap 😁 …",3
,,3 tahun lalu,Isna,Local Guide,296 ulasan,Tempat yg nyaman untuk sekedar ngobrol sambil minum. Recomen sekali,5
,,3 tahun lalu,Mbambung,Local Guide,444 ulasan,Soju original plus yakult enak juga,5
,,5 tahun lalu,Rama Adimulya,Local Guide,3 ulasan,Tempat nya nyaman guys gk salah deh klo buat dinner night,5
,,4 tahun lalu,Eka Bambang,Local Guide,8 ulasan,Membuat hati penuh dgn inspirasi..nyaman bisa berekspresi for singing..,5
