PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Hakosuka Sushi,,,,,,,
,https://www.google.com/maps/search/Hakosuka Sushi jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,cahya nugraha,Local Guide,14 ulasan,"Kami makan di sini sore-sore, lokasinya persis di kaki lima jalan kaliurang, dekat dengan grha sabha UGM. Untuk parkir, bagi yang bawa motor pasti ga masalah, tapi untuk yang bawa mobil agak susah parkirnya.

Kami pesan beberapa item: Salmon Specialty, Fried Yoshoku Salmon, dan Salmon Makimono. Kemaren pingin pesan Salmon Avocado Gaki Roll tapi lagi kosong, sulit dapet alpukat yang cocok untuk sushi.

Dari menu yang saya pesan, saya paling suka sama Salmon Specialtynya, walaupun yang paling mahal, tapi sizenya besar, dapet potongan salmon yang gede juga, di dalamnya juga ada salmon yang diolah seperti abon. Puas banget. Soal rasa enak, apalagi dengan harga segitu, worth to try!

Harganya terjangkau, berikut harga sushinya
Salmon Makimono: 23.500
Fried Yoshoku Salmon: 24.000
Salmon Specialty: 52.000
Ocha: 5.000

Kalau boleh kasih saran sedikit, bubuk cabenya kalau bisa pake yang chilli flake, bukan yang bubuk, tapi ya itu selera saya sih

Akan kembali lagi ke sini, nyobain Salmon Avocado sama direkomendasiin Maguro Specialty",5
,,seminggu lalu,arham “Arham” afafa,Local Guide,87 ulasan,"Experience yang cukup unik bisa makan sushi di tenda pinggir jalan. Harganya ga menguras kantong kok jadi buat pecinta sushi yang biasanya makan di mall seharusnya makan disini bisa dibilang ini cukup affordable banget buat makan sushi. Untuk kualitas bahan cukup fresh tapi menurutku nasinya kurang sushi bgt gituu, ngerti gasii klo makan sushi tuh beda bukan nasi kaya di makanan lain nahh gitu deh pokoknya wkwk semoga bisa ditingkatkan lagi yaa kualitas nasinya. Untuk pelayanan cukup oke selain metode pembayaran cash disini juga sudah bisa QRIS jadi gaperlu hawatir buat yang anaknya cashless bgt gituu. Kalo tempatnya lgi rame harap bersabar yaa untuk pesanan kalian mungkin estimasinya kurang lebih 30 menitan. Tukang Parkirnya Gercep dan Ramah bgtt jadi ikhlas klo bayar duit parkir 2 ribu juga wkwk. Overall must to try sih buat kalian yang suka sushii, Thankyouu Hakosuka🫶",3
,,setahun lalu,Chadijah Aljufri,Local Guide,168 ulasan,"Tempatnya di pinggir jalan gitu, tapi cukup nyaman kok, disediain lumayan banyak meja & kursi. Pas kesana minumannya hanya ada es ocha dan free refill. Rasa sushi nya enak, sesuai harga. Kalo diajak kesana lagi sih mau.",4
,,setahun lalu,Jatu Kartika,Local Guide,178 ulasan,"Penasaran karena viral. Katanya murah tapi ya gak murah2 amat lah. Bbrp item harganya persis sama kayak di sushi tei tapi ya kl di Hakosuka Sushi sih, no tax ya.

Suka konsep nya warung sushi beneran di pinggir jalan.

Price : 7/10
Taste : 8/10
Ambience : 9/10

Tapi kakiage nya aku gak suka. Beda sama punya Aeon. So far sushi nya endolita.",5
,,setahun lalu,Siwi Wahyundari,Local Guide,32 ulasan,"sushinya enak dan harganya terjangkau, kalo ga salah paling mahal 50k. pegawainya juga ramah, kadang suka ngasih gratisan sushi 'gagal' heheh. tapi rame banget ya, waktu tunggunya rata2 sekitar 40 menit. chuka wakamenya recommended",5
,,setahun lalu,sherrin,Local Guide,20 ulasan,"WORTH IT!!! First stop for eating sushi in akhir bulan🤣 harga boleh murah tapi rasanya juara💗
Jujur ini 5 porsi buat bertiga dan kenyang mampus karena isinya juga banyak, i think about 6-8 pcs each plate. Harga per piring itu 20.000an-30.000an.
Tiap malam juga rame banget, jadi i suggest you visit this place with motorcycle.",5
