PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Hiburan Nightlife  Pub  Bar Banana Cafe,,,,,,,
,https://www.google.com/maps/search/Hiburan Nightlife  Pub  Bar Banana Cafe jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 tahun lalu,Nungky Susanto,Local Guide,72 ulasan,"Tempat ini ya bisa dikatakan seperti Tempat hiburan malam Madiun bernama Fire,tiket masuk lumayan ramah dikantong,menyediakan minuman ringan tepatnya minuman bersoda, pelayanannya ramah,lampu ruangan sedikit cahaya penerangan maklum tempat ini bisa dikatakan seperti Kafe juga",5
,,5 tahun lalu,Satria Gunawan,,,,1
,,3 tahun lalu,Triono Rinaty,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
,,4 tahun lalu,Felicia Rachel,,,,5
