PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Jhon Karaoke,,,,,,,
,https://www.google.com/maps/search/Jhon Karaoke jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 bulan lalu,Hendry Kuswanto,Local Guide,196 ulasan,Bagus buat roke,4
,,3 tahun lalu,Naws Sasmith,Local Guide,23 ulasan,cocok buat orang yg suka hiburan malam,4
,,setahun lalu,Savannah Vet & Petcare,Local Guide,73 ulasan,Belum pernah masuk sich..cuman but kepentingan anabul's care..tapi kary nya ramah2 kok ..,5
,,setahun lalu,dimas rifki,-,2 ulasan,Jd ke inget dulu pas masih kerja jd op di Jhon caffe😁😁 …,1
,,2 tahun lalu,Suyetno Atmojo,Local Guide,18 ulasan,"Tempat yg sering Sy kunjungi utk delivery makanan, terimakasih sll gunakan layanan ojek online",5
,,3 minggu lalu,fajar purnomo,Local Guide,6 ulasan,Mantap,5
,,8 bulan lalu,Lutfi Amanda,Local Guide,476 ulasan,Tempat karaoke... antar pesanan ayang beb🤭🤭🤭 …,5
,,setahun lalu,Gila segalanya,Local Guide,42 ulasan,Tempat karaoke nyaman bagus pelayanan ramah,5
,,3 tahun lalu,hadi tikno,Local Guide,58 ulasan,"Bagus,  parkir luas",4
,,2 tahun lalu,#PASTA SANGE,-,1 ulasan,Ramaikan slur mantap,5
,,2 tahun lalu,Dredeh Rusiyanto,-,13 ulasan,jos mantap,5
,,4 tahun lalu,Dedy Darma,-,11 ulasan,Pertama nakal dengan teman.,5
,,4 tahun lalu,mr danny,-,7 ulasan,Ogut,5
,,4 bulan lalu,Adi Prabowo,Local Guide,35 ulasan,Layanan terbaik,5
,,setahun lalu,Luiz Zuhria Pratama,-,5 ulasan,joss lc,5
,,setahun lalu,sudar jogya,Local Guide,35 ulasan,Tangan tangan..,5
,,3 bulan lalu,Slamet Viera,,,,5
,,3 bulan lalu,Rhiyan Khecil,,,,5
,,3 tahun lalu,Nur Wahono,Local Guide,98 ulasan,Jika,3
,,3 tahun lalu,Danang Santosa,Local Guide,487 ulasan,Jost,4
,,4 tahun lalu,Johanes Yoseph,Local Guide,128 ulasan,Tempat yang bagus,5
,,10 bulan lalu,Rb. Benny Haryanto,,,,3
,,setahun lalu,Erwin Joko034,,,,5
,,setahun lalu,baru raharjo,,,,4
,,3 tahun lalu,Hai Mitra,,,,2
