PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
K-Space Prambanan,,,,,,,
,https://www.google.com/maps/search/K-Space Prambanan jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,Nita Gavin,-,5 ulasan,"Makanan dan minuman enak2 semua,harga juga murah..tp sayangnya pelayanan kurang ramah,masnya yg jaga ketus..",3
,,2 minggu lalu,Benny Fitrianto,Local Guide,44 ulasan,"Makanannya enak, pelayanan servicenya bagus, harganya  terjangkau, menunya lengkap. Patut untuk dicoba dan recommended",5
,,10 bulan lalu,Arsa Nara,-,2 ulasan,"Nyobain Fried Chicken Combo, ada kentang goreng nya.. enak kenyang!
Minum Coffee Caramel ... kekentalan kopi nya pas.. rasa mantul",5
,,8 bulan lalu,Hutdi Nurcahyo,Local Guide,17 ulasan,"Tempat dengan atmosfir yang asyik buat nongkrong maupun momong, asik banget kalau sore atau malem disini. Walupun last order 19.30, tetep asik setelah itu.",5
,,6 bulan lalu,Mahmudi Rizky,Local Guide,11 ulasan,"Tempat nya bersih dan mudah dijangkau, harga juga bersahabat",5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
,,5 bulan lalu,Basuki Suryanto,,,,5
