PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
KFC UGM Yogyakarta,,,,,,,
,https://www.google.com/maps/search/KFC UGM Yogyakarta jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,9 bulan lalu,rita lisdiana,Local Guide,148 ulasan,"Lumayan nich ada promo gocengan ice cream ....enak,lembut dan cream puff nya nyusss dech tapi harus pesen yg panas biar bener² terasa kresss n lumer isinya ..",5
,,setahun lalu,Gabriella Paramita,Local Guide,244 ulasan,"Kesini pas lagi PPKM, kebetulan lagi belanja di mirota jadi sekalian kesini karena kepo juga sama sambal matah dan sambal koreknya.

Pas kesini sepiii banget nggak ada pelanggan lain selain saya, karyawan yang jaga juga cuma 2 orang untungnya ramah, helpfully dan cekatan.

Nggak ada check suhu tubuh atau tempat cuci tangan, cuma ada hand sanitizer didepan pintu masuk.

Karena PPKM jadilah saya take away ini makanan. Pas sampe rumah dan dimakan, ayamnya masih kriuk diluar tapi dalemnya sama sekali nggak juicy!
Kerasanya kaya ayam lama yang digoreng berulang kali! Kecewa banget sih jujur padahal sambel korek dan sambel matahnya cukup oke. Walaupun sambel matahnya lumayan aneh karena sambal matah kan harusnya segar yaa.. but masih bisa dinikmati. Tapi ayamnyaaaaa parahhhh bangetttt😭😭😭 bumbunya udah nggak kerasa, cuma kerasa ayam keras dan berserat padahal kalau paha atas harusnya juicy banget..

hhhh mending cabang lainnn dehhhh, saran ajasi ini dari pada tutup mending direnovasi jadi kaya model di jakal atau jamal. karena udah sepi bangettt..",2
,,4 bulan lalu,Euricha Fany,Local Guide,90 ulasan,"Gw belum pernah review kesini ya padahal sering banget kesini 😂

Disini termasuk KFC yang gw suka sih. Dibilang rame bgt enggak, dibilang sepi jg enggak. Tempatnya enak, nyaman, dan luas. Jadi gw kalo belanja di Mirota nangkringnya disini deh. Promo promo KFC apa gt juga semua berlaku disini. Tp so far gw suka karna antrinya gak lama dan gak full orang 😂",5
,,sebulan lalu,Adinda Rabiki,Local Guide,78 ulasan,"Ayamnya enak, masnya ramah cuma masukan untuk toiletnya agar lebih diperhatikan. Tempatnya luas",5
,,2 minggu lalu,Putri Utami,Local Guide,30 ulasan,"Pas mau duduk di deretan meja paling utara, korsi plastinya kuwotorrrr buanget, setahuku emang untuk beresin bungkus makanan, minuman dan nampan setelah kita makan itu udah self service tapi ini kursi apa iya nggak di bersihin sama pegawainya kotor bgt sumpah. Dan masak ya di ruangan ber AC gitu ada lalet ijo terbang satu gede bgttttt sumpah nggak bohong nyesel waktu itu nggak saya foto pas laletnya hinggap di meja saja, cuman heran aja gedungnya luas bagus gitu tapi dalemnya OMG... Dr sekian banyak cabang yg pernah saya datengin cabang ini bikin saya merinding jorok bgt.  Tolong di kelola lg dengan baik supaya tidak ada yg zonk seperti saya",1
,,sebulan lalu,Cynthia Annisa,Local Guide,335 ulasan,"Yaaaaa kfc👀👍🏻 letaknya di pojokkan, parkirannya di basement.",5
,,4 bulan lalu,Yanu Arianto,Local Guide,291 ulasan,"Enak buat nongkrong bareng temen,pasangan dan keluarga ...ga terlalu ramai",5
,,3 minggu lalu,Brank Yudi,Local Guide,627 ulasan,"🏠 Gerai ini dulu sempat berjaya di tahun 80 - 2000 an. Klo makan di restoran cepat saji ini adalah kalangan terbatas dan berduit. Mungkin banyak gerai lain mulai sepi. Ada jenis yg lebih murah.
Makanannya ok banget , petugas ramah dan tempat bersih.
❎ Harganya relatif mahal,",4
,,3 bulan lalu,Diana rachma,Local Guide,52 ulasan,"Tempat buat melipir sebentar dari ke hectic an kampus UGM. Ngadem setelah macet macet di jakal kalau siang.

Tempat nya agak sepi jadi enak buat yg mau makan sendiri atau sekedar nyemil aja",4
,,3 tahun lalu,Azizah Hasna' Arifin,Local Guide,376 ulasan,"Lokasinya sangat strategis. Berada di perempatan. Sangat dekat dengan mirota kampus, kampus UGM, MAN 1 Yogyakarta. Parkiran luas berada di basement. Retrubusi parkir 2000 untuk motor dan 3000 untuk mobil. Tempat makan ada di lantai 1 dan kadang dibuka juga lantai 2 kalau sedang ramai. Lokasi bersih.
Hanya saja ada kendala saat pembayaran menggunakan DANA selalu error di kasir tertentu.",4
