PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
KFC,,,,,,,
,https://www.google.com/maps/place/KFC+Galleria+Yogyakarta/data=!4m7!3m6!1s0x2e7a59ccd58c23a1:0xba36e54cb9823eec!8m2!3d-7.7828666!4d110.3790163!16s%2Fg%2F1thh4w26!19sChIJoSOM1cxZei4R7D6CuUzlNro?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,7 bulan lalu,FAJAR Htt,-,77 ulasan,"Untuk rasa tidak perlu diragukan lagi
Porsi ✅ medium kenyang.

Jajan di sini kalau selesai makan bisa damai sentosa beberes sendiri tanpa dinyinyir, ""bawa ke belakang sekalian dicuci nampannya"".

Semoga makanan cepat saji lainnya bs ngikuti cara KFC self service. Jd konsumen berikutnya tida perlu nunggu pegawai beberes meja dulu.",5
,,6 bulan lalu,Abdul Aziz,Local Guide,244 ulasan,"1 gerai kfc yang paling beda dari yang lain. Pelayanan kurang ramah, menu yang datang tidak sesuai pesanan.",4
,,5 bulan lalu,I Nurmalia Evitawati,Local Guide,281 ulasan,"Makin ke sini kenapa makin drop aja nih performanya, minumannya beda bgt sama gambar, ini sih floatnya terlalu lembek
Untuk makanan gak kefoto rasanya jg beda",3
,,6 bulan lalu,Araminta Shittadevy,Local Guide,580 ulasan,Si juara ayam. The one n only. Semua menu disini favorite. Cream soup n perkedel yg ku suka. Mocha float juga,5
,,setahun lalu,Rahma El Fahmi,Local Guide,156 ulasan,"📍Lokasi KFC nya ada di lantai bawah, di pojokan
🧕 Pelayanan cepat banget, karyawan baik dan ramah. Tiap ada yang pergi tempatnya langsung dibersihkan. Tersedia hand sanitizer juga di sini.
👥 Pengunjung banyak dan ramai. Tapi suasana di sini tetap nyaman, gak bising, pas buat ngobrol santai sama teman
🍔 Burger nya enak 👍🏻
🥤 Minumannya tapi kurang manis 😅
Selamat mencoba 🥰",4
,,setahun lalu,Andre Yudda,Local Guide,79 ulasan,"Ayam goreng KFC tetap still the best lah ,dengan cita rasa khasnya.. Dan dimanapun tempatnya KFC selalu jadi pilihan buat pecinta ayam goreng..",5
,,sebulan lalu,Bambang Ariyo,Local Guide,275 ulasan,"Salah satu langganan anak klo pas main di galeri mall,cuma sayang tempat panas gerah karena gak ditempat sendiri,lebih enak lagi dengan buatkan sekat jadi dikasih AC jadi lebih nyaman",5
,,3 minggu lalu,Dewi Yulistia,-,1 ulasan,"Pelayanan jelek. Nunggu lebih dari 20 menit sedangkan ayam di display masih ada, bilangnya diantar. Setelah 20 menit tidak datang, dan ketika ditanya baru diantar.",1
,,4 bulan lalu,Isti rahayu,Local Guide,57 ulasan,Tempatnya luas nyaman...,5
,,4 bulan lalu,Wirasaja Channel,Local Guide,138 ulasan,Langganan kesini kalau lagi banyak promo 👍🤩👍,5
,,3 tahun lalu,rangga raka,Local Guide,286 ulasan,"KFC yang berada di dalam Galeria Mall, tempatnya tidak begitu besar. Sehingga area meja kursi sampai ke luar dari outlet, di koridor mall tapi tidak mengganggu. Mungkin sudah konfirmasi dari pihak KFC ke Galeria Mall. Tempatnya nyaman bersih, tidak berisik oleh lalu lintas secara yang letaknya di dalam mall. Enak buat nongkrong dan sekedar makan bareng keluarga.",5
,,2 tahun lalu,Indah Puritiara,Local Guide,323 ulasan,KFC tidak pernah mengecewakan sih. Ayamnya kriuk gurih dan yah pasti dah taulah. Beli kids meal dua paket soalnya mainannya lucu (kolektor mainan KFC). Tempat makannya cukup nyaman sih meski di dalam mall di pojok gitu. Di ground floor. Agak bnyak orang lalu lalang tapi gapapa ga terlalu mengganggu. Pelayanan juga cukup ramah. Kalo laper pas nge mall bisa mampir.,5
,,6 bulan lalu,retno widuri,Local Guide,165 ulasan,"Tempatnya enak, pelayanan ramah, persediaan makanan komplit.",5
,,5 bulan lalu,Heriyanto,Local Guide,154 ulasan,"Ya, standar KFC. Ayamnya enak. Harganya juga segitu. Wajar.

Suasana di dalam mall kurang nyaman karena ada di dekat eskalator. Namun, lokasi mudah ditemukan. Berbeda dengan KFC cabang lain yg homy, cabang ini biasa saja.

Tidak terlalu banyak pembeli. Tapi juga tidak sepi. Tetap ada yang beli. Tidak seramai KFC cabang lain di mall yang lain. Dengan begitu, tidak perlu menunggu atau rebutan kursi.

Intinya tempat makan ayam goreng yang biasa-biasa saja.",4
,,4 bulan lalu,Supriyanto Wibowo,-,2 ulasan,pelayannya tuh ky ngantuk jd ky ngajakin berantem ngomong sm pembelinya untung spv baik jd dicover... tlg kalo mau kerja jgn begadang mba jd emosi bawaanya ya,2
