PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
KOPI VASTE,,,,,,,
,https://www.google.com/maps/search/KOPI VASTE jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,10 bulan lalu,Khukuh A. Yuda,Local Guide,192 ulasan,"Berhenti sejenak dari perjalanan yang cukup melelahkan dari Surabaya menuju ke Cilacap. Pilihan kami jatuh pada Kopi Paste Kebun Laras karena mereka juga menyediakan makanan berat. Ngopi dan makan dalam satu tempat yang humble dan cozy.

Kopi Paste yang biasa dikenal dengan Kopas ini luas banget. Ga neko-neko sih, ga perlu pernak-pernik yang menarik buat foto-foto. Tapi kalo buat saya, semua perabot kayu yang ada di warung ini yang bikin warung ini terkesan membumi. Seperti main ke rumah temen yang terasnya besar banget yang bapaknya suka koleksi furnitur kayu.

Saya order kopasus (kopi susu) dan sup ayam yang merupakan rekomendasi temen saya. Udah pernah cobain Sup Ayam Klaten sebelumnya, dan asumsi saya sup ini akan punya karakter yang sama. Tak beberapa lama kopinya nyampe, cangkirnya mungil seperti ukuran kopi Gresik. Karakter kopinya kental karena tumbukan kopi yang super halus. Ini karakter kopi favorit saya. Dan benar, sup ayamnya kurang lebih sama dengan sup ayam Klaten yang pernah saya makan di Kediri. Kuahnya agak bening. Rasanya humble, ga terlalu pake banyak rempah. Sedap, beraroma bawang putih dan seledri. Ayamnya direbus dengan kematangan sempurna.

Untuk harga, murah banget sih. Kopasus 7 ribu, sup ayam 15 ribu. Harga cocok, rasa mantab, perut nyaman.

Entah kapan akan mampir kesini lagi. Yang jelas warung ini masuk dalam bookmark di google maps saya.",5
,,2 minggu lalu,Slamet Kurniawan,Local Guide,87 ulasan,"Mungkin warung ini nyaman untuk orang lain, tapi tidak untuk saya. Yahh anggap pas apes, mengalami hal tak mengenakkan semalam.

Datang pas lapar banget, pesan lontong pecel saja dari jam 19.15 sampe 19.50 baru datang pesanannya. Tanya sampe 2x.

Kalo pas rame banget sih masih dinalar lah, lha kemaren sepi2 aja. Lamanya ampun.

Payah!",1
,,setahun lalu,Faisal Sangaji,Local Guide,344 ulasan,"Tempat nongkrong sambil ngopi ala mahasiswa yang ramah kantong, kapasitas 50 orangan. Tempatnya cukup bersih, mudah dijangkau, indoor dan free wifi. Harga makanan dan minuman terjangkau, rata rata kedai kopi jogja. Servis cepat dan oke. Bayar cash dan non cash via QRIS. Parkir gratis dan cukup lebar.",4
,,2 tahun lalu,Ichwan,Local Guide,68 ulasan,Salah satu tempat menikmati kopi khas yang enak dan berciri khas. Lokasi yang enak dan nyaman untuk ngobrol bersama keluarga maupun teman. Harga untuk sajianpun sangat terjangkau untuk mahasiswa maupun tamu dari luar kota. Terlebih adanya akses internet gratis bagi pengunjung. Tempat parkir juga sangat luas. Tempat yang wajib untuk mampir jika sedang berada di Yogyakarta,5
,,5 bulan lalu,Widyastuti Rinenggo,Local Guide,205 ulasan,Salah satu tempat andalan buat briefing kerjaan nihh,5
,,4 tahun lalu,Ngakak Aja,-,7 ulasan,"Warung kopi yang paling sering saya kunjungi, tak membosankan. Kopinya nikmat",5
,,9 bulan lalu,Andy Saputro,Local Guide,63 ulasan,"Tempat nyaman dan enak buat nongkrong

Karyawan juga ramah dan friendly",5
,,4 tahun lalu,Robby Ghaniya Rafael,Local Guide,40 ulasan,"Tempatnya asik buat hangout sama temen, sahabat, atau pacar
siang atau malam tetap buka 👌
Menunya juga murah murah dan membawa kekayaan local, jauh dari dessert barat yang terkesan creamy, disini tradisional dan pastinya istimewa 😄 …",5
,,3 tahun lalu,Hasan Mangrove,Local Guide,52 ulasan,"Kopinya pas, wenak e pas. Tempat e lumayan enak.",4
,,5 tahun lalu,K Nocturnal,Local Guide,15 ulasan,Tempat asik buat nobar maupun berdiskusi,5
,,3 tahun lalu,Nawawie,Local Guide,109 ulasan,"Kopinya mantap, harga standart mahasiswa, tempatnya asik.",5
,,4 tahun lalu,Agatha Theodora,Local Guide,106 ulasan,"Kopinya kuat banget sekali sruput melek 3 hari 😐
Tempatnya luas. Banyak meja besarnya cocok buat meeting. Harganya juga pas buat yang lagi berhemat. Ada wifi gratisnya juga lho. Enak buat membuang waktu dikala senggang dan nongkrong bareng teman, kerabat, pacar, mantan, tante, kakek, nenek, oma, opa semuanya deh...",4
,,4 tahun lalu,penerjemah10,Local Guide,69 ulasan,"Tempatnya nyaman.
Bulan puasa buka dari jam 16.30 sampai 4 pagi",5
,,3 tahun lalu,Theatre Fans Indonesia,Local Guide,53 ulasan,"Tempat ngopi paling santai dan murah meriah, bagi anda yang ingin ngopi dengan harga terjaukau atau harga mahasiswa banget. Selain itu tersedia free wif. Pokoknya rekomended banget buat tempat nongkrong",5
,,4 tahun lalu,Hormonniora e.c,Local Guide,51 ulasan,"Tempat ngopi khas Jawa Timur yg mantep, biji kopinya diambil dari Jombang Jawa Timur. Ketika sore dan cuaca sedang terik, sangat tidak direkomendasikan. Rasa kopinya cocok bagi lidah kebanyakan. Bukan untuk pengunjung yang terbiasa dengan kopi ala-ala kopi shop.",4
,,4 tahun lalu,Pahmi,Local Guide,29 ulasan,"Tempatnya enak, ramah kantong, kopinya mantep",4
,,6 tahun lalu,Tiwi Setyawan,Local Guide,82 ulasan,"Kopinya enak, suasananya nyaman ownernya ramah...buat ngumpul bareng temen, sekedar diskusi dan ngopi",5
,,7 bulan lalu,Wani Perih,Local Guide,34 ulasan,Tempat ngopi paling asik 24 jam,5
,,2 tahun lalu,Aim,Local Guide,27 ulasan,"Tempat nongkrong yang murah, pas untuk kantong mahasiswa.",4
,,5 tahun lalu,aditya wahyu,Local Guide,68 ulasan,Tempat nongkrong dan ngopi santai yang nyaman di siang hari,5
