PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kafe Berlayar,,,,,,,
,https://www.google.com/maps/search/Kafe Berlayar jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Adinda Annisa Diva Pratiwi,Local Guide,75 ulasan,"Minumannya terjangkau. Kadang ada hiburan musik juga. 👍

FYI seberang jalan dari Kafe ada rumah pak RT. Tapi saya tidak tahu kalau tetangga sebelah ada yang kurang berkenan atau tidak mengenai hiburan musik. 🤷

Semua itu nggak masalah selama lagu dan penyanyi pas. Minuman dan suasananya top, kapan-kapan saya berkunjung lagi 👋",5
,,11 bulan lalu,G 168,Local Guide,352 ulasan,Kafe terasa berlayar pokoknya asik sambil minum kopi berlayar.,5
,,2 tahun lalu,YULIUS AMBHARA N D D,-,1 ulasan,Harganya Cukup Terjangkau kisaran 15-20k apalagi kalau ada promo promo,5
,,setahun lalu,dzaky atha,-,3 ulasan,"Tempatnya cozy, harganya murah",5
,,setahun lalu,Azi Nakata,-,3 ulasan,Syahdu,5
,,setahun lalu,Full Gun,Local Guide,7 ulasan,Nongkrong terus,5
,,2 tahun lalu,Natria Tria,,,,5
,,2 tahun lalu,Daffin Perdana,,,,5
,,11 bulan lalu,Valerian Dananjaya Mula Prasetya,,,,5
,,2 tahun lalu,Valon Game,,,,5
,,2 tahun lalu,Haqiqurrahman,,,,5
,,setahun lalu,Wawan Saputra,,,,5
,,setahun lalu,Wawan Saputra,,,,5
,,setahun lalu,Wawan Saputra,,,,5
,,setahun lalu,Wawan Saputra,,,,5
,,setahun lalu,Wawan Saputra,,,,5
,,setahun lalu,Wawan Saputra,,,,5
,,setahun lalu,Wawan Saputra,,,,5
,,setahun lalu,Wawan Saputra,,,,5
,,setahun lalu,Wawan Saputra,,,,5
,,setahun lalu,Wawan Saputra,,,,5
,,setahun lalu,Wawan Saputra,,,,5
,,setahun lalu,Wawan Saputra,,,,5
,,setahun lalu,Wawan Saputra,,,,5
,,setahun lalu,Wawan Saputra,,,,5
