PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kampoeng Tugu,,,,,,,
,https://www.google.com/maps/search/Kampoeng Tugu jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 tahun lalu,Firlia Ramadhan,Local Guide,109 ulasan,"Sedang ada Go Food Festival sampai 20 juli 2019. Banyak varian makanan dan minuman. Bayar dengan GoPay semasa ada Go Food Festival jadi lebih murah, hampir semua stand yang ada di sana menerima pembayaran dengan GoPay. Tempat Duduk banyak dan Luas, tipe semi outdoor dan outdoor. Parkir motor dan mobil cukup luas. Parkir motor 2000 rupiah. Suasana di sore hari cukup santai dan sejuk. Pada malam hari sering ramai dan lampu-lampunya membuat suasana menjadi lebih romantis. Sangat disarankan datang di sore atau siang.",5
,,4 tahun lalu,Rozsyadi C Sidhix (rozsyX),Local Guide,96 ulasan,"dipakai untuk Go-Food festival, tempatnya luas cocok buat yang pengen santai bareng temen apa ngobrol sambil makan & denger musik.
cuma di beberapa spot ada bagian yang gelap(remang-remang) jadi rada sulit buat perhatiin makanan.
space antara stand makanan dan jalan lumayan sempit, jadi susah jika mau atau harus mengantre untuk pesan makanan.
pilihan makanan di event ini banyak banget, harga cukup terjangkau, murah jika dihitung promo dari Go-Pay.

semoga event sampai akhir tahun ini bisa lebih baik lagi.",4
,,4 tahun lalu,Papuan Earth Life,-,685 ulasan,"Kampung Tugu adalah satu-satunya dan pertama tempat kuliner yang disponsori oleh perusahaan jasa transportasi online Gojek di Jogja. Makanan, minuman dan Kopi yang disuguhkan disini beraneka ragam. Bicara perusahaan gojek adalah perusahaan aplikasi jasa  transportasi online notabene milik anak negeri yang mencoba memfasilitasi usaha mikro bidang kuliner buat masyarakat lokal. Tempatnya sendiri sendiri sangat nyaman buat para Milenia. Jarak dari Malioboro ke kampung tugu hanya sekitar 500 meter, jarak tempuh jalan kaki kurang lebih 25-30 menit. Tempat dibangun kurang lebih 2 (dua) bulan, dianggap tempat ini masih baru. Bagi teman-teman yang mau Ke Jogja silahkan mampir ke sini sangat direcomended.semoga bermanfaat.",5
,,4 tahun lalu,havy fidarain,Local Guide,194 ulasan,"Banyak pilihan makanan, tapi kalo udah pukul 8 malam ke atas kadang suka banyak yang habis. Luas nyaman buat nongkrong. Ada gofood festival bayar pake gojek. Parkir luas bayar 2000. Penjual ada yang ramah ada yang judes. Kadang ada live music juga. Harga makanan setara dengan kelezatan",4
,,4 tahun lalu,VadaAv,Local Guide,71 ulasan,"Pertama liat dari instagram, ternyata all day dapet cashback 50% bayar pakai gopay. Langsung kesana dan bener. Yang paling parah, pas tanggal 16-18 agustus cashback nya sampai 73%. Disini juga ada booth untuk ngisi gopay, tanpa biaya admin. Sering sering ya gojek ngadain promo kayak gini😍 …",5
,,4 tahun lalu,Hubertus Gilang OJI,Local Guide,317 ulasan,"Tempat FOODCOURT yang bisa saya temui selama di Yogyakarta. Warung makan beragam, tempat duduknya enak (cuman belum ada tempat stop kontak nya), tempat parkir nya luas, dan masih ada lagi

Bagi yang mau mencari tempat FOODCOURT (terlebih dari luar ruangan). Coba saja mampir ke tempat ini",5
,,4 tahun lalu,a chandrasari,Local Guide,28 ulasan,"Tempatnya cocok buat ngobrol, baru pertama kesini dan bukan org jogja jadi ga tau mulai kapan adanya, karna dari gojek jadi kalo pake gopay bayar setengah aja, pasti balik lagi kalo ke jogja. Menu makanan nya lumayan lengkap. Cuma waktu ngikutin google maps sempet nyasar soalnya ditandai di kiri jalan dari arah tugu jogja, ternyata posisi nya di kanan jalan sejajar sama pop hotel.",5
,,4 tahun lalu,iis nazara,Local Guide,20 ulasan,"tempat makan yg asyik dengan menu yg bervariasi..dpt cashback 50% lagi dengan pembayaran via gopay..makan enak puas, ya di sini",5
,,4 tahun lalu,Deni Sopiana,Local Guide,1.088 ulasan,"Banyak kuliner, saat ada gofood festival banyak discountnya ... ada musholanya dan tempat parkir di dua tempat",4
,,4 tahun lalu,wahyu ismail,Local Guide,70 ulasan,"Tempat nya enak, tempat parkir nya luas, ada toilet serta mushollah",5
,,4 tahun lalu,Salmaini Safitri Syam,Local Guide,17 ulasan,"Banyak menu makanan dan minuman, cocok dijadiin tempat buat nugas, ada musholla juga",5
,,4 tahun lalu,Hanif Budi Cundomanik,-,11 ulasan,Tempatnya enak but makanannya kurang memuaskan,3
,,4 tahun lalu,Andy Krisianto,Local Guide,142 ulasan,"Kampung Tugu menjadi spesial ketika ada go Food Festival. Tempat berkumpulnya penjual go food. Ada berbagai macam makanan, jajanan dan minuman.

Ramai jika ada cashback 50%. Lalu menjadi agak sepi ketika cashback dikurangi. Maklum banyak anak kos yang memanfaatkan cashback.

Bukanya agak sore. Kalo siang yang buka hanya beberapa. Mungkin biar rame sering diadakan acara-acara komunitas.",4
,,4 tahun lalu,Aris Purwanto,Local Guide,135 ulasan,"Makanan dan minuman lengkap di tempat ini..
Tempatnya romantis dan asik buat nongkrong.. cocok untuk anak mudah. Keluarga, dan anak2.
Lebih bagus di malam hari. Karena banyak hiasan lampu di tempat ini menjadikan suasana menjadi cantik.
Pembayaran di sini menggunakan gopay.
Tapi tenang di sini menyediakan tempat
untuk deposit.",5
,,4 tahun lalu,Arina Tri Wahyuni,Local Guide,125 ulasan,Cozy bgt dech.  Pilihan menuju banyak.  Bayar pakai gopay bnyak cash back ya,5
,,4 tahun lalu,qt76,Local Guide,59 ulasan,"Sejak ada gofood festival lumayan jadi rame...  Selama ada promo cashback menguntungkan banget..  Tapi kalau ga ada promo dr gojek,  harga makanan dan minuman relarif mahal untuk ukuran foodcourt...",4
,,4 tahun lalu,Fitria Prihatini,Local Guide,34 ulasan,"Sedang ada GOFOOD festival, cashback 50% pakai gopay. Cocok buat kongkow anak muda/anak kost, pas tgl tua. Tempatnya luas dan parkir luas. Sore ke malam pas banget udaranya sejuk.",3
,,4 tahun lalu,biey Mbul,Local Guide,172 ulasan,"Makan dsini jadi worth it banget nih .. kenapa coba? Karna dapat cashback 50%>>> wedih wareg lah ..

Tempat nya lumayan asik banget... Ada wifi 5G..
Aku udah coba iso babat gongso, enak cocok ma aku, harga nya 23.000 nasi 4000, tp dpt 50 % cashback, trus mendem duren ukuran large 18000 cashback juga, sama mendoan juga 15.000 dapat cashback ..

Oh ya cashback nya klo bayar pake Go Pay ya ..

Ada wifi sama colokan juga loo.",5
,,3 tahun lalu,bunga tini,Local Guide,26 ulasan,"T4nya lumayan luas dan nyaman, tp di area jln yg sering macet. Perjalanan k sana krg nyaman. Kulinernya hny melayani transaksi dgn Go-Pay membuat enggan unt kmbali k sana.",2
,,4 tahun lalu,El Yudith,Local Guide,896 ulasan,"Tempatnya bagus banget dan nyaman. Suka sekali dengan konsepnya juga booth2 makannnya lumayan lengkap dan keren.
Parkiran juga oke dan lokasi yang gampang ditemukan karena dipinggir jalan ditengah kota.. great!",5
,,4 tahun lalu,Amal Effendi Amael,Local Guide,132 ulasan,"Kampoeng Tugu tempat yang asik buat nongkrong bareng teman-teman dan ngerjain tugas kuliah atau sekolah. Tempatnya bagus, banyak stand-stand makanan yang enak. Parkir luas untuk mobil dan motor. Jalan menuju tempat ini juga gampang banget. Terus tempatnya kelihatan dari jalan raya walaupun macet. Asik deh. Recommended deh. Kunjungi aja kalo penasaran. Hehehe",4
,,4 tahun lalu,Dendi DC,Local Guide,112 ulasan,Kampung Tugu bagus. Tempatnya bersih nyaman. Pelayanannya juga ramah. Apalagi ada go food festival. Lumayan Ramai. Munhkin tempat parkitnya bisa lebih dikondisikan. Pilihan makannya banyak. Sejauh ini sudah banyak pengunjung dan puas. Semoga dapat ditingkatkan lagi. Perbagus bangunannya juga. Go food festival diperpanjang.,4
,,3 tahun lalu,keyko putrie,Local Guide,201 ulasan,"parkir lumayan luas untuk motor&mobil,tapi brda dijalan yg sering macet sech jdi harus agak sedikit bersabar...pembyaran via gopay...tidak menerima cash..",4
,,3 tahun lalu,Abdul Alief,Local Guide,453 ulasan,Lumayan banyak pilihan makanan. Parkir gampang. Lokasi tengah kota. Berlaku diskon pake gopay jadi lebih murah lah.. Lumayan...,4
,,4 tahun lalu,Putri Oxtaviani,Local Guide,251 ulasan,"Sekarang jadi go food Festival
Cash back 50% pakai gopay.
Makanan minumannya enak2 semua.
Fasilitasnya lengkap.",5
