PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kantin Aldhan Fak. Filsafat UGM,,,,,,,
,https://www.google.com/maps/search/Kantin Aldhan Fak. Filsafat UGM jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 bulan lalu,Niemas Bumi,Local Guide,69 ulasan,"The area is smoking area. A lot of food stall choices such as siomay batagor, jus buah, rames, soto, ayam geprek, bakso dan mie ayam, nasi goreng, sup buah, dan aneka minuman.

Mostly cheap and fresh food served. The seat mostly available in lunch time, and also lesehan. Recommended place to eat.",5
,,4 tahun lalu,Azizah Hasna' Arifin,Local Guide,376 ulasan,"Kantin yang berlokasi di dekat fakultas psikologi, filsafat, gedung maksi. Kantin lumayan bersih. Petugas sering kali tanggap membersihkan meja makan. Makanan juga bervariasi. Bisa bayar pakai cash atau pake gopay depan cashback 30%. Harga makanan cocok untuk kantong mahasiswa. Recommended lah.",4
,,3 tahun lalu,Arum Jayanti,Local Guide,267 ulasan,"Mantul. Makanan enak, murah meriah, bersih. Cuma kadang ada yang ngerokok sembarangan",5
,,3 tahun lalu,Rizka Akmalia,Local Guide,56 ulasan,"Ramai kalau siang, makanannya enak² dan murah meriah",5
,,3 tahun lalu,rafi rahadian,Local Guide,61 ulasan,"Harga biasa, porsi biasa Dan rasa enak",4
,,3 tahun lalu,titis anis fauziyah,Local Guide,106 ulasan,Wafle nya enak,4
,,3 tahun lalu,dharma kelana,Local Guide,640 ulasan,Tempat favorit mahasiswa ini..,4
,,4 tahun lalu,Aldo Cahyo,Local Guide,113 ulasan,BONBIN nya UGM,4
,,3 tahun lalu,Sigit Setyawan,Local Guide,77 ulasan,Menu lengkap,4
,,3 tahun lalu,Zahrah Salsabila,-,16 ulasan,Enakkk murah kenyang,5
,,3 tahun lalu,Fany Joko Sutrisno,Local Guide,76 ulasan,Sip,5
,,3 tahun lalu,Carlsthenz Wyka,Local Guide,91 ulasan,y gt,3
,,3 tahun lalu,Dimas P,Local Guide,39 ulasan,niceee,5
,,3 tahun lalu,Rizki Setyasri,,,,5
,,3 tahun lalu,Elisabeth RP Larasati,,,,5
,,4 tahun lalu,Adelia Januarto,,,,1
,,5 tahun lalu,Rahmat Hisyam,,,,5
,,4 tahun lalu,Krist SY,,,,3
,,3 tahun lalu,dhanang nugraha,,,,5
,,4 tahun lalu,Wati Jogja,,,,5
,,3 tahun lalu,Bintang,,,,5
,,3 tahun lalu,Yudistira Permana,,,,5
,,3 tahun lalu,Aprilia Lilis Wulandari,,,,5
,,3 tahun lalu,Yudhiastri Shinta,,,,5
,,3 tahun lalu,1 anwar,,,,5
