PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kedai Ngopi Jogkie,,,,,,,
,https://www.google.com/maps/place/Kopi+Joss+99+Jogja/data=!4m7!3m6!1s0x2e7a59f71665c2bf:0xb3c3b5697587d4c3!8m2!3d-7.7923276!4d110.3677477!16s%2Fg%2F11j4dnkqbw!19sChIJv8JlFvdZei4Rw9SHdWm1w7M?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Diah Sastri Pitanatri (Diah Sastri),Local Guide,145 ulasan,"Kopi joss terenak se-Malioboro! Jossnya mantap, kopinya enak banget! Peneman kopinya juga ok, terutama tahu bacem & baksonya... daripada di seputaran lapangan & stasiun tugu, ini kopi yg paling reccomended. Tempatnya kecil tapi kopinya sedappp.. 👍👍👍 …",5
,,setahun lalu,Kedai Sumber Asli,-,1 ulasan,Akses mudah,5
,,sebulan lalu,Zacky Zaman,-,6 ulasan,Selamat Joss,4
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
,,3 bulan lalu,Teddy Kopijoss,,,,5
