PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kopi Lembah UGM,,,,,,,
,https://www.google.com/maps/search/Kopi Lembah UGM jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,hadiyan hariz,Local Guide,208 ulasan,"Selesai berolahraga hari Ahad kemarin di wisdom park, di area parkiran terdapat sebuah tempat makan dengan nama Kopi Lembah. Kamipun mampir kesana sekaligus untuk mencoba pertama kalinya. Saat masuk terlihatlah beberap kursi yang berada di dalam dan diluar. Diluar dibawah pohon-pohon nampak sejuk namun tetap harus berhati-hati apabila ada semut. Ada juga lesehan dan tempat makan di lantai atas.

Setelah memilih tempat duduk, dilanjutkan memilih menu. Ada berbagai macam makanan, minuman dan camilan. Untuk mengetahui beberapa nama yang terasa asing, kamipun menanyakan kepada pelayan. Hanya saja ada menu yang pelayanpun belum terlalu mengerti. Sayapun saat itu memesan air mineral. Setelah dihidangkan, ada rasa penasaran kok air mineralnya berbeda. Ternyata air mineral produksi ugm dengan nama toyagama. Yang pertama saya lihat didalam botolnya ada hijau-hijaunya lalu saya minta ganti. Yang kedua bersih, hanya saja saya tidak menjumpai tanggal kadaluarsanya.

Untuk makanan saya memesan nasi goreng, rasanya cukup enak dengan cabai dipotong-potong. Saya mencicipi telur dadar yang dibuat tipis, saya temukan ada hewan kecil seperti kleper. Mungkin lain kali bisa lebih diperhatikan. Tempat yang saya duduki juga ada l*lat yang beterbangan. Mungkin bisa diberi lilin.

Di area tempat duduk saya juga ada tempat cuci tangannya serta disediakan sabun. Kamar mandi juga cukup bersih dan tidak berbau.

Untuk masuk ke wisdom park ugm dan parkir tidak dikenakan biaya sama sekali alias gratis.",3
,,11 bulan lalu,dwi suci hartini,Local Guide,157 ulasan,"Tempatnya menyenangkan, teduh banyak pepohonan. Bisa sambil jalan-jalan di wisdom park setelah atau sebelum makan. Cocok Sama kopi O-nya. Kalo makanan, bisa disesuaikan dengan selera masing-masing. Sy kurang cocok sm baksonya.",4
,,11 bulan lalu,norma presdiana,Local Guide,203 ulasan,"tempatnya di dalam kampus ugm, rindang, dekat jogging track…
cocok untuk nongkrong pagi2 setelah gowes ato jogging…
mie goreng indomie’nya std ga da bumbu tambahannya
pelayanan ramah, tempat duduk jg banyak, varian menunya banyak, rasa std…
pembayaran bisa debit & transfer",4
,,setahun lalu,Adilah NL,-,22 ulasan,"Tempatnya cozy, sejuk, dan cukup bersih. Menu-menunya enak dengan harga terjangkau. Untuk bagian outdoornya mungkin harus agak hati-hati karena banyak daun dan ranting bisa jatuh ke makanan. Overall memuaskan.",5
,,9 bulan lalu,Kurnia Nur Afiyanti,Local Guide,178 ulasan,"Tempatnya nyaman, banyak pilihan kursi / tempat duduk
Bisa buat nugas atau rapat atau diskusi
Untuk umum ngga ada wifi, tapi kalau mahasiswa UGM bisa nyambung wifi kampus. Saran kalau ke sini ajak temen yang mahasiswa UGM kalau mau wifian hehe
Pilihan menunya cukup beragam, harganya sesuai dengan yang tertera di menu

Toiletnya lumayan bersih
Mushollanya ada
Parkir gratis
Ada tempat cuci tangan",4
,,8 bulan lalu,indria,Local Guide,194 ulasan,"Jogging pagi di Lembah UGM, kemudian mampir ke Kopi Lembah  menunya murah murah makanan juga enak enak. Harganmulai 8 rb untuk ice lime tea dan kopi susu 16 rb, jajan cireng 8 rb tahu cane garam 8 rb tapi sayang mbaknya lupa kalo kami pesen tahu cabe garam orderan ga datang. Tp gpp suasana kopi lembah nyaman, tenang dan sejuk banget.",5
