PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kopi PM ꦏꦥꦥꦩ,,,,,,,
,https://www.google.com/maps/place/Pas+Podjok+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e7a57c5144e8c17:0xd5c24fad399bac80!8m2!3d-7.8284015!4d110.3573142!16s%2Fg%2F11c58q41c1!19sChIJF4xOFMVXei4RgKybOa1PwtU?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,Abdul Aziz,Local Guide,244 ulasan,"Teman2 muslim harap hati2 karena ada minuman beralkohol. Saya lupa bertanya apakah shakernya campur atau pisah.
Selebihnya minumannya enak, saya beli bery mine & klepon. Rasanya unik dan tampilannya menarik.
Snack mendoan cukup memuaskan, sambalnya mantap. Nasi campur juga worth it dengan harganya. Dagingnya tidak pelit.
Tempatnya luas, banyak colokan listrik. Parkir juga luas.",4
,,11 bulan lalu,Agung Aryanto,Local Guide,165 ulasan,"Coffeeshop yang cukup cakep di daerah selatan Yogyakarta. Tempatnya adem dan cozy, ada indoor dan outdoor. Harga makanan/minumannya lumayan bersahabat, rasa lumayan, pelayanannya oke.
Tempat parkirnya juga luas, bisa muat banyak motor atau mobil. Walau letaknya di pinggir Ring Road tapi tempat ini ga begitu berisik. Worth it lah.",5
,,setahun lalu,deandra fariska,Local Guide,161 ulasan,"Pertama kali kesini langsung jatuh cinta sama tempatnya. Bagus, artistik banget. Apalagi bangunan belakang yg mirip joglo itu.

Cafenya enak, nyaman, teduh meskipun di outdoor. Cuma panas aja karna tidak ada kipas diluar ruangan. Kasi kipas dong heheeh.

Menu nya banyak variasi nya. Harganya pas, cuma porsi minumnya agak sedikit ya menurutku 🤣, krn cafe di tebgah kota dengan jenis minuman sama, harga sama, rasa sama, tp porsinya agak banyakan dikit.

Bakal jadi cafe fav aku nih ❤️🥰",5
,,setahun lalu,Sukarno,Local Guide,64 ulasan,Salah satu tempat nongski asyik di selatan Jogja nih. Tempatnya cozy dan cukup luas buat kongkow-kongkow sama temen-temen. Bisa juga buat nugas atau ngerjain pekerjaan kantor. Kamar mandinya bersih dan wangi. Staffnya ramah-ramah. Tersedia tempat buat salat. Bisa indoor dan bisa outdoor juga. Menu-menunya masih cukup ramah di kantong mahasiswa. Bisa banget jadi referensi tempat nugas buat kamu yang lagi di daerah ringroad selatan nih.,5
,,setahun lalu,Reza Horisman,Local Guide,359 ulasan,"Lokasinya persis dibelokan pinggir jalan by pass/ ring road selatan disamping pendhapa art space.
Tempatnya Cukup unik dan artistik karena memadukan seni classic dan modern sepertinya, patung²nya lucu menambah ambiance sekitarnya

Ada outdoor & indoornya, didalem cukup terbatas tp klo diluar cukup luas & dekat dgn parkiran. Menu²nya beragam ada makanan berat, cemilan, coffee 'n Non coffe .. harganya juga cukup bersahabat

Kuyss selamat mencoba yaa, enjooy👍👍",5
,,3 bulan lalu,Dhimas B,Local Guide,78 ulasan,"Lokasi cafe ini ada diringroad selatan. Pas belokan cukup bahaya sih klo mulai pelan lwt jalur motor ada yg ngebut. Parkirnyaluas banget, gratis.

Pelayananya ramah dan profesional.

Makanannya enak

Suasananya cukup ramai. Cocok buat pasangan atau nongkrong temen2, klo mau kerja indvidu atau bareng kelompok. Tempatnya estetik bagus buat foto2.

Harganya mahal, cocok untuk kelas menengah ke atas yaa..",5
