PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kopi Tugu,,,,,,,
,https://www.google.com/maps/search/Kopi Tugu jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Faisal Fikri,Local Guide,117 ulasan,"Tempat nya strategis, salah satu tempat nongkrong bareng. Menyediakan berbagai minuman kopi, dengan signature kopi tugu. Dan hidangan cemilan buat menemani nongkrong. Harga cukup terjangkau, dan taste kopi nya dapat. Pelayanan cepat dan ramah. Tempat ini cocok untuk liburan bersama keluarga dan pasangan atau teman ataupun sendirian.",5
,,2 bulan lalu,Efi Kurniyawati,Local Guide,380 ulasan,"Lokasi: Berada tidak jauh dari KR

Interiornya: Ruko biasa yang cukup luas dengan view rel kereta api

Ruangan: Semi Outdoor

Fasilitas: Parkiran yang luas bisa menampung  motor dan beberapa mobil , table yang cukup

Suasana: Ramai saat jam buka sampai tutup

Menu: Kopi, non kopi, snack

Pelayanan: Ramah dan cepat

Harga: Standar makanan di mall

Pembayaran: Cash, Qris

Rasa: Semua menu disini rasanya worth it dan must try

Bagi yang belum pernah ke sini sangat direkomendasikan untuk mencoba tempat ini",5
,,2 tahun lalu,Mariani Sutanto,Local Guide,552 ulasan,"Cafe ini berada di jalan protokol Yogya, Mangkubumi. Dengan letaknya yang strategis ini, cafe ini bisa menjadi salah satu tempat nongki singkat.

Menunya beragam, ada yang kopi dan non kopi, dan dua macam makanan ringan seperti mendoan dan french fries.

Harganya pun bersahabat dan disajikan dengan bergaya untuk cafe yang terbilang baru di rimba perkafean di Yogya ini. Kami pesan french fries kemarin itu. Wow, porsinya banyak dan matangnya cantik. Yummy!

Berhubung cafe ini memakai tempat di pelataran toko kertas Champion, maka kita bebas menghirup udara segar dan  menikmati suasana malam. Lebih asyik lagi jika diperdengarkan lagu-lagu yang ramah telinga 😉",4
,,10 bulan lalu,Euricha Fany,Local Guide,90 ulasan,"Makin mahal dr sejak terakhir kali kesini brapa bulan lalu 😞
Secangkir kecil jahe panas dari 8rb jadi 15rb,, ice bleand nya lebih kayak air sirup jg 16rebu, pisgornya dulu enak tp semalem pisgor rasa mendoan 16rb/2pisang dibelah jadi 4 😵‍💫

Total 46rebu begitu doank jd pikir pikir mau nambah menu, sedangkan pulangnya gw makan gudeg mercon 2porsi di Yu Yah Jl.Magelang cuma habis 37rb kenyang bgt 😑

Yasudahlah jd pengalaman dan cukup sekian ke Kopi Tugu 😗",3
,,sebulan lalu,lano gathan,Local Guide,50 ulasan,masakan luaaamaa poll udah gitu asin pesen nasigoreng sama tempe aja hmpir sejam,2
,,3 tahun lalu,Candra A Saputra,Local Guide,287 ulasan,"aaaaaaaaseek banget, ni kopi tugu damai, rekomended, tempat cool damai luas di pingir jalan raya

harga murah, rasa kopi A1, varian menu banyak snack meals coffee float juice

kopi tugu premium quality",5
,,setahun lalu,joko iboy,Local Guide,305 ulasan,"Tempat kopi yang sangat bersahabat,,,pelayanan sangat baik dan ramah. Tambahin wifi dijamin rame deh",5
,,4 tahun lalu,Chimelati _,Local Guide,230 ulasan,Makanan dan minumannya enak. Pelayanannya ramah. Tempatnya enak juga. Enak lah ini mah buat kongkow ama temen,5
,,setahun lalu,kayana little minnie mouse,Local Guide,449 ulasan,Alternatif tempat nongkrong di jl mangkubumi selain lesehan. Ada meja & kursinya. Cocok buat yg perutnya gak kuat duduk lesehan,4
,,4 tahun lalu,Blue Lava,Local Guide,57 ulasan,"Lokasi strategis tepat di pinggir jalan, harga minuman kisaran 15rb-25rb an, kategori kopi harga 20rb-25rb, sedangkan untuk juice 15rb an, harga terjangkau, cocok untuk   tongkrongan malam, pelayanan ramah

minusnya karena lokasi di trotoar banyak pengamen dan pengemis yang sering datang menghampiri",4
,,4 tahun lalu,Patricia Tiwi,Local Guide,274 ulasan,Tempatnya asik sih.. cuma byk yang ngamen bikin kita kurang menikmati..,5
,,setahun lalu,Mas'ud OctadaN,Local Guide,9 ulasan,Tempat asik utk nongkrong di tengah kota jogja dgn suasana jogja. Utk menuny juga bnyak dan bervariasi. Kekuranganny tmpatny yg di pinggir jalan bkin suasana ga trlalu nyaman krna bnyak kendaraan yg lalu lalang,4
,,5 bulan lalu,Indriani Eriza,Local Guide,280 ulasan,"Harganya masuk akal, pelayanan cepat",5
,,setahun lalu,Adhea Maysela,Local Guide,93 ulasan,"tempat ngopi yang asik, ditambah tempat yg dipinggir jalan sehingga bisa lihat kendaraan yang lewat sambil menikmati suasana malam kota Jogja. dan lokasi juga mudah dijangkau karena berada di pusat kota",5
,,5 tahun lalu,Brian Prananda,Local Guide,43 ulasan,"Lumayan sih buat nongkrong, tapi tempatnya masih kurang luas kalo buat rombongan seRT, cuma ada beberapa tempat bermeja kursi dan sebagian lesehan, tapi overall tempatnya enak sih, deket tugu jogja juga",3
