PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kuliner Lor Tugu,,,,,,,
,https://www.google.com/maps/search/Kuliner Lor Tugu jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Mayda Adriati,Local Guide,51 ulasan,"One stop eating, hehe salah satu foodcorner yang cukup lengkap ada di tengah kota. Bener-bener dekat dari Tugu Jogja. Tinggal ke arah utara sedikit, nanti kiri jalan kalau dari tugu. Sebrang Mixue eskrim

Tempatnya luas dan cukup bersih, terang dan parkirannya luas. Ada toilet dan mushola juga, lengkap kan. Live music juga ada tapi saya kurang tau jadwalnya

Pilihan makanannya cukup bervariatif ya, mulai dari angkringan jepang yang sedia ramen sushi dll, mie ayam, nasi padang, bakso, bebek dan ayam goreng, steamboat and grill, olahan seafood, korean food, rice bowl, hotpot, burger, dll. Pilih dan silakan dicoba hehe ✨✨

Untuk rasa saya hanya bisa mereview 2 menu ya karena kemarin hanya cobain 2 menu, mukiyem (dia kayak steamboat gitu) dan takoyaki. Maklum buka puasa jadi tidak muat banyak perutnya hehe. Rasanya cukup enak, untuk steamboat kemarin coba kuah tomyum, kuahnya segar ala tomyam. Porsinya cukup banyak, bisa untuk 2-3 orang dengan harga 77.000
Lalu takoyaki, enak, dalamnya masih rada lumer gitu dan saya pilih isian gurita. Dapat 5pcs harganya 15.000

Kemarin sebenarnya pilihan pertama mau coba hotpot tapi sampai 3x ganti menu mereka konfirmasi kalau menu tersebut habis, padahal udah transaksi hingga pembayaran. Hmm :)",4
,,10 bulan lalu,Kartika Akbaria,Local Guide,52 ulasan,"Recommended!! Cobain burgernya. Serius enak tapi harga sangat terjangkau. Beli 3 burger besar harga total 74k.

+ pilihan makanan sangat banyak dan bervariasi mulai dari asian, western, chinese food.
+ harga terjangkau
+ pelayanan cepat
+ spot tempat duduk banyak dan open space. Di bagian tengah juga ada spot2 duduk dengan colokan listrik. Cocok untuk chill sambil laptopan/charge HP.
+ lahan parkir ckp luas.
+ lokasi di dekat tugu, jadi sehabis makan bisa wisata sbntr ke area sekitar tugu.

- kurang pengawasan prokes. Karena tempatnya seperti food court dan gak ada filter prokes di pintu masuk.
- lokasi pintu masuk di dekat lampu merah tugu. Jadi kalau bawa mobil/motor, harus sabar karena sangat macet.",5
,,setahun lalu,Ditya Ramadhanti,Local Guide,121 ulasan,"Salah satu food court di Jogja yang recommended. Tempat parkir luas banget. Banyak beragam pilihan menunya mulai dari indonesia, western, jepang, dan thailand. Harganya sangat affordable. Venuenya enak banget kursi dan meja banyak. Ada indoor dan outdoornya. Bagian outdoor per meha ada stopkontak 2, jadi buat yg mau nugas bisa dateng kesini sekaliam makanmakan 👍🏻. Makanannya enak-enak. Wajib cobain takoyakinya yg di drink corner itu enak banget 👍🏻 sama makan di calamary, rice bowlnya enak parah 👍🏻
Sukses terus buat kuliner lor tugu 🥳",4
,,2 minggu lalu,indah m soejono,Local Guide,92 ulasan,"Tempat yang cocok buat kumpul sama teman atau keluarga. Tempatnya luas dan nyaman. Pilihan menunya banyak banget. Dari tradisional sampai western. Mau makanan Korea juga ada. Harganya cukup terjangkau. Gak bikin bangkrutlah.

Disini ada panggung buat live music. Tapi kurang tau sih jadwalnya. Yang bikin takjub itu toiletnya bersih banget. Standar toilet mall meskipun gak semewah mall. Tersedia tissu juga. Semoga emang selalu begitu ya. Ada mushola juga. Yang memisahkan tempat sholat laki2 dan perempuan. Tempat parkirnya luas.

Update :
Kembali makan di sini. Coba beli capcay. Tapi bukan selera saya. Cuma porsi banyak bgt. Bisa dimakan lebih dari 1 orang apalagi klo pake nasi. Untuk makanan Koreanya juga kurang otentik. Sate sapinya lumayanlah. Kalo es jadulnya enak.

Toilet agak kotor karena kondisi emang rame banget.",5
,,8 bulan lalu,jumadi ckg,Local Guide,42 ulasan,Ada panggung hiburan.tempat bersih. Luas nyaman. Food court nya banyak pilihan. Ada yg bagia outdoor pakai payung payung. Bersama teman nongkrong jauh lebih asik. Sama pasangan juga lebih so sweet hehe. Parkiran mobil luas. Parkiran motor sisi selatan,5
,,5 bulan lalu,Brank Yudi,Local Guide,627 ulasan,"Tempat nongki siang malam di Utara tugu, suasananya adem dibawah pepohonan  dengan banyak pilihan dan variasi makanan, toilet dan mushola bersih, harga relatif terjangkau.",4
,,setahun lalu,jogja food stock,Local Guide,139 ulasan,"bbrpnkali ketempat ini, selalu ada perubahan yg cukup baik, tenant2 cukup variatif, area bersih, bagian outdoor makin rindang, petugas parkir semakin ramah
• Rasa & tampilan : rata2 cukup menarik dan rasanya cukup baik
• Porsi : standart
• Harga : rata2 food court jogja
• Tempat dan suasana : nyaman
• (-) Kekurangan : penyajin minumn sering agk lama, mungkin ba ditambah stafd
• (+) Kelebihan : strategis pusat kota, area parkir luas, ada sesi musik di hari tertentu

Cek akun 👉👉: kuliner lor tugu
Cek Map  👉👉: kuliner lor tugu

#jogjafoodstock #kulinerjogja #kulineryogya #jogjahits #kulinerjogjahits #kulinernusantara #yogyamakan #jogjamakan #makanjogja #makanyogya #reviewkuliner #makandijogja #voilajogja #riderskulineran #jogjastreetfood #jogjafoodhunter #kulinerkekinian #jajankekinian #kulinerlegendaris #makananviral #komentarkuliner #makandijogja #kuliner",5
,,10 bulan lalu,Amik Narmi,Local Guide,126 ulasan,"Tempatnya nyaman, bersih,tempat parkir luas, banyak pilihan menu makanan, menyediakan banyak tempat duduk, harga makanan standar,pelayanannya baik,lumayan sih untuk nongkrong sambil makan😁",5
,,10 bulan lalu,Arif Nasiruddin,Local Guide,293 ulasan,"Pujasera di Jogja yg lumayan lengkap. Cocok kalau makan dengan keluarga dan masing masing punya kesukaan yang berbeda.  Ada Iga bakar, Burger, mie ayam, pisang goreng, makanan koreaan, katsu, masakan padang juga ada.
Minumannya juga ada berbagai macam.
Ada toilet, musholla dan tempat parkir lumayan luas. Harga tidak terlalu mahal.
Silahkan di coba.",5
,,5 bulan lalu,Tri,Local Guide,198 ulasan,Akhirnya menemukan tempat makan dekat tugu. Ini kumpulan kuliner yang menjadi satu. Jadi Kita bisa sambil ngobrol order pilihan menu yang pilihannya cukup beragam. Untuk lokasi parkir tidak perlu khawatir Karena luas. Pilihan menu cukup beragam. Ada mie ayam yg kata teman cukup terkenal. Ada burger yang menurut saya enak! Pilihan menu lainnya juga banyak. Area duduk juga cukup luas ya. Dan ada live music ya juga ( nah beberapa kali ke sini memang lagu2 lama ya tapi bisa req lagi yang lagi hit ). Untuk harga cukup bersahabat. Tersedia juga mushola.,5
,,setahun lalu,Mutma,Local Guide,91 ulasan,"banyak varian foodcourt. dari mulai makanan khas Indonesia, sampe jepang dan korea.
ada mushola, kamar mandi bersih, petugas kebersihan nya juga top bgt. udah sering kesini dan ga bosen^^",5
,,sebulan lalu,hadiyan hariz,Local Guide,208 ulasan,"Berkunjung ke area makan bernama kuliner lor tugu, Saya kesini ingin membeli mie ayam santika. Mie ayam yang dulunya berada di seberang hotel santika, kini pindah ke kuliner lor tugu. Kuliner lor tugu menyediakan berbagai macam menu makan dan minum. Tempatnya juga nyaman, hanya saja area merokok tidak di bangku luar.

Makanan yang Saya coba juga rasanya enak seperti pempek dan mie ayam. Parkiran luas untuk mobil dan motor.",5
,,5 bulan lalu,Jodie Senoatmojo,Local Guide,317 ulasan,"Tempat kuliner yang cukup menarik.

Kuliner yang disajikan cukup beragam. Mulai dari mie ayam, sate, rice bowl sampai sekedar snack. Minuman mulai dari minuman kemasan, soda, teh, sampai kopi ada disini. Jadi tinggal pilih aja gaess.

Pilihan saya klo kesini untuk menikmati mie ayam santika. Mienya kenyal enak, bumbunya gurih sedap dan toppingnya pas sama porsinya. Buat yang mau beda, coba pesen miyago alias mie ayam gorengnya deh, semacam mie yamin gitu. Enduls. Harganya juga murah, mulai dari 13 ribuan.

Tempat makannya juga luas jadi ga perlu khawatir kalau bawa rombongan. Area outdoor-nya dilengkapi dengan payung jadi kalau hujan cukup terlindung.

Lokasinya juga bagus, deket sekali sama tugu jogja. Tinggal jalan ke arah utaranya dikit. Cuss!!",4
,,11 bulan lalu,Martha Kurniawati,Local Guide,206 ulasan,"Tempat parkir luas, area makan luas, banyak pilihan menu dari makanan lokal sampai makanan korea juga ada plus tempatnya bersih bangettt.. Cocok buat kumpul"" sama temen atau untuk lunch 🍝🥗🍱",5
,,setahun lalu,Diah Novita Ekawati,Local Guide,149 ulasan,"Banyak banget pilihan makanan dan minuman disini,dari tradisional food sampai western food ada,harganya pun gak mahal,parkir luas,tempatnya bikin betah...nyaman banget baik siang maupun malem (siang gak panas karena banyak pohonnya)",5
,,10 bulan lalu,"YHarTONO, SH.",Local Guide,284 ulasan,"Tempat nongkrong yang nyaman dan asri serta berbagai menu yang relatif murah dengan porsi sesuai harga.
Pilihan tempat kuliner asyik di yogyakarta khususnya sekitar wilayah TUGU Yogya.",5
,,setahun lalu,Arnindhita Lei,Local Guide,510 ulasan,"Ke sini waktu acaranya Beatle Jogja Community malem-malem dan ternyata tempatnya asik juga~

Di setiap tempat duduk yg ada payung-payungnya, ada colokan listriknya. Mejanya juga banyak, luas, kebersihannya juga oke.

Pilihan makanan dan minuman cukup bervariasi. Mie ayam depan Santika itu ada di sini sekarang, cuman sayangnya pas ke sana dia udah tutup/habis.

Kemarin beli Tom Yam, harganya 35rban. Rasanya lumayan enak, bikin anget di badan. Sayangnya lupa nama tempatnya hehe

Ada Coffee Beer juga di sini, semacam soda kopi ini nggak ada alkoholnya.

Tempat parkir luas, kamar mandi bersih, ada mushola nya juga. Wastafel juga tersedia.",5
,,5 bulan lalu,m. latifah,Local Guide,241 ulasan,"Ke mari karena antar teman2 sanggar untuk perform.

Pertama masuk ke gerbang, oh rame sekali. Parkirannya rapi, berbayar.

Masuk ke entrance gate, suasana meriah karena pas lagi ultahnya KLT ke-3. Di dkt gate ini ada produk umkm nya teman2 di jogja.

Tapi untuk saya sendiri, snack yg disediakan di dkt gate ini ga menarik sama sekali hehe maap. Kalo saya lihat, ada pie brownies. Produk umkm ada onde-onde mini, dll (saya sampaikan di foto).

Masuk ke foodcourt. Ada 20 tenant menyediakan aneka makanan dan minuman. Untuk saya sendiri, entah mengapa tidak tertarik dengan menu-menu nya 😆 mungkin karena saya termasuk picky untuk makanan ya, pilih yg bukan junkfood maksudnya..
Akhirnya minum aja ditraktir senior, minuman namanya wedang angsle.

Minuman ini menurut saya juga biasa, terdiri dari mutiara, kolang-kaling, roti, santan dengan aroma jahe, dan burjo. Tapi kok burjonya ga kelihatan ya, entah cuma setengah sendok atau seberapa wkwkwk. Untuk rasanya, menurut saya terlalu manis karena saya tidak suka rasa manis. Mungkin untuk yang lain sih manisnya udah pas. Gapapa, selera orang berbeda.

Untuk suasana, sangat rame menurut saya. Mungkin cukup sulit cari tempat kalo datang rombongan. Kalo cuma berdua atau bertiga, masih tidak ada masalah.

Alhamdulillah di sini ada mushola yang bersih. Kalau toilet, kurang tau karena ga mampir toilet.",4
,,6 bulan lalu,Nizza Syila,Local Guide,92 ulasan,Pilihan menu makanan dan minumannya banyak dam enak2. Harga lumayan ramah di kantong. Suasananya nyaman dan ada live music.,5
,,4 bulan lalu,arum y.,-,10 ulasan,"Salah satu alternatif tempat makan di pusat kota jogja. Tempatnya bener-bener di pusat kota. Pas di tugu jogja. Parkir cukup luas. Pilihan makan beragam. Namanya juga foodcourt.. Mulai dari makan ringan sampe makan berat. Jd kalau pergi rame-rame, ga akan bingung krn pilihannya banyak. Memang stand-standnya bukan dari resto2 premium di jogja.. tp lumayan lah..bbrp stand yg sy ingat: mi ayam, pempek, seafood, ayam & bebek goreng, bakso (kuah panas), chicken katsu, iga, depot murni dan drink corner.
Tempat bersih. Harga standar.",4
,,sebulan lalu,alim bahy,-,10 ulasan,"Hampir semua makanan disini ratingnya diatas 8 semua, enak enak sejauh ini yg saya pesan dan makan, mungkin lebih enak lagi klo cari makan siang disini karena terbukti juga semia tenant disini hasil dari seleksi makanan terenak se jogja 🤌🏻",5
,,5 bulan lalu,Erna Fitriani,Local Guide,76 ulasan,"Untuk tempatnya bersih dan luas
Untuk makanan pilihan tenantnya lumayan variatif sih
Kmrin menjatuhkan pilihan ke makanan korea
Beli jjampong ceritanya
Sebenernya untuk rasa masakan enak, tp itu ga bisa dibilang jjampong krn rasanya jauuuuh bnget dr jjampong yg aku tau, lebih cenderung ke capcay or bakmi godog 😂 malahan, rasanya Indonesia banget ga ada taste koreanya sedikitpun, sebagai penikmat masakan korea menurutku ini ga bisa dibilang jjampong, temenku yg lain nyobain rraboki pun begitu, kayaknya ga ada gojuchangnya juga
Penamaan makannanya ga sesuai sama hidangannya
Bisa dilihat dr foto berikut,, yg penggemar korean food pasti bisa menilai sendiri",4
,,3 bulan lalu,Local 101 (Legend),Local Guide,117 ulasan,"Mie santika yang dl di trotoar pinggir jalan sekarang pindah disini.
Rasanya masih sama seperti dl. Ada menu baru nya mie ayam goreng nya. Enak jg.",5
,,6 bulan lalu,Teguh Khalis,Local Guide,94 ulasan,"Suasana nyaman, luas dan bersih. Untuk harga minuman nya pricey tapi sebanding dengan suasana yg ada.
Kesini ke stand mie ayam santika",5
