PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Lesehan Nasi Merah Pari Gogo,,,,,,,
,https://www.google.com/maps/search/Lesehan Nasi Merah Pari Gogo jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,7 bulan lalu,Astrini Kusumastuti,Local Guide,54 ulasan,Tau tempat ini dr 2012 di rekomendasi dr tmn yg asli wonosari. Overall rasanya enak. Masakan rumahan khas gunung kidul. Dengan penyajian semua lauk di keluarkan dimeja. Kita bayar yang kita makan jadi harus dihabiskan satu piring lauk yg sdh kita ambil. Untuk harga memang agak pricey tapi rasanya mantap. Jangan lupa request sambal bawang. Teh pocinya enakkkkkkkkkk. Jerohan bacemnya juga enak. Ayam goreng jg nglawuhi.,5
,,setahun lalu,Non May,Local Guide,133 ulasan,"Tempat makan wajib kalau berkunjung ke pantai pantai di Gunung Kidul. Legend dan enak. Tempat luas. Ada toilet cocok utk sekalian rest area. Bersih. Lokasi depan Kelurahan Semanu Gunung Kidul

Menu:
Nasi merah
Jangan / sayur lombok ijo
Daun singkong
Trancam
Empal
Babat iso
Ayam goreng
Brongkos
Oseng oseng
Wader

Penyajian menu spt masakan padang. Jadi hanya ditanya yang makan brp orang. Kemudian akan disajikan semua menu di atas. Dan akan dihitung yg dimakan saja.
Semua menu di atas dihitung per piring. Yg dihitung per pcs hanya ayam goreng.

Harga update 15 April 2022:
1 orang makan dihitung 6.000 sdh termasuk dapat sayur lombok ijo + daun singkong
Trancam 5.000
Empal 45.000 isi 3
Babat iso 30.000
Ayam 1 potong 20.000
Wader 17.000
Brongkos 20.000
Oseng oseng 15.000
Sambal bawang / trasi 5.000
Tambah nasi merah 1 porsi 5.000",5
,,3 bulan lalu,Fariz S,Local Guide,30 ulasan,"Ambience-nya traditional banget, berasa warung makan jaman diajak makan Bapak dulu.
Yang the  best dan recommended itu nasi merah, kasih kuah lodeh, tempe garit, ayam goreng nya juga enak dan empuk aman utk toddler yg lagi belajar makan.
Terakhir rekomendasi nya teh poci, makanya sampe beli teh tubruk nya.
Oiya syg parkirannya gak bisa nampung banyak, mungkin 4-6 mobil aja. Price nya saya isi 125 - 150 ribu/orang karena habis borong jajanan dan oleh². Utk makan mungkin 100rb/orang.",5
,,setahun lalu,Nila Sari Hariyadi,Local Guide,141 ulasan,"Tempat makan yang cukup terkenal di Wonosari. Menyajikan menu tradisional dengan cara penyajian prasmanan seperti di resto masakan padang. Menu khasnya adalah nasi merah, jangan tempe lombok ijo, wader goreng, brongkos daging,  trancam,dan beberapa menu pendamping lainnya.

Bisa memilih duduk lesehan maupun di kursi. Tempat makan luas,tempat parkirnya juga cukup luas. Ada fasilitas toilet dan musholla. Harga agak pricey, namun dijamin puas. Sebab rasanya lezat dan pilihan lauk ataupun sayurnya beragam. Jika suka bisa mencicipi snack khas gunung kidul yaitu walang goreng gurih asin yang renyah.",4
,,9 bulan lalu,Elvira P,Local Guide,149 ulasan,"Wajib dateng kalo lagi di Wonosari. Makanannya enak, banyak pilihan, rumahan. Makan jadi lahap sampai nambah nih. 😀Disajikan langsung di meja makan, kita bisa ambil langsung seperti di RM Padang.

Tempatnya luas.",5
,,9 bulan lalu,Anggit -,Local Guide,74 ulasan,"rasa khas masakan jawa, ambiencenya enak serasa makan di pedesaan. sipakan dompet lebih soalnya harganya memang pricey tapi sesuai dengan pengalaman yang didapat",4
