PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Lucifer,,,,,,,
,https://www.google.com/maps/search/Lucifer jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,9 bulan lalu,Berlan Tour & Transport Jogja,Local Guide,227 ulasan,"Enak buat santai setelah seharian city tour jogja, tepat dekat sarkem ada live musik setiap malam.",5
,,3 tahun lalu,Queen ***,Local Guide,117 ulasan,Salah satu tempat nge beer di jogja suasana nyaman ada live music juga pelayanan ok harga worth it. Recomended buat yg suka nge beer,5
,,4 bulan lalu,Adi Radka,Local Guide,16 ulasan,"Pertama masuk nyaman2 aja harga minuman jg wort it
Gak mahal. Yg bikin kurang nyaman soundnya terlalu keras jd gk nyaman buat ngobrol",4
,,11 bulan lalu,Danu Setiawan,Local Guide,59 ulasan,"Mantap cuy, suasana nya enak banget buat hangout, ada live musik nya juga disini start jam 10 malam😍",4
,,2 bulan lalu,N Cinema,Local Guide,12 ulasan,Buat santai sih okay...,5
,,setahun lalu,Hendri Kusuma,Local Guide,188 ulasan,"Cafe Live music n drink.. Enjoy Cafe keren pengisi musiknya juga mantap.. Dominasi lagu reggae yg asik n boleh juga request lagu 🎶. Minuman santai banyak jenisnya.. Buka sampai larut malam ada banyak juga orang bule yang datang, tersedia juga minuman ringan sampai yang beralkohol juga ada.. Band nya keren 😎 😎 😎 pengen ikutan nyanyi tapi suara pas2 an.. Hahahaha.. Lanjuttt.. Semoga tetep eksis n lebih baik..",5
,,4 bulan lalu,Peter Parkitt,Local Guide,90 ulasan,Pengajian Classic Rock makam Jumat yooo...,5
,,5 bulan lalu,Reindra Amin Rais,Local Guide,30 ulasan,"Cozy banget 😁
Waitersnya ramah 🍻 …",5
,,4 bulan lalu,Hilman Ozil,-,2 ulasan,"Pelayqnnya ramah....
Salam buat penyanyinya...",4
,,4 tahun lalu,Be Bee,Local Guide,80 ulasan,"Tempatnya asik, menu nya murah, cuma rame banget sampe susah cari tempat duduk. Makanya dapet di atas.
Pdhal lebih asik kalo di bawah. Karna panggung live musiknyandi bawah 👌 …",5
,,11 bulan lalu,Jinnat Baby,-,16 ulasan,Cafe ini sangat BERISIK SEKALI. Sgt Menganganggu pengunjung yang menginap di Hotel Sekitarnya. Jk di hari Jum'at atau Sabtu msh mending deh. Ini setiap hari di hari kerja. Tdk semua org ke Yogya untuk Wisata. Ada jg yg Tugas. Tolong dong PENGERTIANNYA,1
,,2 tahun lalu,adira hesti ksvara,Local Guide,73 ulasan,"Live musik yang berbeda tema disetiap harinya. Untuk yang suka live music performance sambil minum dan tipsi tipis"" boleh sih mampir kesini.
Hari kamis slow rock atau rock classic, hari jumat kalo ndak salah top 40an.
Pemain musiknya sudah pro sih, jadi gak bakal menyesal kalo mau menikmati musik disini",5
,,4 tahun lalu,Arief Syahlan (Setan Merah),Local Guide,29 ulasan,Asyik tempat'a karna berbagai jenis aliran musik tumpah di sini..,5
,,4 tahun lalu,Andri hendriyana,Local Guide,97 ulasan,"Live Music, Harga standar, bebas aksi, bisa ikut nyanyi juga, kereeennnn",5
,,seminggu lalu,Andy Nur,-,3 ulasan,Bartendernya ganteng dan ramah,5
,,7 bulan lalu,Dityo Mahendro,Local Guide,247 ulasan,"Tempatnya asik buat nongkrong dan nge bir tipis-tipis.
Ada GRO Dian yang gemesin 🤣 …",5
,,4 tahun lalu,Amin Rahmadi,Local Guide,411 ulasan,"Live musik ,tempat nonggkrong jga disediakan minuman seperti bir dll.",4
,,setahun lalu,Della Puspitarini,Local Guide,109 ulasan,Tempat nongkrong yang asik kalau ke jogja. Hiburan live music nya ok. Waiters nya ramah2.,5
,,setahun lalu,mohamad Noer,Local Guide,30 ulasan,"Live music nya bagus, tapi pilihan menu spirit nya kurang banyak.",4
,,10 bulan lalu,Ronny DK,Local Guide,421 ulasan,Sejak itu.. Tempat live music yang masih ada salah satunya di yogya,5
,,8 bulan lalu,Arfan Nafrizal,Local Guide,131 ulasan,Asik2 staff nya..datang sendiri tapi kaya banyak teman..good job all,5
,,setahun lalu,ferdinand magellhans,Local Guide,206 ulasan,Nice music .. but sempit ..,4
,,3 tahun lalu,mbuh rauh Jateng,Local Guide,48 ulasan,"Bar denganlive music
Tempat sederhana, harga ya seperti harga dicafe
Thematic music, top 40, jazz, raggae, classic rock
Lumayan buat nongkrong walau agak gelap
Tidak ada minimum charge
Rekomended",5
,,3 tahun lalu,Choirul Anam,Local Guide,90 ulasan,"Tempat yg cocok buat penggemar musik rock yg ingin bersantai.. Tidak tahu musik apa aja yg diputar di sini.. Kebetulan pas saya ke sini, lagu yang dimainkan adalah lagu-lagu rock.. Makanan enak, bir pun juga tersedia.. Minuman beralkohol lainnya sudah tidak ada.. Lokasi sangat mudah ditemukan karena persis berada di ujung Jalan Sosrowijayan.. Cukup jalan kaki dari Malioboro...",4
,,2 tahun lalu,Jexx Monrever,Local Guide,102 ulasan,"Ada live music tiap hari disini. Parkir agak susah, terutama untuk mobil. Tapi ada petugas parkir yg sigap.",5
