PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Merapi Live Music,,,,,,,
,https://www.google.com/maps/search/Merapi Live Music jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Romli Romli,Local Guide,22 ulasan,Aku setiap hari di sana ..bs rilex santai ga neko2..yg jelas lagu apa yang kita inginkan bisa kita temukan dan lngsung live...asyiik lah pokoknya,5
,,setahun lalu,Aguz Santosa,-,4 ulasan,"Tempatnya lumayan bagus untuk menambah teman dan saudara. Semua ramah ramah.
Goodjob👍🎶🎹 …",4
,,2 tahun lalu,stephen santanu,-,21 ulasan,Volume nya dikecilin dong supaya tidak mengganggu warga lain atau wilayah lain.,1
,,3 tahun lalu,arya vega,-,3 ulasan,"Wow tempat nya nyaman ,berasa seperti di rumah sendiri😁 …",4
,,4 tahun lalu,Ragil Lia,-,2 ulasan,Mantap cari hiburan jg persaudaraan.. monggo,5
,,9 bulan lalu,Sri Muryani,-,17 ulasan,Letaknya dijalan.Kaliurang,5
,,setahun lalu,Eny gawol mania,-,4 ulasan,Mantape polll,5
,,5 tahun lalu,Ririk Sariring,,,,1
,,5 tahun lalu,Ronggo Kuswidianto,,,,1
,,4 tahun lalu,Wahyu Pratyakso,,,,1
,,4 tahun lalu,Muhammad Saiful,,,,5
,,4 tahun lalu,EDI SUTRISNO,,,,5
,,4 tahun lalu,Sherlyna WidyaNingrum (Sherly),,,,5
,,setahun lalu,malika bismar,,,,5
,,2 tahun lalu,Nunuk Siti Suharti,,,,4
,,setahun lalu,Agus Cahmetaram,,,,5
,,4 bulan lalu,aqeela banafsha,,,,4
,,2 tahun lalu,Gustik Anggara,,,,5
,,2 tahun lalu,Gustik Anggara,,,,5
,,2 tahun lalu,Gustik Anggara,,,,5
,,2 tahun lalu,Gustik Anggara,,,,5
,,2 tahun lalu,Gustik Anggara,,,,5
,,2 tahun lalu,Gustik Anggara,,,,5
,,2 tahun lalu,Gustik Anggara,,,,5
,,2 tahun lalu,Gustik Anggara,,,,5
