PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Mie Sapi Perjuangan  Condongcatur,,,,,,,
,https://www.google.com/maps/search/Mie Sapi Perjuangan  Condongcatur jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 minggu lalu,Khanza Malika Az Zahra,-,2 ulasan,"Mie ayam original nya enak, tipe mie yang kecil-kecil dan tipis, which is favoritku. ayamnya juga banyak. gyoza nya flavorful, isiannya banyak & cocok dicocol pake chili oil nya. es teh leci juga seger banget, pas buat ngilangin haus setelah makan. tempatnya pun nyaman. bakal mampir lagi sih",5
,,3 bulan lalu,Ika Asti,Local Guide,39 ulasan,"Tempat makan mie sapi murmer di daerah Concat. Diantara kampus Amikom dan UII. Mienya mirip yamie, kuahnya seger, pangsit keringnya kriuk banget, es teh lecinya juara.
Mie sambel mattahnya oke banget.
Dan yang paling penting, bisa bayar QRIS.",5
,,5 bulan lalu,agatha sucintya,-,4 ulasan,"Honest review

Segi pelayanan : Tadi waktu datang dan ke kasir, pegawainya cepat tanggap dan ngasih informasi lengkap tentang menu yang ada dan yang ga ada. Sopan dan juga wholesome.

Namun, pas udah di meja dan nunggu pesanannya datang, agak lama banget (kira kira 15-20 menit) dan ternyata pesanan yang kami pesan ga tercatat di dapur, jadi pelayannya pakai bill kami untuk melihat menu apa aja yang kami pesen. Ini kurang oke tapi karena baru buka, kami maklumi.

Segi makanan : Tadi mesennya Mie Sapi dengan Pangsit dan Nasi Sapi. Mie sapinya oke, nasi sapinya juga oke dan enak. Nothing special but not bad too.

Saran :

- Tiap meja diberi botol saos (saos tomat, kecap, saos pedas, merica, kotak tisu) karena kalian menjual mie miean. Tisunya jangan yang guede banget, eman. Mending pakai tisu box yang biasanya ada di warung warung

- Perbanyak menu minuman. Sebagai orang yang ga bisa minum manis setelah makan asin, kami ingin kedai ini punya menu es teh tawar dan air es. Air mineralnya tadi habis, tapi karena produk kalian dijual di area kos kosan, lebih baik sediakan menu minuman yang tidak begitu pricey seperti air es dan es teh tawar.

- Tingkatkan lagi pelayanannya ya, karena tadi lama banget dan kami diposisi laper banget (jam makan siang).

Semoga dengan review ini kalian bisa berbenah dan berkembang. Akan datang lagi nanti. Thank you 💕✌🏼",4
,,2 minggu lalu,Athaya Dhiya,-,4 ulasan,"tekstur mie lembut, rasa daging sapi cenderung manis, spicy nya jg gak terlalu spicy jadi pas. gyoza & pangsitnya full daging. trs agak surprise sama lychee tea nya soalnya murah bgt tapi dikasih buah lecinya 😭👍 rekomen!!!",5
,,3 minggu lalu,Eka Julianto Sapar,-,1 ulasan,"Untuk menu Mie Original dan Mie Pejuang Sejati mirip yamien hanya saja ada parian kuahnya saja dan lebih enak bilamana kuanya sudah di tuangkan agak lama baru di makan, itu akan terasa meresap dan lembut banget terhadap tekstur Mie nya, saran kuahnya mungkin harus sedikit agak panas agar aroma kaldu halusnya juga terasa.
Dan untuk Nasi Sapi nya dari segi rasa dan kondimen tetap konsisten menu yg satu ini langganan sih tetap enak karbonya juga banyak👍
Teh Leci, hmm untuk rasa Teh Leci agak berbeda dari yg sebelum²nya lebih segar dan Balance yg sebelumnya daripada yg sekarang ini.
Untuk pelayanan tetap ramah dan nyaman hanya saja untuk Mbak Kasirnya mungkin harus ada suport system agar mood dari mimik wajahnya tetap stabil dan selalu cantik ceria serta Komunikatif 😊",5
,,sebulan lalu,Farhan Amen,Local Guide,95 ulasan,Yamien dengan varian menu yang beragam! Tempat juga nyaman untuk makan bersama keluarga atau sekedar untuk nongkrong bersama teman. Parkir juga cukup luas untuk kamu yang mengendarai mobil. Bumbu wonton yang disediakan meresap dan nikmat. Daging sapinya juga cukup berasa dengan campuran bumbu-bumbunya yang gurih. Kamu juga dapat mendapatkan promo gratis es lychee tea.,5
