PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Mrikiniki Angkringan And Gallery,,,,,,,
,https://www.google.com/maps/search/Mrikiniki Angkringan And Gallery jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Michael Vincent,Local Guide,282 ulasan,"Angkringan Mrikiniki, semacam kafe kekinian yang terletak di Wonosari. Tempatnya enak, bisa indoor dan outdoor. Menunya cukup banyak, harganya masih cukup terjangkau. Ada live music tapi sepertinya hanya di malam minggu saja. Sayangnya pelayanan agak lama.
Terima kasih",3
,,seminggu lalu,Fitri Rubiyati,-,2 ulasan,"Kopinya enak, tempat lumayan sejuk 👍👍",5
,,2 tahun lalu,Stefano Adi,Local Guide,9 ulasan,"Tempat nyaman banget buat Qtime bersama teman2 keluarga pacar selingkuhan. Kadang juga ada live musicnya juga. Dari segi menu,lengkap. Ada beberapa pilihan coffee manual brew tubruk. Recomend parahhh",5
,,2 minggu lalu,Titik W Sumargo,Local Guide,114 ulasan,"Tempatnya oke,  Romantis,  Syahdu, bagus, dipusat kota, tempat agak masuk aku suka karena ga bising kemdaraan",5
,,2 bulan lalu,Undead Ferluci,-,6 ulasan,"Sharing aja. Waktu itu pesen indomi.. nunggu lamaa its okay lah, mungkin antri kan ya. Pas dateng indomi udah dingin. Ngebentuk mangkoknya ( tau lah ya kalo indomi udah dingin) dan kagak diaduk bumbunya . Masih dibawah semua . Telor goreng nya juga . Yg bumbuin pake batu garam. Its very kemlotak di untu. ...  Yakali bikin indomi kaga bener.... Secara indomi ... Mie instan 🙂... Untung kopinya enak.",1
,,3 tahun lalu,Nurhana Tri Utami,Local Guide,920 ulasan,"Kali pertama ke sini. Baru tahu kalau ternyata wonosari ada kafe (eh, angkringan ya?) yang se cozy ini.
Tempatnya betah buat berlama-lama.
Kebetulan kemarin ke sini dalam rangka meetup sama teman yang lama nggak ketemu dan betah sekali kami di sini.
Banyak spot untuk mengambil foto.
Dan hidden gems nya, di belakang (backyard) ternyata masih banyak meja dan biasa untuk akustikan. Padahal dari luar nggak kelihatan.
Kalau soal makanan, snacknya nggak ada yg rasanya minus. Nasi goreng juga enak. Tapi untuk minumannya so so.
Ada toilet.
Nggak ada mushola, tapi kalau mau sholat bilang ke karyawannya aja. Nanti disuruh sholat di dalem rumah. ❤️
Note: pesen - langsung bayar - makanan dan minuman dianter.",5
