PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Nasi Telor W4REQ by Suddenly,,,,,,,
,https://www.google.com/maps/search/Nasi Telor W4REQ by Suddenly jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 hari lalu,Yulianto Nugroho,Local Guide,287 ulasan,"Makanan hidden gems. Utk makanan kaki lima ini menurut kami termasuk enak dan rekomended. Harganya mulai sekitar 14rb an, nasi telurnya enak bgt.
Lebih nikmat kalo ditambah topping mulai dr kulit ayam, ayam goreng, terong dll.
Patut dicoba.
Tempatnya agak kecil, jd agak susah duduk kalo ramai.",5
,,5 bulan lalu,Cynthia Annisa,Local Guide,335 ulasan,"Rasa makanannya enak bangeeettt!!! Tapi sayang waktu pertama kali makan disana ngga dikasih serundeng, katanya kelewat. Trs pesanan selanjutnya dikasih serunder 2x heheh. Pelayanannya sangat memuaskan. Thank you!",5
,,6 bulan lalu,Indah Sekar,Local Guide,79 ulasan,"Saya sangat apresiasi konsepnya yang lucu seperti angkringan ala jepang, mereka juga viral karena packagingnya seperti nasi bungkus yang upgraded level👌🏼

Sebenarnya untuk rasanya cukup enak, tapi untuk harga segitu agak overprice. Ada pilihan telur omeganya juga, yang suka telurnya setengah matang. Ayamnya kecil :) trus kulitnya kurang chewy, tipe yang garing.",4
,,setahun lalu,Syifa Rivanda (Rivaa),Local Guide,45 ulasan,"Rasanya enak dan gurih, mungkin karna msih baru jd rame bnget. Ngantrinya sampe 2 jam -an. Dan tempatnya kecil, jd hrs bergantian klo mau mkn di tempat.",4
,,setahun lalu,Dinda Ardhenareshwari,-,2 ulasan,"Rekomen banget!! Nasi telor topping kulit enak bgt gaboong, kulitnya kriuk gurih beda sama yang laen, ga keras juga.. wajib coba!! Best best best tempatnya nyaman, bersih, mas mbanya sangat good looking 🤫
Oiyaa yang gabisa pedes juga bisa req ga pedes kok, jadi aman 👍👍",5
,,setahun lalu,Indi Auliana,Local Guide,8 ulasan,"Nasi telor murmer tp ngenyangin. Telornya lembut (bisa request setengah mateng, apalagi omega 3 🤤), kulitnya crispy dan gurih, pedesnya pas (bs request jg sih), trus jujur aku biasanya ga terlalu suka paru krn alot, tp disini parunya surprisingly lembut bgt. Mantep bgt dah under 20k udah bisa kenyang. …",5
,,11 bulan lalu,Agatha Wahyu,Local Guide,88 ulasan,"Nasi telurnya enak biasa sih gak mengejutkan, aku paling suka serundengnya hahaha kulitnya garing enak juga. Telurnya setengah mateng ya.

Lokasinya pinggir jalan tapi harus merhatiin bener bener tadi gaada bannernya jadi sempet muter dua kali. Mending dateng bawa motor karna mobil susah cari parkir, dateng jam 6 pas biar gak antre lama. tapi tadi pelayanannya emang agak lama sih, padahal aku pelanggan kedua. Jam 06.30 tempat udah rame banget. Untuk nasinya banyak jadi emang bener bener wareg (kenyang)",4
