PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Nyore Coffee  Space,,,,,,,
,https://www.google.com/maps/search/Nyore Coffee  Space jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 minggu lalu,retno widuri,Local Guide,165 ulasan,"Tempat makan sambil ngobrol yg keren dan asik banget ..
Tempatnya bagus banget, bersih, rapi dan keren buat poto2 ..
Makanan enak, harga terjangkau apalagi harga menu paketane .. mantap .. …",5
,,sebulan lalu,Rifky febrian,Local Guide,215 ulasan,"Pelayanan ramah, tempatnya asik buat nongkrong dan nyantai bareng temen atauapun keluaraga untuk rasa standar tetapi tampilan menarik dan terkesan mewah , cukup worth dengan harga yang terjangkau.. tetapi sanagat di sayangakan pengalman …",3
,,3 bulan lalu,Ofix Okefix,Local Guide,134 ulasan,"Tempatnya asik bgt buat nongkrong ataupun bikin tugas maupun rapat/metting gitu, ada musolahnya juga di blkg, bersih rapi wlopun wudhunya agak jauh ya, chiken wings nya enak dan memang untuk ukuran mahasiswa harga nya lumayan up sih tapi …",5
,,2 minggu lalu,Toto Danarso,Local Guide,4 ulasan,"Butuh tempat nongkrong?
Butuh tempat meeting?
Butuh tempat nyantai? …",5
,,sebulan lalu,Ori Khoirunnisa,-,10 ulasan,"Tempatnya bagus, seru, makanannya enak!",5
,,2 minggu lalu,Resty Rindy,-,8 ulasan,"Tempat paling nyaman, di tengah kota untuk meeting ataupun bersantai bareng keluarga. Intagramable, cucok buat mengabadikan moment bareng kaluarga",5
,,sebulan lalu,Gilang Karl,-,4 ulasan,"tempat paling asik banget buat dipake nongkrong, selain itu service nya bagus banget . pokoknya, buat kalian yg cari tmpat buat nyore~smpe malem di sekitaran tugu, ini tempat paling cocok✨",5
,,seminggu lalu,Ni Made Shinta Adhella,Local Guide,36 ulasan,"Cocok buat nongkrong dan ngobrol santai tapi enggak di ruangan terbuka, dan tidak terkesan riuh 🥰 …",5
,,3 bulan lalu,ALVIONITA HISA PUTRI,Local Guide,374 ulasan,"Tempatnya nyaman banget buat nongkrong atau sekedar mampir beli kopi karena terjangkau dikawasan wisata, menunya juga enak banget, terutama chrispy chicken Wingsnya. …",5
,,seminggu lalu,Trisca Fariana,Local Guide,374 ulasan,"Tempat bersih, cozy, cocok untuk nongkrong. Pelayanan baik dan informatif. Menu banyak pilihan.",5
,,sebulan lalu,Azumi Ashura,-,3 ulasan,Makanan & minumannya enakkk semuaaa😍 Tempatnya juga bikinn nyamann gamau pulang xixi😂✨ …,5
,,3 hari lalu,Donabella A,Local Guide,11 ulasan,"Pertama kali nyobain kesini tapi tempatnya asik banget buat nugas, bakal kesini lagi next time✨",5
,,seminggu lalu,Lilis Muchlisoh,-,1 ulasan,"Coffee shop ter pewe, seru bgt sambil liat jalanan2 jogja, strategis bgt, baristanya ramah2🫶🏻 …",5
,,2 bulan lalu,Dwiyana Wijaya,Local Guide,65 ulasan,Rekomendasi tempat meeting tengah kota dengan banyak pilihan makanan dan tempat yang super cozy,5
,,2 bulan lalu,sa dewi,Local Guide,328 ulasan,"service 3/5
orange range 3/5
nyore red blossom 4/5 segarrr …",3
,,seminggu lalu,Alvira Indriani,-,1 ulasan,"recommend buat nongkrong ataupun nugas, tempatnya cozy, pelayanan juga ramah",5
,,2 bulan lalu,Magdalena Krisinda,Local Guide,47 ulasan,"Makanannya oke, suasana full musik. Asik!",5
,,3 bulan lalu,Real Me,-,12 ulasan,Untuk rate harga 30k ke atas sih agak mahal buat kalangan mahasiswa padahal di tengah kota banyak banget yg lbh murah. untuk rasa masakan enak cuma nunggunya lama banget. Untuk suasananya enk.,3
,,3 bulan lalu,Teea Namama,-,3 ulasan,"Pesen tahu cabe garam 2x yang satu enak poll ada daun jeruk dan serpihan jeruknya wangi, cabe nya pas, yang satu sedih bawangnya kematengan gada daun jeruknya. Karna expect pertama enak, …",5
,,seminggu lalu,Widya Up,Local Guide,95 ulasan,"Tempat nya asik buat nongkrong.
Tapi yg menyebalkan adalah tukang parkir mbl yg pertama sore bapak² yg sdkit tua minta byr dl 10.000 pdhl sblmnya kita byr 5.000 ( tp gpp mungkin weekend)  kita …",4
,,6 hari lalu,irene mia,-,1 ulasan,"Penataannya oke sih, not bad lah bisa dicoba",5
,,seminggu lalu,thalia Lia,Local Guide,15 ulasan,"Tempat nya asik
Pas waktu itu main kesana bulan puasa jadi dapat free takjil,ada live musik di dekat pintu masuknya.. …",4
,,seminggu lalu,Bagus Valderama,-,2 ulasan,"Tempat cozy, nyaman,menu komplit,pelayanan cepat",5
,,sebulan lalu,nuzulul arifin,Local Guide,309 ulasan,"Tempat ok. Strategis dan cozy interiornya.

Pesan menu Nasi Goreng. 14 menit setelah azan maghrib, makanan baru datang. …",4
,,seminggu lalu,Sasa Max,-,1 ulasan,Tempatnya bagus . Makananya enak enak bangett love deh .. yang mau cari tempat nongki bisa di sini harganya ramah di kantong ..,5
