PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Osea Resto and Bar Jogja,,,,,,,
,https://www.google.com/maps/search/Osea Resto and Bar Jogja jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,9 bulan lalu,Kun-Coro Aji,Local Guide,594 ulasan,"Tempatnya bagus dan tematik, terasa seperti menikmati suasana yg beda dan segar, makanan enak walopun porsi relatif kecil, cocok untuk makan cantik tapi bukan makan karena kelaparan. Harga ralatif mahal. Tapi cocok dg kwalitasnya.",5
,,setahun lalu,Yulianto Nugroho,Local Guide,287 ulasan,"Good place for dine in. Salah satu resto yg lokasinya di utara Jogja. Sekitar 45 menit perjalanan dr Kota. Style nya cukup berbeda dr resto2 lain di Jogja, plus pool view di tengah.
Dine in disini menggunakan sistem minimal order 75rb per person & makanan cukup enak, harga makanan menengah keatas. Cukup rekomended 👍🏼",5
,,3 bulan lalu,Diana,Local Guide,32 ulasan,"Tempatnya cozy, instagramable dan aesthetic parah. apalagi kalo pas cuacanya cerah, behh. kebetulan kesini pas mendung dan ujann:) pelayanannya baik. staf ramah dan responsif. rcmndd bngt buat yang cari2 tempat nongky sekaligus spot foto yg instagramable. sayangnya menu nya agak pricey yaa. karna harga di menu blm include tax. tapi ya sebanding si sama service yg diberikan. oyaaa rcmnd juga buat tempat foto2 model gitu, hampir setiap sudut bisa dijadikan spot foto xixi",4
,,setahun lalu,Farida Fathoniah,Local Guide,107 ulasan,"Konsep tempatnya bagus, cuma jauh dari kota. Parkir cukup luas dan ada mushola di area parkirnya. Untuk rasa makanan dan minumannya termasuk standard, cenderung kurang untuk harga yg dibandrol disana. Mungkin bisa improve dibagian fnb nya",3
,,2 hari lalu,afriniadini,Local Guide,204 ulasan,Untuk tempat memang jujur bagus banget banget banget. Suka banget berasa di bali gitu vibesnya. Ada pasir-pasirnya dan kolam kecilnya. Yang pasti anak2 pasti suka. Tapi untuk makanan gak worth it sepertinya karena menurutku kemahalan dengan porsi sedikit seperti itu dan rasanya yang menurutku biasa saja. Tapi tetap bintang 4 karena kebaikan yang punya yang saat itu mobilku mogok pas weekend malam-malam tidak ada bengkel buka dan diijinkan untuk stay disana selama 2 hari 🫶🏻,4
,,setahun lalu,sadewa dewa,Local Guide,21 ulasan,"Datang kesini udah jam 6an sore dan kebetulan pas hujan jadi sepi pengunjung. Namun justru vibesnya makin dapet klo gak terlalu rame pengunjung. Penataan interior dan ornamennya aesthetic dan instagramable banget. Cocok deh buat hobi foto"". Ada tempat duduk yg indoor dan ada yang outdoor. Untuk yg outdoor berada dekat dengan kolam renang dan lantainya beralaskan pasir pantai. Menunya cukup banyak tp termasuk tinggi harganya. Rasa masakannya lumayan lah, not bad. Cuman waktu pesen dori, nasinya pake nasi goreng tp terlalu asin dan dorinya cukup hambar dilidah.",5
