PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
RT Cafe,,,,,,,
,https://www.google.com/maps/search/RT Cafe jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 bulan lalu,Faiqah Nur Fajri,Local Guide,94 ulasan,"Cafenya strategis di deket alun alun kidul (kalo jalan kaki deket bangett). Tempatnya nggak terlalu luas tapi suasananya nyaman, lagu yang di puter ga berisik & ada wifi yg cepet. Cocok banget buat nugas maupun ngobrol santai bareng temen.

Kemarin waktu kesini pas hari jumat, ada jumat berkah. Beli 1 gratis 1 mie + es teh (mienya mirip mie gacoan gituuu). Belum nyoba kopi, karena kemarin belinya udah ada minum, jadi beli jajannya aja hehe. Tahu tunanya enakk! Oiya, kalau dilihat dari harga kopinya, termasuk standar (secara cafenya di deket tempat wisata). Btw mas mas baristanya ramah banget!💁🏻‍♀️

Oiya bisa parkir di depan cafe, bayarnya 2000. Tukang parkirnya ramah & bantuin sampe mau nyebrang.",5
,,5 bulan lalu,Aisya Tunnisai,Local Guide,38 ulasan,Cafenya terletak strategis dekat alun-alun selatan. Ke sana jam 12 siang sepi dan kondusif untuk work from cafe. WiFi bisa untuk streaming netflix. Kemaren pesan jus buah naga. Esnya ikut diblend jadi lembut.,4
,,8 bulan lalu,Ayudia Hafara,Local Guide,70 ulasan,"Meskipun gak luas, tapi kafenya nyaman banget buat ngobrol sama temen maupun kerja sendiri. Harga-harganya juga masih cukup affordable. Ada mushola mininya. Pas ke sana lagi ada diskon makan+minumnya tapi sayangnya abis makan jadi gak beli deh. Mas barista + kasirnya ramah sekaliii🙌",5
,,setahun lalu,Afusa Nidya Kinasih,Local Guide,56 ulasan,"Makanannya enak2, banyak variant makanan beratnya dari pada cafe lain. Chefnya selebtok no play2 lah pokoknya wkwk. Wifinya kenceng, nyaman bgt buat nugas. Semoga tempatnya bisa digedein ya 👍🏻",5
,,9 bulan lalu,Gabriel Firmansyah,Local Guide,66 ulasan,"Betah banget di siniii, ga kerasa dari jam 2 tiba tiba udah mau maghrib aja 😅 Cocok buat nugas atau ngedit, saya pesan Spaghetti Creamy dan Mocha nya, enaak.",5
,,3 bulan lalu,Hubertus Gilang OJI,Local Guide,317 ulasan,"Kebetulan ke sini buat neduh dari suasana hujan deras sekalian buat coba ice coffe milk nya sembari menyalakan laptop. Rasa kopi cukup unik dari segi milknya saya rasa.

Tempatnya ada dua tempat, baik indoor dan outdoor di depan untuk yang merokok. Tersedia stop kontak, kamar mandi yang bersih sekali, aneka permainan seperti catur, uno dan lain sebagainya.

Saya rasa ini salah satu coffeshop yang coba dikunjungi bila berada di sekitar alun-alun kidul Yogyakarta.",5
,,2 bulan lalu,Yunita Sugiarto,Local Guide,16 ulasan,"salah satu coffeeshop yang terletak di pusat kota —alkid.

wfc friendly! wifi nya cukup stabil dengan extra colokan & kursi yang nyaman buat lama-lama.

untuk menu, beragam bangettt mulai dari snack sampe makanan berat yang sepertinya oke juga. kesini pesen matcha latte ice & banana roll(?) yang enak banget!

walau tempatnya gak begitu besar, tapi nyaman kok. ada area outdoor depan dan belakangg untuk perokok, indoor ada sofa juga ber-ac. suasananya homey banget. 👍🏻",4
,,2 minggu lalu,debora lupita,Local Guide,22 ulasan,"buat yang pengen nugas tapi banyak makanannya, ruang tengah rekomen banget sih. kalau jumat biasanya ada paket bundlingnya juga",5
,,setahun lalu,Ripase Nostanta Purba,Local Guide,52 ulasan,"Nyaman dan tenang untuk kawasan wisata seperti Alun-Alun Selatan Yogyakarta. Untuk yang datang pada malam minggu, tidak rekomended untuk melalui Plengkung Gading, krn macet.",5
,,5 bulan lalu,Badi Ku,Local Guide,69 ulasan,Lokasi cafe ini sangat dekat dengan alun-alun kidul Jogja.,5
,,11 bulan lalu,Agung Aryanto,Local Guide,165 ulasan,Kafe yang lumayan strategis karena terletak di tengah kota dan dekat dengan Alun-alun Kidul. Suasananya lumayan homy dan ga begitu bising. Harga makanannya lumayan lebih murah daripada kafe lain. Tempat parkirnya di pinggir jalan.,5
,,2 tahun lalu,Hanna N,Local Guide,66 ulasan,"Nih buat kalian yang pgn belajar/nugas di kafe atau work from cafe, cocok banget nyobain disini. Bahkan buat sekadar nongkrong santai juga cocok. Tempatnya nyaman dan tenang banget. Makanan dan minumannya juga enak-enak.
Pastinya ada Wi-Fi, ada colokan, ada indoor + outdoor juga, dan bahkan ada bbrp permainan biar seru nongkrongnya bareng temen2..
Oiya harganya juga standard..

Recommended ✨",5
,,2 tahun lalu,Wardatun Jamilah,Local Guide,123 ulasan,Tempatnya nyaman banget buat nongkrong atau sekedar ngerjain tugas. Makanan dan minuman nya juga enak worth it buat dicoba. Yang bingung mau nugas atau malam mingguan kemana bisa banget mampir ke Ruang Tengah Cafe 😊 …,5
,,2 tahun lalu,Anggit Dina,Local Guide,72 ulasan,"Dari segi makanan, aku pesen spicy tofu rasanya enakk spicy nya juga ga pelit. Pernah pesen potato wedges, onion ring, sama french fries juga rasanya ga mengecewakan.

Minuman, beli blueberry milk blend, blue mint, sama strawberry mint rasanya juga pas enak cocok di lidah.

Notes buat makanan dan minuman mungkin di harga yaa. A little bit pricey kalo buat sebagian orang (terutama karena harganya naik juga dari terakhir kali aku kesana). Mungkin karena lokasinya juga strategis banget yaa.

Kalo dari segi tempat, udah the best banget. Ngga begitu besar jadi kondusif, begitupula dengan layout mejanya juga ga bikin kerasa sesek gitu. Wifinya kenceng, pelayanannya juga super ramah!

Mungkin aku kasih bintang 5 kalau harganya lebih affordable, dan mesin debit cardnya ga error mulu hehe 3x nyoba failed terus 😭😭",4
,,3 tahun lalu,Nita Purba,Local Guide,51 ulasan,"Kafe recommended buat kongkow, makan, meeting atau apapun..
Bisa reservasi tempat, pilihan menu banyak..
Harga mulai 10-85rb. Yang jaga ramah
Makanan dan minuman punya rasa yang enak khas. Tersedia wifi juga jadi kalo mau kongkow sambil nugas bisa banget disini

Tempat parkir yang lumayan untuk kendaraan roda dua atau roda lebih dari dua juga ada banget.

Kafe ini termasuk kafe yang mendukung go green karena tidak menyediakan sedotan plastik tapi menggunakan sedotan stainless.. recommended banget buat yang mau kumpul kumpil bareng gengges atau apapun deh pokoknya.",5
,,setahun lalu,Putri Tampani,-,36 ulasan,"Walau tempatnya tidak luas tapi nyaman lah, pas buka puasa pas ada bundle menu makan+minum yg murah. Ada mushola utk sholat, makanan jg enak.",5
,,setahun lalu,Esti Purwani,Local Guide,51 ulasan,Gak sengaja melipir kesini karena kelaparan mau nyari tempat makan yang nemu aja digoogle map. Tempatnya emang nyaman buat yg mau belajar ngerjain tugas dll. Tapi berhubung kita kesini niatnya mau makan ya agak gak nyaman tempatnya. Karena kebagian duduk disofa. Overall makanannya lumayan enak. Cuman saus barbequeny rasanya aneh banget di menu crispy chicken steaknya. Tolonglah direview lagi itu sausnya. Potato wedgesnya enak bangettt.,3
,,3 tahun lalu,ineke amandha,Local Guide,105 ulasan,"Lokasinya nyaman banget buat ngerjain tugas atau ngobrol sama teman-teman. Menu drink and snack oke. Kalau makanan memang di atas rata-rata harganya, tapi enak. Misal mau makan ringan aja udah masuk sih. Menu jus dan snack enak.  Ambience di dalam ruangan juga nyaman. Ada smoking and non smoking room.",4
,,3 tahun lalu,Sulfa Fariana (Its Fafa Here),Local Guide,231 ulasan,"Tempatnya nyaman adem, wifi cepet,  menu2nya acceptable semua, sering disini dari pagi sampai sore buat kerja atau meeting",5
,,5 tahun lalu,Dozan Alfian,Local Guide,286 ulasan,"Ruang Tengah cafe terletak di daerah Patehan yang hanya sepelemparan batu dari alun-alun selatan Yogyakarta. Jadi kalau kamu adalah turis yang kebetulan sudah lelah berkeliling alun-alun dan ingin ngopi cantik atau makan kudapan ala barat macam spagethi dan sejenisnya bisa mampir kemari. Ada juga kok makanan lokalnya. Jadi ga perlu khawatir. Tempatnya juga cozy, cuma memang kurang luas jadi kalau pas penuh ya sudah apa mau dikata kan?",4
,,3 tahun lalu,Diah Gilarsi,Local Guide,43 ulasan,"Tempat nyaman, suasana tenang, menunya enak2 dan harga cukup terjangkau dibandingkan cafe yg lain.",5
,,4 tahun lalu,lutfi nurudin,Local Guide,107 ulasan,Tempatnya bagus tatanannya rapi dan elegan. Banyak varian makanan dan minuman. mas2nya ramah. Lumayan mahal harganya. Ada tempat buat lesehan juga. Dan ada kamar mandi juga wc. Bersih. Ada smoking area juga. Tapi kursi yg di ruangan tengah kurang nyaman. Overall bagus sih. Recommended caffe for nongki,5
,,2 tahun lalu,Itsna Amaliatun,Local Guide,566 ulasan,"Ni tempat asli recommended banget walaupun parkirnya menyedihkan, palagi kalo bawa mobil
Varian menunya lengkap.. tinggal scan barcode. Snack ada, makanan berat juga ada
Bayarnya bisa tunai, Gopay, ShopeePay (kurang tau kl debit)
Baristanya ramah binggoo

Such a cozy study-cafe! Karena suasananya tenaaang, ada alunan suara musik2 klasik gituuuu
Colokan juga Gausah khawatir.. Mayan banyak lahh disetiap sudutnyaa",4
,,4 tahun lalu,Wijang Candi Kirana,Local Guide,82 ulasan,Tempatnya nyaman. Meskipun pinggir jalan namun jalannya relatif tidak ramai sehingga membuat suasana lebih tenang. Lokasi strategis dengan tempat wisata. Cocok untuk ngobrol dan nongkrong selepas berwisata.,5
,,3 tahun lalu,Sara Nurmala,Local Guide,144 ulasan,Tempat yang sangat nyaman untuk kumpul bersama teman sambil ngopi dan nyemil di daerah alun-alun kidul yogyakarta. Cafe ini buka sampai jam 23.45. Harga yang ditawarkan juga sangat terjangkau dengan kualitas kopi yang disuguhkan.,4
