PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Reborn Hangout Bar,,,,,,,
,https://www.google.com/maps/search/Reborn Hangout Bar jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Onime fathonioni adhi,Local Guide,252 ulasan,Tempat nongkrong hangout and dugem. Ada wedang galak Dan live music. Harga sesuai yang lain.,3
,,2 tahun lalu,Ardi Be,-,11 ulasan,Kurang nyamman tempat sempit,3
,,4 tahun lalu,Eko Purwanto,Local Guide,4 ulasan,Baru sekali disini,4
,,4 tahun lalu,Ryan Docomo,Local Guide,57 ulasan,Lumayan untuk enjoy,4
,,2 tahun lalu,Felix Arlena,-,48 ulasan,Mantap,5
,,3 tahun lalu,Jumbo Jumarni,-,11 ulasan,Luar biaasa,5
,,4 tahun lalu,sinden alas,-,7 ulasan,Tempat yang bagus untuk privasi .. hangout,5
,,4 tahun lalu,Okki Soekarno,Local Guide,235 ulasan,"Tempat yang bagus untuk hang out, musik yang diperbarui, getaran dan suasana yang bagus",4
,,3 tahun lalu,Agung Wibowo,Local Guide,89 ulasan,itu keren datang dan lihat saja..,5
,,3 tahun lalu,ALIF PRABOWO,-,1 ulasan,Bagus,5
,,3 tahun lalu,Rafiq bacardi,Local Guide,31 ulasan,Kumbang sana-sini,5
,,3 tahun lalu,Taufik Kurniawan,,,,5
,,4 tahun lalu,Alena Margaretha,,,,5
,,3 tahun lalu,AbiiFatah,,,,5
,,4 tahun lalu,JAVA Channel JaNgkrikan,,,,5
,,3 tahun lalu,Muhammad Khoiruddin,,,,4
,,3 tahun lalu,Febe Relina,,,,3
,,2 tahun lalu,juwita adelia,,,,5
,,3 tahun lalu,Arinda Wae,,,,4
,,3 tahun lalu,Abah Andromax,,,,3
,,4 tahun lalu,Kansa Zakia,,,,5
,,4 tahun lalu,bambang irawan,,,,3
,,4 tahun lalu,Valen,,,,5
,,4 tahun lalu,Valen,,,,5
,,4 tahun lalu,Valen,,,,5
