PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Rinten Dalu Coffee  Resto,,,,,,,
,https://www.google.com/maps/search/Rinten Dalu Coffee  Resto jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,diah kartika,Local Guide,18 ulasan,"Kesini waktu bulan puasa kemarin karna buat buka bersama.
Waktu reservasi adminnya fast respon dan ramah.
Untuk lokasinya dari jalan raya emang harus masuk sekitar 200 m, sempet kaget juga kok pas belok jalannya kaya mau masuk masjid😂
Tempatnya bisa milih yg gazebo atau engga. Yang paling lucu disini ada pohon alpukatnya yg buahnya gede bgt.
Sampe lokasi harus nunggu makanannya agak lama, yg aku heran kok yg dateng makanannya dulu drpd minumnya, padahal udah mepet adzan maghrib. Agak kecewa waktu pesen menu tambahan tapi sampe 1,5 jam ga dateng, dan ternyata mbak nya lupa😭 maklum sih soalnya waktu itu ruamee poll
Rasa makanan menurutku biasa aja, bukan nggak enak sih. Tapi ya standar lah.
Buat minumnya jangan pelit es batu dong☺️
Ada cafenya juga tapi belum nyoba. Next time kali ya",4
,,sebulan lalu,Ikhwatun Nuzulah,-,74 ulasan,"Pas kesana di H+4 lebaran, lumayan rame sih karena yg datang kebanyakan rombongan keluarga & ada yg sambil karaokean. Nah, karena momment inilah, ketika kami pesan makanan jadi super lama datangnya. Harusnya reservasi dulu kali ya. Sehinggalah anak-anak jadi cranky karena kelaparan 😁 setelah makanan datang kok bisa yg dihidangkan nasi&lauknya sudah dingin 🙄 ya positif thinking ajja lah ya. Mungkin karena rame.
Overall ok punya.
1. Walaupun sudah dingin, rasa masakan endul
2. Suasana ramah anak, sejuk, bersih
3. Parkir luas
4. Pelayanan ramah & komunikatif kakak""nya
5. Ada musholla
6. Untuk harga dijamin sesuai dg rasa & suasana

Salam sukses selalu dari team wijayakusuma parfum depan polres Wonosari",4
,,setahun lalu,Angelina Distya Karisa,Local Guide,52 ulasan,"Agak heran kok jalannya masuk ke gang kecil, pas sampai ke lokasi, tempatnya lumayan luas... Bahkan di dalam ada gazebo2 dan mushola juga... Makanannya enak dan fresh... Recomended untuk makan bersama keluarga 👨👦👧👩👴👵 …",4
,,11 bulan lalu,FIN,Local Guide,44 ulasan,"Suasananya syahdu sekali kalo malam. Nyaman buat nongkrong ngobrol² bareng temen/keluarga. Kesini hari selasa jadi gak begitu rame, tamu ada beberapa pulang pergi, makin malam makin rame. Gak tau kalo weekend mungkin lebih rame. Macam makanan banyak, ada makan berat sama cemilan minuman juga macem². Worth to try lah ✨",5
,,5 bulan lalu,Nevyana Mila M. Mukau,Local Guide,51 ulasan,"Baru tahu ada resto ini. First time aku kesana tempatnya keren, kekinian bgt. Pasnya buat acara keluarga atau pertemuan. Fasilitasnya bagus. Sejuk deh  karna banyak tanaman disana. Tempatnya klasik, aku suka. Jika kalian ke gunung kidul mampir ya ke rinten dalu coffe and resto. Selamat berliburrr 🤗☺️",5
,,setahun lalu,Kartika Rina,Local Guide,106 ulasan,"Tempat oke, nyaman, bersih. Makanan harga terjangkau, rasanya lumayan oke. Cocok untuk kumpul bersama keluarga. Tersedia tempat buat pertemuan juga, bisa karaoke.
Tempatnya bisa lesehan juga",5
