PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
RotiO Coffee,,,,,,,
,https://www.google.com/maps/place/Roti%27O/data=!4m7!3m6!1s0x2e7a59a0102a02df:0x7bfc329f12f189be!8m2!3d-7.7638884!4d110.3791988!16s%2Fg%2F11f9y5vm_t!19sChIJ3wIqEKBZei4RvonxEp8y_Hs?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,langit ramadhan,Local Guide,334 ulasan,"Kemari karena cari coffee bun, khas banget dari baunya, misal lagi jalan di bandara/stasiun, dari jauh udah terdekteksi ada outlet ini. Mau kopi dan pastry juga tersedia, bisa dine in atau take away. Harga dan rasa sebanding, terjangkau dan rasanya enak. Iseng nyoba kopi gula aren, presisi, espressonya masih pekat terasa dan tidak manis berlebihan",5
,,4 bulan lalu,ulfatul fikriyah,Local Guide,94 ulasan,"Rasa ngga pernah berubah, selalu enak. Dimakan bareng kopi atau teh panas cocok sekali ini. Harga masih terjangkau.
Di sini bisa ngemil sekaligus bisa nongki2 cantik menikati suasana jalan raya yang ramai.",5
,,9 bulan lalu,Ester Ana,Local Guide,188 ulasan,"Rotinya enakkk, selalu beli Pas lewat daerah sini, kopinya jugaa enakkk, Beli yg paketan kopdar 1 cuma 25k udh dapet roti ama kopi, buat cemilan sore enakk sih ini,",5
,,6 bulan lalu,Tiara Sukma,-,69 ulasan,"Daridulu rasanya nggak pernah berubah, mau rotinya atau isiannya tetep enak. Meskipun udah banyak variasi rasanya, tetep paling suka yang butter.",5
,,2 tahun lalu,Taufik A. Yudanto,Local Guide,862 ulasan,"Selalu beli Kopi'O Brown Sugar, pahitnya kopi kena, rasanya gula jawa juga mantep. Pelayanan ramah, menu komplit, kadang Roti'O sering habis kalau pas lagi banyak promosi. Tempat duduk asik, udah di sesuaikan dengan protokol pencegahan covid-19, termasuk menyediakan fasilitas cuci tangan di depan outlet. Sayangnya, parkiran terbatas.",4
,,sebulan lalu,Abiyazka Abhinaya,Local Guide,247 ulasan,"Lumayan banget roti O ini ada di pinggir jalan jakal, rasa tetap sama, nikmat dan anak2 suka💕🙏 …",4
,,3 tahun lalu,Ceklok ceklok,Local Guide,272 ulasan,Mau nyobain ceklok2 makan roti 0 di jalan kaliurang,5
,,4 tahun lalu,Arnindhita Lei,Local Guide,510 ulasan,"Akhirnya ada Roti'O yang nggak di bandara atau stasiun hehehe.
Tempatnya nyaman, ada colokan dan colokannya tuh agak di atas gitu, samping kursi, jadi nyaman bange buat nge-charge.",5
,,3 tahun lalu,Truly Nugraheni,Local Guide,412 ulasan,"Cocok buat yg nyari roti o tanpa perlu ke bandara apa stasiun 😁 . Pas mo nyobain beli, ekpektasinya dapet yg empuk anget kayak yg dibeli di stasiun.
sayangnya pas aku beli disini minta yg anget dapet nya roti yg semacam kurang fresh from the oven gitu la 😂 Anget sih, tp roti nya kurang fresh, ato sedikit alot✌️ . semoga kedepannya bs diperbaiki. Karna roti o tu sebenernya enak banget klo masi baru masi anget masi empuk 😆

Disini pagi uda buka, jd bs buat sarapan",3
,,2 tahun lalu,Aulia Ruandini,Local Guide,80 ulasan,Aromanyaaaa menggodaaa... Rasanyaaa bikin pengen beli teruss,5
,,2 tahun lalu,Choliq NF,Local Guide,300 ulasan,Rotinya cukup enak.,4
,,2 tahun lalu,Existensa Pratiwi,Local Guide,433 ulasan,"Roti O selalu enak, di sini pun enak. Lokasi strategis di pinggir jalan, jadi gampang ditemukan. Harga roti 12rb. Selain roti, ada juga menu pastry dan kopi. Pelayanan lumayan ramah.",5
