PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Rumah Makan Padang Prambanan,,,,,,,
,https://www.google.com/maps/place/RM.+Minang+Saiyo+Masakan+Padang/data=!4m7!3m6!1s0x2e7a5aee57e02033:0x4bb9ea9b3820d969!8m2!3d-7.7622079!4d110.4887115!16s%2Fg%2F11c594z77j!19sChIJMyDgV-5aei4RadkgOJvquUs?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Umar Hasan Alfarouq,Local Guide,236 ulasan,"Masakan padangnya lumayan enak, variasi lauknya juga banyak, ada ayam, lele, kembung, tongkol, ati ampela, telur, terong, gorengan. Ada yg dibakar, goreng krispi, dan di rendang.
Harga cukup murah. Nasi tongkol + jeruk hangat hanya 15.000 saja.
Area parkir cukup luas.",5
,,4 bulan lalu,Puji Wati,Local Guide,23 ulasan,"Waktu saya makan pake sayur lodeh rasanya asem banget, gk tau knapa. Apa emang sayurnya gitu rasanya. Terus es teh saya gk dikasih gula. Pantesan saya aduk gk ada manis""nya. Minuman Punya suamiku gk diaduk udah manis. Brati kan punya ku gk dikasih gula",3
,,2 tahun lalu,Nurhana Tri Utami,Local Guide,920 ulasan,"Akhirnya nemu warung padang yang emang padang beneran. Hahaha
Kuah nya enak.
Lauknya komplet.
Ada kerupuk.
Pelayanan cepat.
Selalu ramai dine in dan take away.
Harga standar.
Karyawan menggunakan masker.
Ada wastafel.
Bisa parkir mobil.",5
,,sebulan lalu,Mboy,-,2 ulasan,"Beli nasi ati ga mateng masi ada darahnya, ga ada tanggung jawab sama sekali",1
,,3 bulan lalu,niken septihandini,Local Guide,112 ulasan,MURAH BANGET MAKAN BER 12 UDAH SAMA MINUM CM 170K. RASA SO-SO.. PELAYANAN RAMAH.,5
,,10 bulan lalu,Antika Deewi,-,7 ulasan,"Baru aja kesini pelayanannya ramaah,sering kesini tapi baru kali ini pas bayar kasirnya malah main hp saya berdiri di depan meja kasir masih main hp sekitar 5 menit baru sadar kalo ada orang mau bayar, bapak2 yang sering pake baju kotak2 kata tukang parkirnya itu yang punya, yang punya tapi malah lebih bagus karyawan nya pelayanan nya, buat saran aja jangan di biasakan main hp walaupun anda yang punya rumah makan, kalo main hp jangan pas kerja pak",1
,,5 bulan lalu,Deden Purnama,Local Guide,122 ulasan,"Enak,bersih,harga standar RM Pdang...",5
,,setahun lalu,Abdul Mukti,-,2 ulasan,Tempatnya stategis.. parkir kendarakan nyaman.. dekat destinasi wisata candi prambanan..candi boko..tebing breksi.. spot riyadi..cocok banget untuk tempat istirahat para goweser mania..cocok untuk acara keluarga sehabis piknik tipis 2.. masakannya enak banget harganya murah cocok untuk alternatif tanggal tua 😀😀,5
,,11 bulan lalu,Muhammad Kuntoro,Local Guide,573 ulasan,Sederhana tapi kok wenak ya.,4
,,7 bulan lalu,nazief fahmie,Local Guide,292 ulasan,"Warung padang dg menu cukup lengkap, harga bersahabat",5
,,7 bulan lalu,Isa Almutia,Local Guide,157 ulasan,"pas tutup, cuma duduk makan diemperan RM pas malem karna beli angkringan😅",5
,,setahun lalu,Lina Anggraeni Sandjoyo,-,3 ulasan,"Tempatnya nyaman, pelayanan cepat & ramah, cocok utk makan malam bersama keluarga atau sahabat",4
,,setahun lalu,Antok_ SN-Soepomo,Local Guide,52 ulasan,"Lokasi yg strategis, utk isi perut dan sejenak istirahat yg lg perjalanan antar kota",5
,,3 tahun lalu,Om doel #923,Local Guide,48 ulasan,"Saya singgah di sini.saat tugas luar..makan siang disini..Masakannya enak.. Tempatnya bersih, penyajiannya  . Cepat.. Dan harganya cukup murah... Recomended banget dah..",5
,,3 bulan lalu,indah nynda,Local Guide,29 ulasan,Selain enak pelayanan ya oke,5
,,3 bulan lalu,Iwan Kurniawan,Local Guide,114 ulasan,Lumayan ...,5
,,setahun lalu,Soegeng Wijadi,Local Guide,914 ulasan,"Lumayan, masakan padang nya otentik dan terasa sekali....",4
,,setahun lalu,Elmira Photoarts,Local Guide,16 ulasan,"Makanannya enaq, harga pass ga nguras kantong tempatnya nyaman",5
,,setahun lalu,Andika Pratama,-,3 ulasan,Masakannya sangat mantap pas harganya pas rasanya,5
,,setahun lalu,Maspriline,Local Guide,94 ulasan,"Tempat bersih, nikmati makan bisa sangat nyaman di sini",5
,,setahun lalu,Setyo Nusantoro,Local Guide,208 ulasan,"Rasa lumayan, dan harga masih terjangkau",4
,,6 bulan lalu,Sumardiyono Yono,Local Guide,16 ulasan,belom pernah mencoba,1
,,4 bulan lalu,Dedik Supriyanto,Local Guide,329 ulasan,Enak,5
,,3 tahun lalu,Wahyu Tarsisius,Local Guide,49 ulasan,Harga yg tidak terlalu mahal dan rasanya pun menggugah selera.,3
,,10 bulan lalu,Marlon Kalangi,-,100 ulasan,Enak dan sesuai harga,5
