PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
SENJA coffee  eatery Jakal,,,,,,,
,https://www.google.com/maps/search/SENJA coffee  eatery Jakal jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 bulan lalu,Ditya Ramadhanti,Local Guide,121 ulasan,"Lokasi strategis. Tempat parkir luas buat motor maupun mobil. Tempatnya di lantai 2.
Datang jam 9an masih sepi banget tp sudah ready. Makin sore makin rame.

Menu minuman beragam dan ada makanannya juga. Harga standar menengah ke atas. Servisnya oke kakak-kakaknya ramah.

Kursi dan meja banyak. Ada yg komunalnya juga. Colokan lumayan banyak ada di lantai dan dibawah kursi yg panjang gitu. Vibe nya menurut aku enak buat nongkrong ya kalo buat belajar atau nugas kurang semangat aja gitu, entah karena pencahayaan atau apa ya. Toilet bersih di deket counter kasir itu jadi satu pintu cuma dipisah cowo cewe nya. Mushola ada di bawah bagian belakang bersih juga.

Rasa senja caramel latte nya manis banget si lupa pesen yg less sugar, cuma lebih berasa banget susunya dibanding kopinya 😗✌🏻
wifinya lumayan kenceng.",4
,,8 bulan lalu,Nurmala K,Local Guide,177 ulasan,"Minuman dan makanannya enak-enak dan beragam banget meskipun ngga bisa minum kopi. Sayangnya, minumannya pake cup plastik ngga bisa minta pake gelas walaupun dine in. Dateng jam 10an dan masih sepi, mulai rame sekitar jam 12. Prefer dateng pagi biar dapet tempat. Jarak antar meja juga agak jauhan jadi lebih nyaman.

Wifinya kenceng dan ngga ribet karna tanpa password, colokan ada di tiap meja, meja dan kursinya juga nyaman. Toiletnya bersiiih, wangi, dan estetik juga. Dibedain toilet pria dan wanita walau pintu masuknya sama. Musholanya ada di bawah. Dan untuk parkir motornya ada atepnya! Penting sih ini biar motor ngga kehujanan dan kepanasan.

So far tempatnya nyaman untuk kerja, walaupun lagi rame-ramenya. Harga standar cafe pada umumnya. Tempatnya juga estetik. Lupa foto makanan dan minumannyaa",5
,,9 bulan lalu,Laetitia Karenina,Local Guide,143 ulasan,"Awal masuk rasanya nyaman banget nih cafe, terus tanya ke bar karena tau ada aplikasi khusus dipandu buat top up dan juga redeem voucher free signature coffeenya.. Pelayanannya cepet, mungkin karena aku datengnya nggak di pas jam rame.. Aku duduk di lantai 3 dimana ada space outdoor dan indoornya, bagusnya lagi banyak ada stop kontak disana.. Rasa kopinya juga lumayan enak.. Kenapa bintang 3, ya karena baru kali ini ke cafe, tapi merasa terintimidasi dengan tatapan orang lain. Semoga pelayanannya lebih baik, dan lebih bisa menempatkan situasi dan posisi customer..",3
,,2 bulan lalu,dwi suci hartini,Local Guide,157 ulasan,"Tempatnya bagus terdiri dari 3 lantai, Indoor dan outdoor. Tersedia tempat sholat letaknya di dekat parkiran, lantai bawah. Bagi pengunjung yang pertama datang ke sini, agar lebih nyaman memilih menu sebaiknya meminta buku menu atau scan barcode menu sehingga bisa memilih minuman dan makanan sambil duduk santai. Sebenernya pelayan akan menawarkan untuk download aplikasi senja coffee sehingga bisa memilih dan memesan mamin lewat aplikasi terapi saya pribadi lebih prefer melihat menu langsung. Untuk rasa kembali ke selera ya. Catatan untuk croffle (pada waktu itu memesan butter dan caramel) saus nya langsung dituang diatas croffel sehingga rasanya menjadi dominan manis saus dan crofflenya kurang menggigit. Bagi Anda yang ingin memesan croffel, sy sarankan untuk minta saus (butter atau caramel) dipisah. Untuk harga bisa dibilang sedikit lebih mahal.",3
,,6 bulan lalu,Praend Adidarma,Local Guide,48 ulasan,"baru pertama kali kesini dan langsung ngerasa nyaman sama deretan kursi ijo sisi timur, enak buat duduk, haha. untuk rasa kopi yaa boleh lah, wifi mantap, desain kafe minimalis dan parkiran motor relatif teduh. sukses seterusnya.",5
,,setahun lalu,Ami Nizami,Local Guide,43 ulasan,"Nyaman untuk mengerjakan tugas dan referensi untuk berkumpul reuni. Soalnya dateng kesini ndilalah ngepasi bukbernya orang2 yang astaga tiktokan tok rauwis uwis. Nah tuh saking nyamannya kali ya.

Menu dan makanan bervariasi dengan harga standar. Pelayanan ramah, parkir mobil kurang begitu luas. Nice ambience 👍🏻",5
,,setahun lalu,Ilham Dieb,Local Guide,194 ulasan,"Tempatnya bagus, luas, dan nyaman. Ada opsi indoor dan semi-outdoor. Menu yang dijual banyak banget, ada berbagai varian menu coffee dan non-coffee, cookie, pastry, snack, dan makanan berat. Dari menu coffee yang saya coba, rasanya oke. Kopinya mild, cukup creamy, dan manisnya pas. Untuk harga, hmm, ini masih worth it apabila kita tidak beli untuk take away. Saya sarankan kalau mau coba mending sekalian bawa laptop dan kerjain tugas di sini, that'd be a great deal!",5
,,11 bulan lalu,Siti Nurjannah,-,6 ulasan,"Rice bowl beef nya surprisingly enak bangeeet. Tapi, kopinya biasa aja. Kirain karena ini cafe, jadi justru kopinya yg enak dan makanannya yg biasa aja. Ternyata malah makanannya enak bangeett. Beli cireng jg, dan isi 1 porsinya banyaakk. Worth it lah harga makanannya",4
,,4 bulan lalu,Leila Yumiko,-,21 ulasan,"will come back sih. harga menunya menengah keatas, tpi rasanya sebanding. lt.2 vibesnya orang² nugas, belajar, ngobrol (outdoor indoor). kadang fokusnya kedistract barista yg lagi manggil cust ""atas nama kak blablabla"" eheh. tapi baristanya ramahh. bapak parkirnya jg ramah dan helpful wkwk.  lt.3 bisa nugas juga atau sekedar nongkrong atau chill aja.",5
