PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Sate Kambing Muda Ki Doel Prambanan,,,,,,,
,https://www.google.com/maps/search/Sate Kambing Muda Ki Doel Prambanan jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 bulan lalu,Aan Wijayanto,Local Guide,305 ulasan,"Pelayanan baik, rasa enak, harga normal tertera di daftar menu , nasi ambil sendiri prasmanan. Rasa tongseng enak, sate kambing enak, tengkleng kambing enak, sate ayam enak, minumnya ada jeruk nipis panas",5
,,3 bulan lalu,Widya Sesarika,Local Guide,19 ulasan,"Puas makan di sini, pilihan menu masaknya banyak dan semua yang saya coba enak tidak prengus. Bumbunya medok, porsinya juga kenyang. Nasi bebas ambil sepuasnya.

Lokasi strategis ada di depan komplek Candi Prambanan, tempat bersih & rapi. Mbak-mbak yang melayani juga ramah.

Hanya waktu tunggu makanan sedikit agak lama karena dimasak satu per satu, tapi worth the wait.",5
,,sebulan lalu,Berlian S.,Local Guide,236 ulasan,"Rasanya lumayan, sayang banget ordernya salah pas kesana. Saya pesan sate ayam, diantar sate kambing, dan akhirnya membayar yang sate kambing.",4
,,4 bulan lalu,Citra Kusumawati,Local Guide,19 ulasan,Untuk penyajiannya cukup lama kalau datangnya rombongan dan suara musiknya mantap besarnya wkwkwk. Tapi makanannya enakkkkk!,4
,,5 bulan lalu,Andrian Refianto,Local Guide,42 ulasan,"Terletak di seberang jalan solo-jogja. Depan komplek candi prambaman.

Rasanya enak, nasi ambil sendiri, akan tetapi waktu menunggu makanan agak lama.",5
,,4 bulan lalu,Suci Romadhoni,Local Guide,30 ulasan,"Enak dan empuk dagingnya.. walau panas terik diluar, ttp dingin kipas angin didalam.",5
,,2 bulan lalu,Dewi Kartika Dharmayanty,-,4 ulasan,"Rasa makanan enak, dagingnya lembut, bumbunya pas, nasi ambil sepuasnya yg penting bilang berapa piring. Minuman juga tidak kalah enaknya terutama jahe sere jeruk nipis gula batu. Endezz banget. Pelayanan ramah, tempat strategis dan parkir sangat memadai",5
,,2 bulan lalu,Camella Ayunda,-,2 ulasan,"Kasir kurang teliti dan kurang service. Saat itu hanya saya dan keluarga yg makan. Sudah pembayaran tanpa konfirm pesenan bla bla ..  langsung diinfo total...oke.. bill aku cek di mobil, ternyata ada 1 porsi yg tidak saya pesan tapi sudah terbayarkan.. ya aku konfirmasi, akhirnya kasir juga konfirmasi ke karyawan lain, dan beneran itu buka  pesenanku...yg bikin kecewa kasirnya dah tau salah malah pasang muka cemberut dan tanpa minta maaf gitu.",2
,,8 bulan lalu,angela s,Local Guide,277 ulasan,"sate seporsi ga cukup kaa, kudu nambaah.
kuah tongsengnya sedaapp, tapi kudu rikues kalo mau isi daging semua.
pilihan wedangnya terbaik, kalo boleh jahenya ditambah, biar makin maknyusss.
well done kaka!",5
,,9 bulan lalu,Dina Resmasari,-,3 ulasan,"Tempat super nyaman untuk nyate , masakannya the best semua ❤",5
,,9 bulan lalu,Retno Pratiwi,-,1 ulasan,"Recomended👍🏻
Enak semua. Tempatnya bersih, parkir gampang🙂👍👍👍
Asem gula batunya asik. …",5
,,9 bulan lalu,Ham wae,-,4 ulasan,"Yang mau makan sate , tongseng, gule , tengkleng cocok ya disini, dijamin nikmat. Tempatnya nyaman + viewnya langsung ke Prambanan, mantap pokoknya.",5
,,3 bulan lalu,Deka07 _,Local Guide,40 ulasan,"Suasana oke, tempat bersih, bisa ambil nasi sendiri, ada kamar mandi dan tempat cuci tangan, rasa satenya enak👍🏻",5
,,2 bulan lalu,Ayu Soraya,Local Guide,13 ulasan,"Enak dekat dengan jalan raya jadi lebih mudah untuk dijangkau, harga standar lah yaa
tutup jam 21 : 00 malam",4
,,seminggu lalu,Agung Puja Kesuma,Local Guide,54 ulasan,"Saya jajannya di i jowo pak Surawan tapi ke tag sate kamud.😅
perlu dicoba. …",5
,,7 bulan lalu,widya indriani,-,5 ulasan,"Semuaaa menu enak. Sate kambing, sate ayam juaaaarak rasanya. Bumbunya pas.
Minumannya sereh jahe nipis gula batu syeedeep. Ga usah raguu buat nyobaaa yaaa. Tempatnya strategis, harga ramah dikantong.",5
,,5 bulan lalu,Piknikday,Local Guide,36 ulasan,"Satenya enak, saya bersama dengan tamu asing mereka suka bumbu kacang nya.
Jangan lupa piknik #piknikday",5
,,9 bulan lalu,Kotak Suratku Official,-,1 ulasan,"Jauh-jauh dari Banjarbaru - Kalsel makanannya enak banget. Sate kambingnya top markotop, dagingnya gede2, tongseng nya mantul, gule kambingnya dagingnya melimpah, nasi ambil semaunya, harganya ringaaaaannn dikantong. Pelayanan ramah2, tempatnya bersih dan rapi. Berkah usahanya 🤲🤲",5
,,5 bulan lalu,Maryadi,Local Guide,217 ulasan,"Blm bisa komen, krn tadi mau makan disana gak bisa, krn di borong sama rombongan 2 bus. Padahal jauh2 dari jkt tadi gue.. 😢 …",5
,,5 bulan lalu,lina herlina,-,2 ulasan,"Makanan endul banget, menunya komplit,tempatnya cozy.Wajib dicoba kl lagi di Jogja.",5
,,9 bulan lalu,Gilang Insyafi,-,8 ulasan,"Beruntung banget berkesempatan makan di tempat ini setelah launching warungnya. Berasa jadi golongan orang pertama yang menemukan hidden gem di area Prambanan! Sate enak, tonseng tengkleng apalagi. Wedang wedangannya juga seger! Akses gampang, dari Klaten tinggal mlipir ke kiri jalan. Dari jogja tinggal lewat belakang pasar Prambanan beres!",5
,,9 bulan lalu,Victor Pramusanto,Local Guide,22 ulasan,"Tidak expect apapun karena kemari mewujudkan keinginan mertua yang pengen sate kambing muda dan olahan kambing lain di daerah kalasan.
Karena searah jalan pulang, kami coba saja dan wah, tumben tempat kambing-kambingan sebersih ini, biasanya cenderung kemproh. Dari toilet, lantai, sampai sajian bersahabat dengan mata. Pertahankan kebersihannya.
Secara rasa, di luar dugaan rasanya sangat enak, favorit saya sate kambing mudanya, tidak amis dan taburan lada bikin sedep sekali, nomor dua tongsengnya, sedeeppp. Nasi bisa ambil sepuasnya, minum saya kebetulan es jeruk nipis, cocok menangkal aroma setelah makan kambing dan panasnya siang di area kalasan/prambanan.",5
,,10 bulan lalu,Nilla Nurayu Mareta,-,2 ulasan,"Recomended, satenya enak,tempatnya strategis dekat dengan candi prambanan 👍👍",5
,,3 minggu lalu,Sudar Minto,-,22 ulasan,Meja kurang membersihkannya. Lantai banyak kotoran dari bekas makanan,4
,,3 bulan lalu,asep sunarya,Local Guide,12 ulasan,Coco banget buat yg seneng sama masakan daging kambing...,5
