PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Say Story Prambanan,,,,,,,
,https://www.google.com/maps/search/Say Story Prambanan jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Rosiana Putri,Local Guide,52 ulasan,"Enak sekali signature choco grentea nya, tempatnya enak, bersih hanya saja meja setelah dipakai ada yg masih basah. Semoga pemilik menyediakan tisu disetiap meja.",4
,,3 tahun lalu,Pury Dewi,-,2 ulasan,Nyaman tempat nya dan recomend,5
,,3 tahun lalu,Rhmat N,Local Guide,77 ulasan,Parkiran nya kurang memadai,3
,,setahun lalu,Akhmad Munawar,Local Guide,111 ulasan,Rasanya enak cocok di mulut ane,5
,,2 tahun lalu,Basuki Suryanto,Local Guide,434 ulasan,Lumayan....for penyuka creamer🤣 …,5
,,setahun lalu,Akhmad Munawar,Local Guide,71 ulasan,Enak rasanya,5
,,2 tahun lalu,Iwan Servis,-,12 ulasan,Pokoke ok,5
,,3 tahun lalu,raden kuncoro,Local Guide,297 ulasan,Cukup,4
,,2 tahun lalu,Mas Prenagen,Local Guide,75 ulasan,Pelayanan cepat..,5
,,2 tahun lalu,Rb eka Didik P,-,21 ulasan,Mantap,5
,,2 tahun lalu,Joko Saputro,Local Guide,220 ulasan,Enak,5
,,2 tahun lalu,MANAN ABDUL,Local Guide,47 ulasan,Berbohong,4
,,setahun lalu,Dheva Nataliana,,,,4
,,2 tahun lalu,AGUNG DHANUARTA,,,,5
,,2 tahun lalu,defti ayuningsih,,,,5
,,2 tahun lalu,Adilah Motik,,,,5
,,2 tahun lalu,Deni Prayitno,,,,4
,,setahun lalu,Elsa Clara,,,,4
,,2 tahun lalu,ayu setya,,,,4
,,setahun lalu,Cici_ chaca,,,,5
,,2 tahun lalu,Hanifa 04,,,,5
,,setahun lalu,RIDHO PRATAMA,,,,5
,,2 tahun lalu,rini kristina,,,,5
,,setahun lalu,Bambang Tugino,,,,5
,,2 tahun lalu,Dri Rahmanto,,,,4
