PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Soulthan Coffee Kopi Luwak 52 kopi Nusantara,,,,,,,
,https://www.google.com/maps/search/Soulthan Coffee Kopi Luwak 52 kopi Nusantara jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 bulan lalu,Ibnu Mustaqim,Local Guide,135 ulasan,"Salah satu rekomendasi buat pecinta kopi manual brew, disini banyak varian kopi lokal yg langsung diolah sama ownernya khususnya biji kopi dari pulau jawa.
Baristanya ramah bisa request tipis-tipis kopi yg dimau, lokasinya strategis di area parkir bus, sambil nunggu asik banget sambil ngopi disini.
Skuyy mampirin #supportUMKM",5
,,3 bulan lalu,MNR Channel,-,9 ulasan,Tempat kopi di jogja yg lokasinya dangat strategis. Harga nya oke banget buat pelajar dan pendatang.. pelayan ramah dan cepat.. 👍,5
,,4 tahun lalu,Reddy Septiadi,Local Guide,142 ulasan,"Ga nyangka di kawasan parkiran ada tempat ngopi seenak ini, ngeroasting sendiri loh guys, banyak pilihannya..
Ngobrol sama pemilik kedai ttg kopi ketauan klo beliau ini coffee expert..
Salah satu alternatif pilihan buat cooffee addict / coffee travelers yg lg di Jogja...",5
,,setahun lalu,AV Komputer Service,Local Guide,40 ulasan,"Mendukung dengan cuaca hujan turun sambil ngopi, tempat nyaman dan penjualnya ramah.",4
,,4 tahun lalu,N. Mahardika Brilliandi,Local Guide,87 ulasan,Tempat ngopi yg nyaman dan enak di tengah kota Jogja. Pas untuk ngobrol bareng temen sambil menikmati kota istimewa dari sisi yang berbeda. 👍👍👍 …,5
,,9 bulan lalu,wahyu nugroho,-,2 ulasan,Rasa seduhan kopi yg istimewa dgn komposisi pas racikan sempurna...mantabjaya pokok e 👍👍 …,5
,,2 tahun lalu,adhit Jaya,Local Guide,60 ulasan,kopinya enak..gorengan nya panas dan tentunya murmer,5
,,7 bulan lalu,SerZhantz,Local Guide,45 ulasan,"Ketika anda susah cari tmpat ngopi yg buka 24 jam, datanglah kesini",5
,,4 tahun lalu,Coffee luwak Sultan jogja,-,1 ulasan,Mantap buka sampai pagi menu tidak mahal,5
,,2 tahun lalu,Ari Raharja,Local Guide,54 ulasan,"Pemiliknya ramai. . Punya konsep matang dalam menjalankan bisnisnya.
Coba aja ajak bincang bisnis.",5
,,4 tahun lalu,web design,Local Guide,7 ulasan,"Tempat disekitarnya banyak kios2 mkananan dll, jd gak bingung cari camilan atau cari toilet dsb..",4
,,10 bulan lalu,Andi Jogja,Local Guide,34 ulasan,Rasanya mantaps ....,5
,,4 tahun lalu,Bakhtiyar Rifai,Local Guide,45 ulasan,"manual brew, banyak pilihan kopi, pelayanan yang ramah, tempat yang mudah dijangkau... pilihan tempat minum kopi seputar malioboro.",5
,,3 tahun lalu,imam saputro,Local Guide,7 ulasan,Kopi nya sangat mantappppp....next time kesini lg,5
,,setahun lalu,Ari Agus,Local Guide,227 ulasan,Yuk ngopi,4
,,3 tahun lalu,Aguk Setiawan,Local Guide,59 ulasan,Mantab,4
,,11 bulan lalu,Yogi P. Putra,-,9 ulasan,Nyaman,5
,,4 tahun lalu,Sofwan sidik,Local Guide,88 ulasan,Banyak pilihan menunya,4
,,4 tahun lalu,Agus Sugiantoro,Local Guide,78 ulasan,Tempatnya nyaman..sip,4
,,3 tahun lalu,rizqi fajar,Local Guide,40 ulasan,asli enak ini,5
,,4 tahun lalu,ADAM F,Local Guide,79 ulasan,Bagus nyaman,5
,,5 tahun lalu,ngopisik!!! jogja,Local Guide,21 ulasan,Mantap,5
,,6 hari lalu,John Court,Local Guide,81 ulasan,"Best real coffee stand in Jogja. Good service. Good coffee menu. Can buy beans.

Update: still best coffee experience in Jogja ⭐️⭐️⭐️⭐️⭐️",5
,,4 tahun lalu,Víctor Jodar Plaza,-,2 ulasan,"Good quality coffee, with a lot of varieties from all the country (luwak coffee included) and at a very good price. You can either buy it or have a cup in there, the atmosphere is cool and the bartender is also!",5
,,3 tahun lalu,Alina ka,-,35 ulasan,"Kopi yang luar biasa nikmat, rasa karamel dan cokelat. Pastikan untuk mencoba biji kopi yang difermentasi. Anda jarang mendapatkan sesuatu yang baik. Harga sekitar 15.000 - 20.000!",5
