PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Spark Resto And Sports Bar,,,,,,,
,https://www.google.com/maps/search/Spark Resto And Sports Bar jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,10 bulan lalu,Ali Aulia Rahman,Local Guide,68 ulasan,"Bar dengan suasana yang cukup ""Bali"". Suasana santai dan chill langsung terasa begitu masuk ke dalamnya. Untuk harga bisa dibilang sangat murah. Namun untuk rasa makanan biasa saja. Tempat ini cocok untuk minum2 bir namun jangan berharap lebih untuk makanannya.",4
,,4 tahun lalu,Juviavia,Local Guide,41 ulasan,Sekarang buka lebih pagi.. dengan breakfast istimewa.. dan ada promo 50% off setiap hari minggu,5
,,4 tahun lalu,Surya Bimmo Seno,Local Guide,22 ulasan,"bar dengan konsep yang classic , suasananya tenang dan damai , tempatnya sangat strategis , recommended buat yang pengen ngebeer cantik ,dengan kerabat , teman ,pacar ,makanannya juga oke punya , pelayanannya baik , dilengkapi dengan wifi , tv ,ac ,toiletenya bersih dan nyaman , rasanya gak lengkap jika gak ngomongin harga makanan/minumannya ya , harga relatif standart mahasiswa ,sangat terjangkau dibanding bar-bar di sekitarnya ,mungkin ini yang membuat spark sangat rame , pokoknya recommended deh",5
,,4 bulan lalu,Nay _99,Local Guide,47 ulasan,"Pelayanan kurang mengenakan. Bad attitude, lama banget. Tidak stnby.",1
,,9 bulan lalu,melyne Extine,-,5 ulasan,Beeff schnitzel nya juicyyy banget… ini favorite banget klo ku mampir ke spark 🤩😍,5
,,3 tahun lalu,Erlangga Pramusita,Local Guide,149 ulasan,Sedia macam2 bir dengan harga wajar. Tempat nongkrong yg nyaman untuk expatriat/turis manca dan domestik.,5
,,setahun lalu,astri wulandari,-,4 ulasan,Tidak diberi alat makan padahal sudah menginfo pesan dari rumah sakit.,1
,,4 tahun lalu,BAMBANG AGUS PUTRANTO,-,461 ulasan,"Spark mulai buka pagi, dari jam 07.00 bersama Spark Yepmum Point",5
,,3 tahun lalu,Haryoso Riyadhi,Local Guide,84 ulasan,"Nice ambience, nice music choice...
A bit pricy untuk ukuran jogja.",4
,,2 tahun lalu,Febry Anto,Local Guide,93 ulasan,Tempat asyik dan nyaman,5
,,3 tahun lalu,ratu melati,-,23 ulasan,Interior nya bagus . Bir nya segar dan dingin sekali . Enak .,5
,,4 tahun lalu,Irsyad Sukmana,Local Guide,194 ulasan,Tempat nonbar piala dunia dengan harga terjangaku.,5
,,2 tahun lalu,Randi,Local Guide,9 ulasan,Tempat nongkrong asik buat anak muda,5
,,3 tahun lalu,Ega Manggala,Local Guide,319 ulasan,Tinggal pilih ayam yang kita kehendaki terus bayar,4
,,4 tahun lalu,Tissot,Local Guide,66 ulasan,"Band nya bagus,ramah, nyaman tempat ny...",5
,,4 tahun lalu,Presiden KaCho,Local Guide,102 ulasan,tempatnya asyiik ada life music juga banyak bulenya,1
,,4 tahun lalu,Dihan Nuryono,Local Guide,10 ulasan,Sudah buka pagi cocok untuk sarapan dan maksi,5
,,3 tahun lalu,이좋은날,Local Guide,7 ulasan,Nice place...orang bagus sekali.,5
,,setahun lalu,Bunga Awanglong,Local Guide,291 ulasan,Bagus,4
,,3 tahun lalu,"A,21,020,Steven Immanuel bintang sakti",Local Guide,26 ulasan,"Pelayanannya bagus,enak buat kumpul bareng",5
,,6 tahun lalu,Rifka Tjahyadi,Local Guide,40 ulasan,tempat fav.kami buat nongkrong,5
,,4 tahun lalu,sohir jo,Local Guide,66 ulasan,Bagus bngt tempata,5
,,2 tahun lalu,Muhamad Irsan Afif,Local Guide,16 ulasan,Tempatnya enak dan nyaman,5
,,2 tahun lalu,DHANI PAW,-,3 ulasan,cus keren nongki di mari,5
,,4 tahun lalu,indra subandono,Local Guide,34 ulasan,Taki-taki wkwk,5
