PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Stiff Return,,,,,,,
,https://www.google.com/maps/search/Stiff Return jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Dennisa Mahanani,Local Guide,175 ulasan,"Tempat nongkrong di wonosari. Ada lantai 2 juga, untuk makanan beratnya dikit jadi lebih banyak buat ngemil. Untuk variasi minuman aku rasa cukup lengkap, disini juga ada bbrp jenis permainan kaya uno jadi lengkap sudah acara nongkrongnya haha",3
,,4 tahun lalu,hilmawan nur ramadhan,-,3 ulasan,"Kopinya kurang mantap , gak sesuai request saya. Tapi ruangan lumayan lah",3
,,5 tahun lalu,Hertanto Krismunadi,Local Guide,41 ulasan,"Buat yang suka kopi single origin, disini punya banyak pilihan kopi dari berbagai daerah. Manual brewing dengan banyak pilihan bisa v60, frencpress, aeropress, bahkan cara tradisional yaitu tubruk juga ada. Selain kopi ada juga yg lain nya coklat, milkshake jd buat yg gak suka kopi juga bisa kesini. Ada juga cemilan buat nemenin minuman. So, dengan pilihan menu yang komplit gak perlu khawatir soal harga. Harga ramah di kantong untuk kopi 12.000an",5
,,2 tahun lalu,Mareta Danti,Local Guide,45 ulasan,Tempat yg nyaman banget cocok buat berlama2 ngobrol sama temen2. Yg harus dipesen sih kopinya. 👍 …,5
,,setahun lalu,Aditya Rewok,-,7 ulasan,"Recomended banget buat nongkrong, kopinya enak banget",5
,,3 tahun lalu,cahaya penaka bulan,Local Guide,26 ulasan,"Recomended.. penyelamat para suami yg nunggu istrinya di salon kris diawan.. kopinya oke, play list lagunya mantab..  masuk pak eko",5
,,2 tahun lalu,Eunike Zitta,-,3 ulasan,"buat nugas, buat ngopi syantik, buat ngopi nggak syantik bisa semuaaa, tempatnya cozy, merapat sudah.",5
,,4 tahun lalu,Dian Pandayin,Local Guide,331 ulasan,"Kopi enak, makanan enak, lokasi strategis, pelayanan memuaskan, harga terjangkau, wifi kuencenggg",5
,,5 tahun lalu,Nugroho Aji Susanto,Local Guide,20 ulasan,Salah satu kedai kopi yang ada di Wonosari. Tempat nyaman untuk santai dan kopinya enak.,5
,,3 tahun lalu,Bima Aldy,Local Guide,15 ulasan,"Berbagai varian kopi tersedia disini, lantai atas 24 jam",5
,,4 tahun lalu,Bima172 Kun,-,5 ulasan,"Asik buat nongkrong anak buda.. Abang""nya juga ramah..well lahh..",5
,,3 tahun lalu,Ndinndit Setyobudi,Local Guide,1.108 ulasan,Tempatnya santai banget.,5
,,setahun lalu,Masboy Masboy,-,7 ulasan,Tempat ngopi dikota Wonosari tenang dan nyaman,5
,,4 tahun lalu,Christian Susanto,Local Guide,47 ulasan,"Cuma lewat, tempatnya bagus banget, di gang tapi mobil2 banyak yang datang..",5
,,4 tahun lalu,Nodya Hartoko,Local Guide,501 ulasan,Suasana yang nyaman untuk ngobrol ditemani kopi nikmat,4
,,4 tahun lalu,Sawung Glagah,Local Guide,7 ulasan,Tempat nya asik kok buat menghabiskan waktu luang kalian,5
,,3 tahun lalu,DARNO GK,Local Guide,37 ulasan,Kelas wonosari lumayan nendang rasa dengan harganya yg tak begitu mahal,4
,,2 tahun lalu,Eko Hermawan,-,21 ulasan,"Lokasi terjangkau,tempatnya nyaman",5
,,4 tahun lalu,Hendra Rifki,-,2 ulasan,Tempatnya sangat bagus karena milik teman saya,5
,,3 tahun lalu,septiana tirawati,Local Guide,115 ulasan,Asik buat kongkow😀😀 kopinya juga enak …,5
,,4 tahun lalu,tria annie,Local Guide,15 ulasan,Nyaman buat nongkrong.. free wifi,5
,,3 tahun lalu,Nugroho Budisantoso,Local Guide,26 ulasan,Mayan lah . Harganya ya standar cafe,5
,,3 tahun lalu,Diah Pintalawati,-,7 ulasan,Mantap kopinya....pelayanan cepat.,5
,,3 tahun lalu,FSLNH,Local Guide,93 ulasan,"Tempat kurang luas ,tidak ada stop kontak",5
,,3 tahun lalu,TriAgozxxx oe,Local Guide,24 ulasan,Murah suasana jauh dr keramaian,4
