PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
The djamoee,,,,,,,
,https://www.google.com/maps/place/JOJE+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e7a570cc14f5809:0x2138bcb520f43962!8m2!3d-7.8167002!4d110.3862906!16s%2Fg%2F11b6gqg_2l!19sChIJCVhPwQxXei4RYjn0ILW8OCE?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Andy Explorer,-,412 ulasan,"Resto ala cafe, berlokasi ditengah kota denga tempat yang cukup luas, sehingga memberikan kesan santai.
Cocok buat tamu group juga, selain tempatnya luas, tempat parkirnya pun mendukung.
Saat ini ada luve musiknya juga bila makan malam di hari sabtu & minggu.",5
,,5 bulan lalu,Ovy Pratama,-,10 ulasan,"Cafe yang bafus, ada live musik nya... Sayang untuk makanannya kurang lauk (tidak di re-stok lauk yang kosong)",3
,,5 hari lalu,Akbar Ginanjar,-,3 ulasan,"Tgl 17 Mei 2023 kesini makan malam.
minum teh yg disediakan berasa minum air kobokan masih ada kotoran2nya. bila untuk rombongan pelajar saya kira kurang pas. karena ada live music dan bisa di sawer. mohon berbenah.",1
,,3 bulan lalu,Ariela Licious,Local Guide,66 ulasan,"Tempatnya luas,,ada live musicnya yg membuat tamu kami betah berlama2 disini",4
,,4 bulan lalu,Arif Nur Prasetyawan,Local Guide,29 ulasan,Cukup nyaman dan baik pelayanannya,4
,,4 bulan lalu,Fuad Muhammad Azzaky,Local Guide,35 ulasan,"Tempat luas, bersebelahan dengan super indo, ada live musik, makanan enak, mantap deh pokoknya, dan bisa buat sewa tempat acara lain.",5
,,4 bulan lalu,Sahabat Una,-,2 ulasan,"tempat nyaman, parkir luas..
tapi sayangnya tidak ramah anak dan tidak ramah mata..
mbak² nya pakaiannya kurang sopan. apalagi kita mendampingi anak² SD.

maaf bintang 1 dulu. semoga bisa di perbaiki",1
,,3 bulan lalu,HD PRIAWISATA,Local Guide,7 ulasan,Tempatnya Asyik Rumah Makan Ala Ala Cafe Full Dengan Musik dan Lokasi Lumayan Luas Bisa Menerima Rombongan Lebih Dari 300 Orang.,5
,,4 bulan lalu,mimi Chan,Local Guide,21 ulasan,Sebenernya masakannya enak cuma nasinya keras. Tempat musholla cuma kecil. Untung sebelum kesini udah sholat di tempat lain karena beneran sekecil itu.,3
,,4 bulan lalu,Krisna Yogareta,Local Guide,28 ulasan,Resto yg recommended utk grup mauoun keluarga,4
,,5 bulan lalu,toni inot,Local Guide,141 ulasan,Kebersihannya lebih di perhatikan hatur thank you,4
,,3 bulan lalu,Muhamad Akmal Gani,Local Guide,9 ulasan,"Pengalaman yang baik berada di JOJE & RESTO karena bisa berkumpul bersama teman-teman dan sahabat, tempat yang ramah bagi semua kalangan jika berada di sana terimakasih.",5
,,5 bulan lalu,Mas Waeng,Local Guide,86 ulasan,"Suasana makan malam ditemani musik dangdut dan penyanyi yang cantik
Rasa makanan yang enak
Pelayanan cepat dan ramah",5
,,2 bulan lalu,iTs DAVIEYZA,Local Guide,7 ulasan,"Selalu tidak nyaman ketika bawa rombongan makan disini, selalu padet dan kadang tidak diperrhatikan",2
,,3 bulan lalu,Warno,Local Guide,56 ulasan,Tempatnya luas,5
,,4 bulan lalu,Toharo Toharo,Local Guide,17 ulasan,"Tempat nyaman, luas, parkir aman, layanan baik, ada musik live yang menghibur",5
,,5 bulan lalu,Dedy Sucahyadi,-,18 ulasan,Tempat luas & mengihibur live musicnya,5
,,5 bulan lalu,Galih Fachrudin,Local Guide,252 ulasan,"Tempat luas
Makanan gaada rasanya
Makan nasi kaya makan beras
Uatose poll",2
,,3 bulan lalu,mamik andriyani,Local Guide,10 ulasan,"Masakannya kurang enak, nasinya ada krikilnya 🙈 tempatnya luas …",3
,,4 minggu lalu,mbahtur chanel,Local Guide,55 ulasan,Masakannya kutang enak... Tempatnya nyaman,3
,,4 bulan lalu,Anis 80,-,8 ulasan,Enakkk masakannya sama  suka waktu pas datang disambut sama nyanyian,5
,,5 bulan lalu,Syahdan Aura,-,4 ulasan,"Cafe'y luas, pelayanan'y ramah dan penyanyi'y cantik.",4
,,5 bulan lalu,Chandra_SKY Wisata,Local Guide,36 ulasan,Pengen berkunjung ke situ lagi buat makan malam😁 …,5
,,4 tahun lalu,Sheros Wae,Local Guide,30 ulasan,"Asyik buat buang penat dikepala,,,stiap hari ada hiburan dangdut",5
,,5 bulan lalu,Rinuza Chanel,Local Guide,166 ulasan,sangat menyenangkan,5
