PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
UC Resto,,,,,,,
,https://www.google.com/maps/search/UC Resto jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,sebulan lalu,Fika Ardita,Local Guide,64 ulasan,Menunya bervariasi dan rasanya enak. Porsinya buanyaak. Tempat bersih dengan pelayanan yang ramah. Lokasinya berada di dalam kampus UGM. Cocok juga digunakan untuk pertemuan.,5
,,7 bulan lalu,"Suadi, Mr.",Local Guide,303 ulasan,"Menu relatif banyak, tetapi favorit saya gado-gado uc plus jahe hangat. Sekali-kali boleh dicoba beef steak atau iga bakarnya, lumayan oke juga. Selain menu, tempatnya nyaman. Kriteria penting bagi saya untuk dapat bintang lima adalah parkir! Dan anda mendapat space memadai disini….",5
,,setahun lalu,Cindra,Local Guide,512 ulasan,"Restoran dalam zona kampus. Bersih rapi dan pelayanan menyenangkan. Menu beragam dengan rasa yang enak. Mengenyangkan dan memuaskan dahaga guys.
Resto ini tepat di samping hotel kampus.
Sebuah lokasi yang menyenangkan. I like it 😋💕 …",5
,,3 minggu lalu,YAN AJI,Local Guide,267 ulasan,"Tempat sahdu dilingkungan UGM dengan connecting hotel,resto dan cafetaria nya juga ballroom yang luas",5
,,3 tahun lalu,Aviga Juliandana,Local Guide,156 ulasan,"Makanan nya enak, tempatnya nyaman buat pertemuan",4
,,3 tahun lalu,Yung,Local Guide,233 ulasan,Pelayanan cepat dan ramah. Tempat nyaman dan parkir memadai. Akses mudah dan relatif dekat ke berbagai fasilitas umum lainnya.,5
,,sebulan lalu,Lia A. Anton Putri,Local Guide,69 ulasan,Berasa bgt atmosfer tpt belajar dan nongkrong yang kondusif dan nyaman..,5
,,setahun lalu,Lutfi Retno Wahyudyanti,Local Guide,444 ulasan,Restoran yang letaknya strategis. Ada di pusat kampus UGM.,4
,,10 bulan lalu,Agustina Purwantini,Local Guide,65 ulasan,Makanan dan minumannya cukup bervariasi.  Tempat luas dan cukup nyaman.,5
,,8 bulan lalu,tri rini nuringtyas,Local Guide,456 ulasan,"Beberapa hari lalu mengunjungi bersama teman. Lokasi di dalam kampus ugm, cukup nyaman dan yang lebih penting rasa disana lebih baik dr yang dulu. Jadi bintangnya naik dr tahun lalu yg hanya 4 bintang.. sukses terus",5
,,7 bulan lalu,Faisal Akhmad,Local Guide,35 ulasan,"Makanannya enak, cukup lengkap variasinya. Minuman jg, termasuk kopi 👍

Tempat luas, ada smoking room ruang dalam. …",5
,,10 bulan lalu,Wing Wahyu Winarno,Local Guide,491 ulasan,"Sebagai bagian dari Hotel UC UGM, resto ini menyediakan menu yang beraneka. Kalau Anda mengadakan pertemuan di sini, Anda juga dapat memesan makanan populer dari luar.",5
,,setahun lalu,Daniek Sulis,-,10 ulasan,"Tempatnya nyaman, strategis di pusat kota. Bagus n cocok utk event kecil maupun besar. Makanannya lmyn enak,  pelayanannya ramah. Okee",5
,,setahun lalu,Irsyad Muhammad,-,10 ulasan,Keren sih tempatnya cocok buat bukber juga. Dan yang penting harganya sangat bersahabat👍,5
,,3 minggu lalu,Djoko Madurianto Sunarto,Local Guide,487 ulasan,Menghadiri pernikahan teman.,5
,,3 tahun lalu,ARWI LABELS,Local Guide,371 ulasan,Tempatnya lumayan luas,4
,,11 bulan lalu,Harya Purba,Local Guide,209 ulasan,"Menu bervariasi, suasana nyaman",4
,,setahun lalu,Sekti Sekti,Local Guide,171 ulasan,"Bisa untuk makan, pertemuan, kelas, atau resepsi.",5
,,2 minggu lalu,M Aryo,-,71 ulasan,Nyaman,4
,,2 tahun lalu,supri yanto,Local Guide,192 ulasan,Tempat nyaman utuk pertemuan dan acara kantor.,4
,,5 bulan lalu,Arief M,Local Guide,206 ulasan,Kafe lingkungan kampus.,4
,,setahun lalu,karjiyo,Local Guide,50 ulasan,"Nyaman,",5
,,3 bulan lalu,Hestia,Local Guide,72 ulasan,Strategis,5
,,setahun lalu,Ary krisdiantoro,Local Guide,310 ulasan,Kopi hitamnya enak.,4
,,setahun lalu,Juha Udia,Local Guide,1.216 ulasan,"Masakan enak, pelayanan bagus",4
