PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Uncle Jo Coffee Tea Milk,,,,,,,
,https://www.google.com/maps/search/Uncle Jo Coffee Tea Milk jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Fanny,Local Guide,18 ulasan,"Kemarin beli susu durian dan susu pisang, dua-duanya enakkk! Tapi ga bikin enek atau kemanisan, enaknya pas. Harganya juga mahasiswa banget, berkisar 10-15rb (if i'm not mistaken).
Tempatnya cute dan mereka kayak nyediain beberapa buku gitu untuk dibaca",4
,,3 tahun lalu,Herdina Primasanti,Local Guide,164 ulasan,Sesekali beli susu alpukatnya karena enak,5
,,3 tahun lalu,niaalkhamim 261278,-,1 ulasan,Susu pisangny enakk,5
,,3 tahun lalu,Ridwan Ridwan,Local Guide,489 ulasan,Enak,5
,,3 tahun lalu,Zahirotuz Z,,,,4
,,3 tahun lalu,dhanang nugraha,,,,5
,,3 tahun lalu,Nafisa Fifa,,,,4
,,3 tahun lalu,Vanilla Quinn,,,,5
,,3 tahun lalu,awan setiawan,,,,4
,,3 tahun lalu,Rahmawati Fatimah,,,,5
,,3 tahun lalu,Deni Prastianto,,,,5
,,3 tahun lalu,Arifah Qhurota,,,,5
,,3 tahun lalu,Ajeng Dyah Kurniawati,,,,5
,,3 tahun lalu,Cosmas D Prasetya,,,,2
,,3 tahun lalu,Agung C. Perdana,,,,3
,,3 tahun lalu,Damay K,,,,5
,,3 tahun lalu,Nadya Olga,,,,5
,,3 tahun lalu,Wisnuaril Khoirul Lukman,,,,5
,,3 tahun lalu,Ara,,,,4
,,3 tahun lalu,Ara,,,,4
,,3 tahun lalu,Ara,,,,4
,,3 tahun lalu,Ara,,,,4
,,3 tahun lalu,Ara,,,,4
,,3 tahun lalu,Ara,,,,4
,,3 tahun lalu,Ara,,,,4
