PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Vagida Coffee,,,,,,,
,https://www.google.com/maps/search/Vagida Coffee jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,9 bulan lalu,Ibnu Sopingi Al Njasemy,-,5 ulasan,Duit menipis ? Kesini aja guys. Tempatnya enak nyaman. Tempatnya gak terlalu besar. Tapi nyuaman polll. Yang lagi gabut merapat kesini saja. Harganya murah meriah.,5
,,setahun lalu,Mikaell hanggoro,-,10 ulasan,"Menyenangkan tempat n pelayanannya.. kapan"" mampir lagi deh👍👍😊 …",5
,,4 tahun lalu,Jsf Myisha,Local Guide,41 ulasan,"WAJIB KESINI! MENU MAKANAN NYA SEMLIDUT, AYAM GEPREKNYA JADI MENU WAJIB.
HARGANYA SANGAT MURAHHHH!!!",5
,,4 tahun lalu,lutfi nurudin,Local Guide,107 ulasan,Baru pertama kali kesini. Tempatnya terbuka. Dekor nya lumayan. Tidak terlalu rame. Wc ada 2. Teh 3rb an. Tutup skitar jam 12. Enak sih tempatnya. Ada wifinya juga. Enak buat nongkrong ngumpul2,5
,,5 tahun lalu,LaFerys,Local Guide,102 ulasan,"Tempatnya cocok untuk nongkrong
Kopinya enak
Free wifi
Menunya terjangkau sekali
Kopi hanya 5-15rb saja
Untuk makanan lain juga sangat terjangkau, tersedia berbagai macam makanan ringan dan makanan berat",5
,,setahun lalu,ADNI TV,Local Guide,14 ulasan,"Tempat nyaman, pelayanan ramah, harga menu murah",5
,,8 bulan lalu,Riska Dewi Restyani,Local Guide,19 ulasan,tempat nongkrong asik👍 makanan & minuman murah enak 👍 cocok buat nongki murah meriah tapi gak murahan👍,5
,,6 tahun lalu,Isack Ghenfri,Local Guide,16 ulasan,Tempat kece nih buat nongki sama temen2 ownernya juga baik enak diajak ngobrol ngalor ngidul,5
,,5 tahun lalu,Morel Afiralda,Local Guide,134 ulasan,tempat nongkrong terhitss dengan pelayanan dari mbaknya kasir yg sangatt sangarrr 😂 …,5
,,setahun lalu,Sugeng Tamtomo,Local Guide,249 ulasan,Bisa pesen lewat grabfood sampai larut malam,5
,,setahun lalu,Rizky Yulianto,-,14 ulasan,Oke tuk nongkrong,4
,,4 tahun lalu,Diko Alang,Local Guide,25 ulasan,"Tempatnya nyaman dan pelayanannya baik, cofe nya lumayan",5
,,4 tahun lalu,Fahmi Ihza,Local Guide,34 ulasan,Tempat yang nyaman dan tenang untuk curhat dan santai tapi banyak orang pacaran,5
,,6 tahun lalu,agus riyadi,Local Guide,19 ulasan,Tempatnya enak kulinernya luar biasa....,5
,,3 tahun lalu,Manisman Manisman,-,2 ulasan,Ya lumayan masakanya dan cara menyajikanya,2
,,2 tahun lalu,Eka Subrata,Local Guide,210 ulasan,Joss..kopinya,5
,,5 tahun lalu,ayusnis venta intani,Local Guide,30 ulasan,Tempatnya enak buat nongkrong.,5
,,setahun lalu,Alessandria Saputro,Local Guide,34 ulasan,pas untuk anak muda Mantap,5
,,8 bulan lalu,GOJEK GUNUNGKIDUL Yatman,Local Guide,181 ulasan,Santai mantab,5
,,2 tahun lalu,Yulianti Vivo,-,9 ulasan,masakanya mantap endulita,5
,,setahun lalu,Maestro Jogja,-,2 ulasan,"Mantul,",5
,,6 tahun lalu,NewTube Channel,Local Guide,65 ulasan,Nyaman n classic,4
,,5 tahun lalu,Taufik An,Local Guide,404 ulasan,Mayan rame2,3
,,2 tahun lalu,Bayu Cokro,Local Guide,261 ulasan,Murah,5
,,2 tahun lalu,Andang Kristiana,Local Guide,173 ulasan,Mantapp,5
