PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Warung Kampung Tani,,,,,,,
,https://www.google.com/maps/search/Warung Kampung Tani jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,Novi Andy Dwi Setyawan,Local Guide,185 ulasan,"Sesekali dinner disini bersama keluarga, mumpung malam minggu. Ternyata, tempatnya punya konsep yang baru, beda banget sama yang dulu. Konsep barunya asyik serasa kayak cafe, cocok banget buat nongkie atau kongkow bareng sama keluarga, teman atau ngobrol2 dengan tamu yg lagi berkunjung. Konsep tampilannya retro klasik tapi semi modern juga, asyik juga buat foto2. Pilihan tempat duduknya banyak, konsep ruangan terbuka dan ada outdoornya juga. Ada free wifi dan colokan listrik yg banyak tersebar, serta alunan santai iringan musik. Menu utama kesukaan masih ada, yaitu bakmi jawa dan teh poci khas gunungkidul, plus berbagai menu baru bertema kambing muda bacem dan ayam. Masalah harga sih, masih cukup terjangkau dan bersahabat. Mantab dan recommended banget.",5
,,5 bulan lalu,Moch Hasan Tarmuzi,-,1 ulasan,"Rasanya mantap,parkir luas,free WiFi karaoke juga sampai puas pokoknya,,rekomended",5
,,2 tahun lalu,Kristian Fero,Local Guide,580 ulasan,"Sebuah tempat resto dan catering yang menyediakan makanan dan persewaan buat meeting, rapat atau arisan. Makanan menu sayur khas ndeso atau request sesuai permintaan bisa. Menjelang sore melayani bakmi jawa ayam kampung dijamin enak dan recomended.
Tempat parkir luas dan nyaman, dilengkapi dengan fasilitas free WIFI dengan bangunan joglo yang menarik. Harga sangat terjangkau, seporsi bakmi 14 ribu saja. Terimakasih.",5
,,2 tahun lalu,Edwin Daru Anggara,Local Guide,194 ulasan,"Ini apa ya?? Heheh Menurut pak Hasan awalnya Peternakan ayam( dibelakang masih ada).
Namun dengan tangan dingin Pak Hasan sekarang lebih dikenal sebagai Kampung Tani Resto sering buat digunakan  untuk meeting ada Joglo ada meeting room ada 2,
Meeting package 50 ribu/pax udah enak banget
ada juga kamar semalam Rp.  125.000 pake AC kamar mandi dalam. Aksesibilitas untuk difabel juga cukup baik disini sering mengadakan meeting disini. Mantab",4
,,sebulan lalu,Mas Rois,-,5 ulasan,Rekomended untuk acara bersama keluarga dan  orang² terdekat,4
,,5 tahun lalu,matius indarto,Local Guide,143 ulasan,"Tempatnya asyik dan aksesibel bagi pengguna kursi roda. Selain menyediakan makanan, tempat ini juga menyediakan ruang meeting dan kamar2 yang bisa disewa. Hampir keseluruhan bahan makanan diambil dari kebun sendiri dan ada beberapa tanaman dalam pot yang bisa dibeli seperti mint, seledri, dll",4
