PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Warung Makan Ayam Geprek Bu Rum 4,,,,,,,
,https://www.google.com/maps/search/Warung Makan Ayam Geprek Bu Rum 4 jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,5 bulan lalu,Hestia Nurmasari,Local Guide,39 ulasan,Jika ingin merasakan nasi ayam geprek sesungguhnya asli Jogja silahkan berkunjung ke sini. Bisa pilih level kepedasan ingin berapa banyak cabai dan bisa mengambil nasi sesuai kebutuhan.,4
,,4 minggu lalu,riski teguh,Local Guide,48 ulasan,Anda lapar ? Pengen lauk banyak kwkwk ? Gas ke sini kwkwk karena free sayur dan nasiii ambilll sepuaassdnya kwkwk jadi buat kalian kaum kaum ogah rugiii dan tinggal area ugm uny bisaa langsung cuss ke sini hahaha,4
,,4 bulan lalu,Rifqi Adam,Local Guide,159 ulasan,"nasinya bisa ambil sendiri kalau datang langsung, ayamnya besar sambalnya enak juga, mantap 👍",4
,,4 tahun lalu,Zain Yusufa,Local Guide,90 ulasan,"Ini cabang ke-4 Warung Makan Bu Rum. Ayam gepreknya cukup enak dengan harga yang cukup terjangkau, sebesar Rp 13.000 sudah termasuk es teh. Nasi ambil sepuasnya. Sayuran juga gratis. Dan khusus hari Jum'at es teh gratis bila makan di tempat. Tempat cukup nyaman dan bersih. Sangat ramai saat makan siang. Tempat mudah  dijangkau tapi tempat parkir sangat terbatas.",4
,,2 tahun lalu,Existensa Pratiwi,Local Guide,433 ulasan,"Pas sampe ke sana ayam habis, suruh nunggu bentar masih digoreng. Tapi ternyata lama banget subhanallah. Kenapa nggak ngomong jujur aja kalo agak lama/lama/berapa menit -_-
Sama makin ke sini, ayamnya makin nggak kelihatan, lebih ke tepung semua. Jadinya kayak tepung geprek. Padahal pas 2015-2016 masih banyak ayamnya, lalu makin lama ayamnya makin dikit. Eh sekarang nggaj kelihatan ayamnya",2
,,4 tahun lalu,Afif Nurwahid,Local Guide,29 ulasan,"Ayam gepreknya enak, ayam milih sendiri , nasi dan lauk, ambil sendiri. Nasi sepuasnya, bebas... Sayurnya juga gratis, harga ga sampe 15 dah dapet ayam nasi sayur gorengan esteh. oke lah. Cuma aga susah parkinya kalo rame rame, space parkirnya sempit",4
