PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Warung Makan Mbak Yanti,,,,,,,
,https://www.google.com/maps/place/Warung+Makan+Mbak+Yanti/data=!4m7!3m6!1s0x2e7a59b67aae0b7b:0xd3670aa33c015c94!8m2!3d-7.772542!4d110.385222!16s%2Fg%2F11btlpy1x9!19sChIJewuuerZZei4RlFwBPKMKZ9M?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 tahun lalu,Ali Imrhan,Local Guide,25 ulasan,"Warung makan dengan harga yang terjangkau dan rasa yang terbilang lumayan, cocok untuk pelajar dan mahasiswa.",5
,,5 bulan lalu,dian purwa,Local Guide,158 ulasan,"Warung makan dari waktu ngekos dulu masih ada ternyata. Ngangenin sekali, murah meriah, dan enak. Kangen sama menu bakso pedesnya..
Kalau ke jogja lagi jd pngen mampir",5
,,3 bulan lalu,ines wulan sari,Local Guide,86 ulasan,"Cocok untuk mahasiswa kawasan karangmalang, nyaman, nasi ambil sendiri dan pilihan lauknya banyak.",5
,,3 tahun lalu,Ivah Rahma Romadhona,Local Guide,247 ulasan,"Tempat bersih dan nyaman. Bisa sambil nonton tv kayak di rumah sendiri. Masakan enak dan murah. Tempe garitnya digoreng pakai tepung tipis tipis, khas banget.",5
,,11 bulan lalu,christiani thamrin,-,84 ulasan,nasi sayur lodeh ayam goreng tepung 11ribu murah kan? lodehnya mantep. jgn lupa tempe garit bawangnya seribuan jg enak. sayangnya nasinya sedikit.,5
,,3 tahun lalu,Dilla Arvita Yuma,Local Guide,26 ulasan,"Saya beli di warung makan ini sejak maba 2016 smpai sekarang, karena rasa makanan di warung ini bisa mengingatkan saya dengan masakan ibu di rumah :)
Bu Yanti orangnya sangat ramah, harga makanan sangat murah, bisa prasmanan makan di tempat juga, disediakan TV juga sambil menikmati makanan, itulah bnyak yg makan disini ^^",5
,,3 tahun lalu,Muqodah 13,Local Guide,30 ulasan,"Murah, ramah untuk kantong mahasiswa dan pilihan menunya banyak. Lokasi strategis karena berada di area kost dan kampus.",5
,,3 tahun lalu,Fauziah Sartika,Local Guide,53 ulasan,"Masakan enak, harga cocok untuk mahasiswa/i, tempat bersih. Sukses terus buat warung makannya ya 💙💙 …",5
,,3 tahun lalu,Yowanika Reza UP,Local Guide,23 ulasan,"Murah jam 7 sudah ada sayur dan lauknya, pilihan banyak. Cocok buat anak kost",5
,,4 tahun lalu,Lisa Arifah Zulmi,Local Guide,17 ulasan,"Tempatnya nyaman, enak buat makan para muslimah, dan kalo pagi pasti rame soalnya banyak mahasiswi pada sarapan😂 …",5
,,5 tahun lalu,Desangga Putra,-,3 ulasan,Warungnya sangat ramai. Masakannya juga enak. Pokoknya well. Harga mahasiwa dan mahasiswi bangettt,5
,,3 tahun lalu,Diah Asti Nurrohmah,Local Guide,284 ulasan,Enak pake bgt! salah satu warung ramesan fav di Jogja. Tempe garitnya jgn sampe lolos!,5
,,4 tahun lalu,Hafshah,Local Guide,28 ulasan,"Menunya berbagai macam, rasanya enak, dan harganya bersahabat.",5
,,3 tahun lalu,Annisa Ika Pramuwardani,-,76 ulasan,"Murah banget, varian menu banyak, ibuknya ramah",5
,,4 tahun lalu,Saffira Nurul Firda,Local Guide,52 ulasan,"Murah, enak, bersih = definisi warung mba yanti",5
,,3 tahun lalu,Zoelfarizqie Yusuf,Local Guide,15 ulasan,Bisa ambil sendiri dan harganya terjangkau untuk mahasiswa,5
,,3 tahun lalu,Manikrara Santina Dewantari,Local Guide,34 ulasan,Pertama kali berkunjung ke warteg ini langsung nikmat makanannya,5
,,3 tahun lalu,ari hansamu,Local Guide,41 ulasan,"Makanan enak dan bersih, pelayanan ramah",5
,,4 tahun lalu,ryan ardiansyah,Local Guide,55 ulasan,Mkanan nya pas di mulut dan kantong,5
,,11 bulan lalu,Imelda,Local Guide,36 ulasan,Sangat strategi dengan kampus,5
,,3 tahun lalu,Nabella Duta Nusa,Local Guide,69 ulasan,Murah meriah dan enak,5
,,2 tahun lalu,Johan Juventini,Local Guide,101 ulasan,"Karangmalang A26
Tempat kost dulu",5
,,4 tahun lalu,Royhana Devi,Local Guide,168 ulasan,"Murah, enak",5
,,4 tahun lalu,agusti dona,-,2 ulasan,Enak masakannya 🤗 …,4
,,4 tahun lalu,Hartawan Wicaksono,Local Guide,373 ulasan,Cukupan,3
