PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Warung Makan Restu Ibu,,,,,,,
,https://www.google.com/maps/place/Pecel+Lele+Restu+Ibu/data=!4m7!3m6!1s0x2e7a58f669efa9e3:0x43c01c2db189bc96!8m2!3d-7.7458217!4d110.3623867!16s%2Fg%2F11cmtswt1d!19sChIJ46nvafZYei4RlryJsS0cwEM?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Fariz Martha,Local Guide,432 ulasan,"Untuk harga makanan menurut saya murah, disini saya bungkus cuma habis 25ribu untuk lele goreng dan bakar nasi 2 dan 1 es jeruk, untuk rasa makanan enak yang digoreng lelenya daripada yang bakar, yang dibakar rasanya kemanisan kecap menurut saya, untuk lokasi persis dipinggir jalan, dan untuk parkir didepan persis untuk motor, kalau mobil agak keutara, tempat makan menurut saya juga bersih, dan untuk layanan cukup cepat karena tidak perlu menunggu lama makanan langsung jadi",4
,,5 bulan lalu,Rizqidhiyaa Anggara Andiraputra,Local Guide,134 ulasan,"Warung pecel lele terfavorit dan langganan dari dulu! Rasanya wenak dan mengenyangkan. Harga murah kualitas sangat oke. Nasinya ada biasa dan liwet, bebas ambil sendiri. Ayam dan ikan semuanya memuaskan. Sambelnya topmarkotop. Pelayanan ramah dan cepat. Tempatnya didalam ruangan dan lesehan semua. Tersedia wastafel juga untuk cuci tangan. Parkir untuk motor mudah, mobil juga cukup mudah. Pokonya tidak pernah mengecewakan pecel lele restu ibu",5
,,2 bulan lalu,Kharisma Diah Tri Kurniawati,Local Guide,14 ulasan,"Pecel lele favorit rasa enak harga murah👍✨
Lokasi di samping sabila shuttle, untuk parkir memang agak sempit apalagi untuk mohil. Menunya lengkap dan pelayanannya juga cepat baru duduk sebentar langsung diantar. Selalu ditawarin mau pakai nasi biasa atau nasi uduk, nasi uduknya enak bangetttt asli. Untuk tempat lesehan dan disediakan washtafl di dalam maupun di luar, disediakan tisu juga. Tapi kalau lagi ramai serasa lagi divoging karena asap bakaran dan kalau pada ngerokok asap mengendap di dalam ruangan :(",5
,,2 bulan lalu,REG4 - VIR - Wahyu,Local Guide,43 ulasan,Ada nasi biasa dan uduk..tp sayang modelnya ud digoreng dulu jd ga fresh,5
,,2 bulan lalu,Hokage Ke empat,-,1 ulasan,"Kurang worth it, pelayanan juga kurang ramah. Kita gak minta tisu kok main lempar aja tisu di depan kita.
Tempatnya gaada kipas, pas sepi aja panas apalagi kalo pas full.

Ambil sepuasnya itu cuman di awal ya gaes. Kalo ambil nasi langsung banyak aja kalo emang laper. Begitu nasi di piring, tempat nasinya di ambil. jangan ketipu sama vt di tik tok..",1
,,3 tahun lalu,Killa Biezt,Local Guide,319 ulasan,"Murah.
Mantab.
Di sini nggak cuma jualan pecel lele tapi berbagai macam menu penyetan seperti ayam bebek tahu tempe telur ati ampela dll.
Rasa masakan enak.
Lele bakarnya favorit lah.
Sambel enak dan rasanya ngga gitu pedes. Tapi bukan yg terenak sih.
Nasi free flow haha. Bebas ambil sesukanya. Bisa pilih nasi biasa atau uduk.
Ada wastafel air dan sabun.
Format nya lesehan. Pake tikar. Ada beberapa bangku khusus di dekat gerobak.
Penyajian cepat kilat dan menu tetap fresh, panas.
Tisu harus minta dgn penjual.

Bagi yg tdk rela anak²nya terpapar asap rokok, jgn bawa mereka ke sini karena banyak yg merokok dan tdk peduli ttg hal tsb.",5
,,4 bulan lalu,Huda,Local Guide,32 ulasan,"Tempat luas, buat makanan mayanlah",4
,,3 bulan lalu,dewi handadari,Local Guide,67 ulasan,"Makan lamongan dengan porsi nasi sepuasnya karena ambil sendiri dari termos.tersedia bebbek, ayam lele, ikan dan telur serta tempe tahu. Bebek dan lele nya enak.. Sambalnya pedes dan mantep.. , tapi untuk penyuka sambal harus bayar untuk ekstra sambal",4
,,setahun lalu,Galih Wardhana,Local Guide,375 ulasan,"Lokasi berada di sebelah Sabila Shuttle. Tempat duduk lesehan, lumayan bersih sih karena sepatu atau sendal harus dicopot.

Pas kesini nyobain telur, tahu, dan tempe goreng. Nasi ambil sendiri sepuasnya sak mblendingmu. Harga cukup murah karena pesen nasi uduk + tahu goreng + tempe goreng + telur goreng + air putih seharga 12rb

Kalo untuk rasa sih gue harus fair biasa aja rasanya. Mungkin untuk telur lebih menggoda telur bakarnya, kalo gorengnya sih cenderung keras, tahunya kecil, dan tempenya pun juga tipis. Banyak yg bilang sambelnya enak tapi menurutku biasa aja, tapi ya selera masing2 pasti beda lah.

Kalo niatnya pengen cari makan murah dan gak terlalu ngedepanin rasa sih tempat ini jadi salah satu rekomendasi bagi yang lagi kelayapan ke daerah Jombor.",4
,,3 tahun lalu,Novia Putri,Local Guide,200 ulasan,"Makanan dan minuman :

Super enak. Bumbunya meresap. Sambelnya endes mantap banget 🤤

Es jeruknya juga manis

Tempat :

Luas. Cocok buat rombongan. Ada wastafel +sabun buat cuci tangan

Harga :

Ramah dikantong.",5
,,setahun lalu,Neisha Prabandari,Local Guide,187 ulasan,"Paling enak lele bakar dan telor bakarnya.
Untuk sambalnya enak juga, jenis sambal matang.

Pilihan nasinya ada dua, biasa dan uduk.
Uniknya kita bakal dikasih tempet nasinya buat ambil sendiri sesuai porsi yang kita mau seberapa. Habis itu tempat nasinya bakal diambil/ditarik lagi sama penjual. Mungkin biar sungkan kalau mau nambah yaa wkwk

Duluu banget lokasinya dekat JCM. Langganan tiap mau makan lele bakar. Sekarang sudah di Jombor. Parkirannya lumayan luas pinggir jalan.
Tempat makannya juga luas lesehan gitu.",5
,,3 tahun lalu,OCKY WIETYASTO PUTRA,Local Guide,166 ulasan,"..enak..murah..muantap..😆
..mungkin itu kata yang tepat untuk tempat makan ini, Pecel Lele Restu Ibu. Warung makan yang terletak di utara terminal jombor ini sebenarnya sudah lama berdagang, hanya saja dulu tempatnya ada di selatan pintu masuk JCM kemudian berpindah ditempat yang sekarang ini..
..sejak dulu setiap kali jemput istri pulang kerja kami sempatkan mampir buat makan di warung ini, karena masakannya enak dan harga yang murah tapi bener-bener bisa bikin kenyang..karena nasinya kita bisa ambil sendiri sesuai kapasitas perut kita..😁
..pilihan lauknya juga beragam bukan hanya lele melainkan ada ayam negeri atau kampung terus ada ikan, bebek, telor dan pastinya tahu-tempe yang tidak boleh ketinggalan. Semua lauk tadi bisa dipilih mau diolah secara dibakar ataupun digoreng semua sama-sama enak karena bumbunya meresap..
..dan seperti yang saya sampaikan tadi bahwa disini nasinya kita bisa ambil sepuasnya karena begitu kita pesan nanti satu termos nasi akan diantar ke kita utuk kita ambil..dan pilihan nasinya ada dua yaitu biasa atau nasi uduk..tapi musti diingat untuk nasi uduk musti datang lebih awal yaa karena suka kehabisan kalau kemalaman soalnya gurih banget nasi uduknya..😊
..sambal dan lalapan juga tidak ketinggalan, disediakan beberapa sambal yang bisa dipilih, ada sambal ijo dan sambal merah..bisa dipastikan bakal tambah nikmat makannya..
..jangan kuatir soal harga disini harganya sangat terjangkau, seperti yg saya pesan ini  2 porsi ayam dada dan kepala ayam goreng plus tempe tahu dan es jeruk hanya merogoh kocek 26.000 saja..mantap kan..👌
..pokoknya puas abis deh kalau makan disini..perut kenyang dompet pun riang..soalnya ndak perlu bayar mahal..😁",5
,,3 tahun lalu,revy nuraini,Local Guide,78 ulasan,"disini menu bakarannya enak bgt sih nasinya juga ada dua macem, nasi putih biasa sama nasi uduk dan harganya juga murah cuuuuuy sambelnya juga enak bgt. cuma disini egk ada menu tambahan kyk terong goreng dan sambel bawang gitu jadinya bintang 4 cukup tapi untuk keseluruhan ya poinnya 8/10 lah coba deh kalo menunya lengkap bisa deh ngasih bintang 5 dan naikin poinnya ke 10/10",4
,,3 bulan lalu,imam alas,Local Guide,101 ulasan,"Enak, murah, kenyang karena nasi ambil sendiri",3
,,3 tahun lalu,Fitrian Arista Putra,Local Guide,173 ulasan,"bakarannya enak dengan bumbu yang menyerap.... tapi sambal matangnya kurang mantap, lebih enak yang sambal bawang tapi sambal bawang cepat habis, dan juga menu yang tersedia ayam, lele, telur, tahu dan tempe. Agak kurang ramah yang melayani tapi termaafkan karna rasanya yang enak",4
,,3 tahun lalu,Yuliani 07,Local Guide,58 ulasan,"Makannya enak  banyak menu pilihannya, goreng bakar ada,, yg jelas enak dan harga nyaman,,  nasi ambil sepuasnya, dijamin kenyang,  ibu2nya yg jual juga baik ramah,,  tempat makan lesehan luas, dijamin nyaman kenyang hati senang,,",5
,,4 tahun lalu,Fery Herdiawan,Local Guide,96 ulasan,alhamdulillah setelah sekian lama cari pindah dimana akhirnya ketemu lagi. rasa masih gajauh beda dari dulu. favoritos,4
,,setahun lalu,Rahmadhita Zaini,Local Guide,72 ulasan,"Dulu semasih di deket jcm bisa ngambil nasi banyak.  Sasaran mahasiswa mmtc. Tetep paling lezat dengan harga murah. Nasi uduknya endes banget harganya masih bersahabat sampe sekarang, jam 7 malem udah gak kebagian nasi uduk sama lelenya",5
,,4 tahun lalu,Arina Rakhmawati,Local Guide,968 ulasan,"Nasi uduknya enaaak. Ada nasi biasa juga. Bumbu ayamnya meresap. Ayam satu porsi 13000 rupiah. Tempat bersih dan luas. Pelayanan cepat. Sambalnya pedas, enak. Ada wastafel. Nasi ambil sepuasnya.",4
,,4 tahun lalu,Hari Setyono,Local Guide,629 ulasan,rasanya lumayan enak. nasinya bisa ambil sendiri . ada yang uduk dan biasa nasinya. tempatnya juga luas ramai lagi,3
,,3 tahun lalu,Ony Hansyah,Local Guide,189 ulasan,"Rasa lele bakarnya enak, harga murah (seporsi lele bakar+nasi uduk+es teh cuman 12K), nasi bisa ambil sepuasnya, pelayanan memuaskan, tempat walau dipinggir jalan tapi cukup nyaman",5
,,9 bulan lalu,Khairul Fathoni,Local Guide,116 ulasan,"Langganan sejak kelas 2 SMA (skrg saya udah kepala 3), stiap pulang basket pasti ksini. Dulu masih depan showroom (depan jcm)..skrg pindah. Nasi uduknya ngangeni..free refill nasi, bakarannya karakter manis...nglawuhi bgt... Sambel matengnya tdk terlalu pedas... Biasanya utk 1 lauk saya habis 2 piring nasi..piring pertama utk sambel dan lalap, piring ke 2 baru buat ngabisin lauk...hahahahaha",5
,,4 tahun lalu,Indriana Yusuf,Local Guide,388 ulasan,Nasi uduk and bebakarannya mangstap!,4
,,2 tahun lalu,Sony Adam Saputra,Local Guide,1.152 ulasan,Pilihan penyetan banyak banget.. enak... Sambelnya adalah sambel penyetan favoritku banget.. ayam bakarnya enakkk so sweet mantap.. mana nasinya freeflow pulak..,5
,,3 tahun lalu,Abdul Azis Kurniawan,Local Guide,128 ulasan,Nasi bakar legendaris favorit mahasiswa. Selain rasanya yang enak juga harganya terjangkau. Recommended makanan bebakarannya,5
