PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Warunk Soto Nikmat YIA,,,,,,,
,https://www.google.com/maps/search/Warunk Soto Nikmat YIA jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,5 bulan lalu,Rafif Zahran Haryadi,Local Guide,144 ulasan,"enak sotonya seger,porsinya juga banyak,lumayan lah untuk sarapan jika pagi"" terbang belum sempat makan",5
,,4 bulan lalu,Mel Mel,Local Guide,40 ulasan,"Pelayannya kurang ramah sekali, setelah baca ulasan sebelum” nya ternyata banyak berkata seperti itu",1
,,4 bulan lalu,Youfanka Ceneva,-,4 ulasan,"Menurut aku Tempat ini sangat rekomendasi banget sih yang mau makan soto, yang harga nya terjangkau rasanya juga gak kalah nikmat so kalian yang lewat tempat ini jgn lupa mampir ya 😍 …",5
,,setahun lalu,amanda vega,-,1 ulasan,"tempatnya nyaman banget,apalagi kalo bawa doi mampir kesini hehehe,disini tu ada banyak macam soto,soto dari lamongam,dari kampung,dari boyolali,bahkan ada soto yg unik banget yaitu daging kwali.gimana penasaran nggak?langsung aja cuss mampir di area check in🤗,oh iya ngopi disini berasa ngopi di luar negeri soalnya ada banyak macam kopi luar,ada yg dari vietnam,jepang,america,dan aceh.pasti minum kopinya berasa kayak jalan2 keluar negeri deh 😉jadi yg pingin keluar negeri karena sekarang covid juga gaperlu jauh2 deh langsung aja ke warunk soto nikmat YIA.banyak spot foto juga disini pokoknya anak instagramable atau yg mau ootd an bisa buangett pokok e disini yuk gaskeunnn bestie🤗",5
,,10 bulan lalu,Sahid Dipa,Local Guide,68 ulasan,"Pelayanan kurang baik, soto ayam sama lamongan cuma beda telur aja isian sama rasa sama. Makan 3 orang teh 3, 200.000 😂 tapi rasa dan pelayanan 😩 …",1
,,5 bulan lalu,Rin Rin Septi,Local Guide,251 ulasan,"Dua kali kesini lumayan kecewa. Yang pertama pesen ada tempe mendoan ternyata mendoannya lupa akhirnya nunggu lagi buat goreng mendoan. Yang kedua juga pesan ada mendoan juga mendoan lupa, udah males nunggu juga jadi mendoannya nggak jadi. Pas bayar struk/nota nggak dikasih, pegawai langsung ucap terima kasih. Mohon untuk kedepannya walau kondisi resto ramai karyawan memastikan ke pelanggan apakah pesanan sudah keluar semua atau belum",2
,,4 bulan lalu,Mei Sintiya,-,1 ulasan,"tempat nya nyaman & bersih,pelayanan nya juga ramah , banyak spot foto menarik juga
.  makanan & coffe nya juga enak & mantappp , pokonya recomended dan pas banget buat nunggu flight  ..",5
,,setahun lalu,Jessica Angelina Liem,-,17 ulasan,"soto lamongan & geprek smbal bawangnya enak bgt🥺❤️ gurih, ga tanggung2.
servingnya cepet, staff ramah (nambah sambel ga dijutekin😂)
cocok buat nunggu, tiap meja ada colokan. …",5
,,4 bulan lalu,Macan Kemayoran,-,3 ulasan,Sangat recommended untuk tempat menunggu pesawat karena ada smoking room dan pelayanan cukup ramah suasana nyaman dan bersih,5
,,3 bulan lalu,Santa Nadebang,-,2 ulasan,"Soto nya enak, seger dan porsinya pas.. untuk tempat juga nyaman buat nunggu flight😊🤤👍",5
,,seminggu lalu,m a y u,-,1 ulasan,"Pelayan pelayannya budeg

Tolong suruh korekin kuping""nya gih",1
,,setahun lalu,Adam Ezzy,-,1 ulasan,"Pas banget nih nugu pesawat mampir di warung soto nikmat,
Perut laper ya makan ya soto apa lagi ya pusing ya ngantuk ya ya ngopi,😃 …",5
,,10 bulan lalu,Heru Praptono (HP),Local Guide,174 ulasan,"Rasa Soto soso dan harganya mahal. Tempatnya ditata cukup cantik dan cukup enak untuk nongkrong. Ada makanan dan kopi ditawarkan. Harganya relatif lebih mahal dibanding warung yang buka di kedatangan dekat stasiun Kereta api. Tempatnya memang strategis, kalau buru buru, setelah check in bisa makan diaini",3
,,4 bulan lalu,Oktavia Susi,-,1 ulasan,"Tempatnya nyaman dan enak, cocok untuk bersantai. Menu makanan dan minuman banyak pilihan",5
,,4 bulan lalu,Leman Mantari,-,1 ulasan,Rekomended untuk santai bareng istri sambil nunggu flight karena suasana nyaman dan lighting yang romantis,5
,,4 bulan lalu,B Krismaryadi,-,2 ulasan,"Rekomended utk sarapan, makan siang dll sebelum terbang dan pastinya ada smoking area",5
,,4 bulan lalu,Novi yanti,-,1 ulasan,"Soto nya enak  pelayanan nya ramah & cepat .. tempatnya nyamann bikinn betahhhhh,   *****",5
,,setahun lalu,Dicky Tjahyono BP,Local Guide,12 ulasan,"Setiap pengunjung dipatok pesanan dengan minimal pembayaran Rp.40.000,- per orang, cara dagang kapitalisme tidak syariah.",1
,,4 bulan lalu,Aniek Manis,-,5 ulasan,"Pelayan tidak amanah, dititipin barang oleh pelanggan,tapi ada barang yg hilang saat diambil",1
,,4 bulan lalu,Fiaz Luthfi,-,3 ulasan,"Pegawainya sibuk sendiri, kurang ramah",1
,,setahun lalu,Suheri,Local Guide,766 ulasan,"Setelah ""check in"" sebelum masuk ke ruang tunggu,  di tempat ini terdapat sajian yang nikmat.  Bagi yang ingin makan atau ngopi bisa mampir di sini.  Tersedia juga menu ringan seperti pisang goreng. Di sisi dalam juga terdapat smoking area bagi yang ngga kuat lagi untuk segera merokok...😊 …",5
,,sebulan lalu,cipta zahra indonesia,-,1 ulasan,"Pelayanan nya cepat, rasa makanan nya enak",5
,,setahun lalu,R Z,-,1 ulasan,"tadi sore makan ngopi disini sebelum flight sepertinya ada barang sy ketinggalan di ruangan smooking room meja pojok belakang sebelah kiri.
kalau ditemukan mohon disimpan.",5
,,setahun lalu,Arifien M.,Local Guide,1.549 ulasan,"Harga menjebak tidak sesuai di menu. Beda 10.000.
Hati2 saja. Ini jebakan. Dan pelayan hanya tertawa saja saat dikasih tahu.
Tidak direkomendasikan dari pada anda dijebak.
Dan ada mininum pembelian.
Parah.",1
,,setahun lalu,ilham ilmawan,-,1 ulasan,"Recommended banget buat kamu yang menunggu waktu boarding, sotonya seger, kopinya murah murah cuy. Bayangin japanese drip aja cuma 30 rb.",4
