PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Wedangan,,,,,,,
,https://www.google.com/maps/place/Wedangan+Jogja/data=!4m7!3m6!1s0x2e7a57c9e052363f:0xc64aa2f549dddf73!8m2!3d-7.808118!4d110.3534593!16s%2Fg%2F11fm7b2830!19sChIJPzZS4MlXei4Rc9_dSfWiSsY?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
,,3 tahun lalu,Zasqia Damai,Local Guide,24 ulasan,"Jika Anda sedang mencari minuman tradisional Jawa atau Jogja yang segar dan menenangkan, Anda harus mencoba toko ini! Untuk acara pesta atau rumah, cobalah sesuatu yang autentik dan tradisional alih-alih sesuatu yang sudah umum! ☺️",5
