PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Yu Djum 167 Resto  Coffee,,,,,,,
,https://www.google.com/maps/place/Gudeg+Yu+Djum+Wijilan+167/data=!4m7!3m6!1s0x2e7a574135fe1069:0x38ddc01ac0a38eec!8m2!3d-7.8049201!4d110.366756!16s%2Fg%2F11jcn6w9cl!19sChIJaRD-NUFXei4R7I6jwBrA3Tg?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,8 bulan lalu,Amalia GK,Local Guide,180 ulasan,"Rasanya enak. Beli nasi gudeg telor aja udah cukup kenyang, apalagi kalau ditambah ayam 😀

Tempat makannya bersih. Pelayanan cepat.

Di sini bayar dulu baru makan ya 🤭😀

Harga makanan nasi gudeg mulai dari 18.000

Lokasi mudah ditemukan, berada di dekat alun-alun jogja. Kalau jalan kaki dari stasiun tugu juga bisa, sekitar 15 menit.

Parkir mobil dan motor di pinggir jalan besar, tidak ada parkiran khusus",5
,,5 bulan lalu,Yoshua Moniaga,Local Guide,190 ulasan,"Tempatnya luas, mejanya banyak. Tapi banyak nyamuk.

Gudeg yu djum rasanya khas dibanding gudeg di sebelah-sebelahnya. Kreceknya pedas, Nangkanya wangi, mungkin karena cara masaknya khusus. Penyajian cepat.

Kalau ke sini malam, sudah banyak yang habis. Pembayaran bisa pakai debit dan cash tapi tidak menerima pembayaran qris.",5
,,3 bulan lalu,Just Ndy,Local Guide,87 ulasan,"Dari semua gudeg dijogja paling cocok disini... paling enak versi suwir nya...
Saran seandainya disediain sambelan...
Emang seharusnya cabe utuh tp bnyk yg sebenernya pngn makan gudeg dgn rasa pedas biar gk eneg² bgt... enak bukan brarti gk bisa bikin rasa turun ya...",4
,,sebulan lalu,Seira Latanssa,Local Guide,147 ulasan,Tempatnya cukup luas. Rasa manis gudeg khas Jogja. Toiletnya bersih. Harga Terjangkau. Dapat dipesan untuk dibawa ke Jakarta. Overall memuaskan. Tingkatkan terus.,5
,,6 bulan lalu,sukron aja,Local Guide,199 ulasan,"Tempat nya nyaman...
Untuk parkir agak susah kudu dipinggir jalan...
Gudeg nya ada rasa manis-manis dan agak pedes krn ada cabe rawit nya... Tapi jujurly the foods is enak....

Es jeruk nya enak seger...
Untuk porsi nya, nasi nya agak sedikit, tapi untuk gudeg nya lumayan banyak, jadi tetep kenyang....

Kl harga jujurly agak sedikit mahal
Untuk yang mau coba bisalah coba2 kali aja ketagihan",4
,,5 bulan lalu,nisa achmad,Local Guide,231 ulasan,Signature Food From Jogja. Andalan banget sih kalau ke Jogja dan beli gudeg pasti di sini. Selalu. Rasanya pas buat lidah kami sekeluarga. Porsinya juga banyak pas makan di tempat. Harga udah termasuk pajak. Suasananya makannya juga nyaman. Semuany perfecto deh.,5
,,5 bulan lalu,Yas,Local Guide,389 ulasan,"Ngga diragukan lagi, gudegnya selalu enak. Pelayanan ramah, cepet juga. Tempatnya bersih banget...",5
,,3 minggu lalu,Al Mira Fahrunnisa,Local Guide,51 ulasan,"bisa ambil menu paketan, buat dibungkus bawa pulang, sayangnya yang ala carte waktu itu gaboleh dipesen, bilangnya karena stock sedikit 😅 sempet ada satu pesenanku nggak dilayani, komplain ke cs via whatsapp alhamdulillah direspon dengan baik, dan dapet ganti rugi 👍",5
,,7 bulan lalu,Ade Kusumastuti,Local Guide,165 ulasan,"Gudeg JOGJA istimewaaah ❣️ pelayanan cepat, karyawannya satset dan ramah2.
Tempat nyaman dan bersih.",5
,,5 bulan lalu,Chrisdiandy,Local Guide,198 ulasan,Coba deh .. kalian yg suka gudeg pasti akan datang lagi. Banyak pilihan lauknya. Rekom deh utk dolor².,3
,,2 bulan lalu,wisnu krestanto,Local Guide,63 ulasan,"Gudeg dengan citarasa khas jogja,
Mantap, uenak.
Sebelum membeli pun, harga sudah terdaftar,, istimewa deh pokoknya",5
,,5 bulan lalu,RAynald Agustian,Local Guide,31 ulasan,"Mau makan siang dengan keluarga besar sekitar 18 orang dari jakarta dan surabaya.

Sampai di gang Wijilan kita coba masuk ke Gudeg Yu Jum ini yg kita liat di instagram cukup viral.

Ketika masuk di sambut oleh waitress dan yg mengecewakan adalah ketika mau duduk cari meja untuk 18 orang.
Di lokasi meja hanya ada kapasitas untuk sekitar 8-10 orang jadi kami minta untuk di satukan meja menjadi lebih panjang agar bisa makan bersama tetapi waitress tersebut bilang ga boleh karena sudah aturannya begitu.
Kami mengerti apabila aturan itu ada ya sudah kami tidak masalah duduk di 2 meja yh bersebelahan saja ga ush di gabungkan.
Di antara keluarga kami ada 2 orang yg sudah termasuk lansia dan kami hanya ingin pakai kursi yg ada sandaran punggung tetapi waitress tersebut malah melarang kami untuk tukar kursi, malah menyuruh untuk keluarga kami yg lansia duduk di meja yg memang ada kursi dengan sandaran terpisah dari kami yg berkumpul di 2 meja.

Kami putuskan batal makan disini dan kami kecewa dengan pelayanan dari resto ini.

Saya harap tolong didik lagi karyawan yg ada disana untuk pelayanan yg lebih baik.
Untuk customer yg mau makan lebih baik ke tempat yg lain saja karena saya makan di  resto gudeg lain dengan harga lebih affordable dan rasa juga dengan kualitas yg sama bahkan lebih enak dan medok menurut saya.

Mereka sepi karena tidak viral di sosial media sedangkan kualitas bisa lebih baik daripada yg viral baik dari segi kualitas ataupun pelayanan.",1
